The rest is tinkering, magic, forbidden games.	rest	rest::0.984046995639801	whole::0.0030135835986584425	end::0.0011388725833967328	best::0.0011297770543023944	remainder::0.0009309757151640952	most::0.0008351454162038863	Rest::0.00048301328206434846	majority::0.000423421646701172	all::0.0004155837232246995	game::0.0004081866063643247	world::0.0002531087666284293	rest::0.00020775727170985192	part::0.0001774481643224135	lot::0.00017473574553150684	other::0.00016078140470199287	last::0.00013751626829616725	past::0.0001356469001621008	entire::0.0001349424128420651	total::0.0001209735928568989	result::0.0001043132069753483
In actuality, ready service shot was kept on the gun or spar decks in shot racks (also known as shot garlands in the Royal Navy) which consisted of longitudinal wooden planks with holes bored into them, into which round shot (cannon balls) were inserted for ready use by the gun crew.	shot	shot::0.9994082450866699	shot::0.000344230851624161	shoot::6.980440230108798e-05	Shot::6.739118543919176e-05	shots::5.517435056390241e-05	hit::6.971416041778866e-06	shooting::6.617724011448445e-06	fired::5.031081855122466e-06	ammo::2.4593068701506127e-06	gun::1.871941549325129e-06	bullet::1.5181318531176657e-06	shooter::1.452119363420934e-06	smoke::1.3547742128139362e-06	gunshot::1.0366750302637229e-06	aimed::9.902819328999612e-07	fire::9.66497509580222e-07	shell::7.844121796551917e-07	target::7.820309519956936e-07	ed::7.611895966874727e-07	case::7.400533945656207e-07
Moore fired two shots, the first a warning shot in the air and the second at the man.	shots	shots::0.9993723034858704	gunshots::0.0002647432847879827	bullets::7.270386413438246e-05	Shots::6.980722537264228e-05	shot::6.669136928394437e-05	rounds::5.833724208059721e-05	shoots::4.641089981305413e-05	guns::3.181192369083874e-05	shootings::3.7230072393867886e-06	shells::1.6269455045403447e-06	times::9.471588100495865e-07	shotguns::8.777884090704902e-07	shooters::8.721875701667159e-07	rifles::7.885572017585218e-07	shots::7.874269272178935e-07	hits::6.380793138305307e-07	seconds::4.3936552174272947e-07	balls::4.052816393596004e-07	kicks::3.762654330330406e-07	rocks::2.2807553534676117e-07
You will more and more be able to make the ball do what is needed for the shot.	shot	shot::0.9995088577270508	shots::0.00016783346654847264	shoot::0.00015164744399953634	shooting::3.4421282180119306e-05	Shot::2.8922006094944663e-05	hit::1.6962010704446584e-05	shooter::1.4727015695825685e-05	ball::1.409583546774229e-05	shot::1.2092689757992048e-05	set::3.716151240951149e-06	play::3.3638521017564926e-06	game::2.4010398647078546e-06	goal::2.012029881370836e-06	job::1.8142675344279269e-06	cut::1.679607407822914e-06	drive::1.246037413693557e-06	player::1.1057276196879684e-06	action::1.0399878647149308e-06	gun::9.582205393598997e-07	stroke::8.068103625191725e-07
He slashed open a tent on a campsite at San Casciano, south of Florence, and fired several shots into the bodies of French tourists Jean Michel Kraveichvilj and Nadine Mauriot.	shots	shots::0.9991894364356995	gunshots::0.0003302572586107999	shoots::0.00023190984211396426	shot::7.709496276220307e-05	bullets::7.353927503572777e-05	rounds::5.396054621087387e-05	Shots::2.3694336050539277e-05	shootings::6.414328709070105e-06	guns::5.33461025042925e-06	rifles::3.1971035241440404e-06	shells::1.5606542547175195e-06	shotguns::2.3410046878780122e-07	bottles::2.216097385598914e-07	rows::2.1069654110306146e-07	shooters::1.7896050508170447e-07	kicks::1.6856735385317734e-07	bolts::1.4504720979857666e-07	times::1.2594759368766972e-07	rockets::1.1831772184223155e-07	shots::1.0966210339802274e-07
Settlers&#8217; accounts of the prairie conquest mention a sound, a series of pops, like pistol shots, the sound of stout grass roots breaking before a moldboard plow.	shots	shots::0.9982267022132874	shoots::0.001610616804100573	shootings::7.839011959731579e-05	Shots::5.6057739129755646e-05	shot::1.2114367564208806e-05	gunshots::8.785805221123155e-06	snaps::1.2686349464274826e-06	shooters::9.187020850731642e-07	bullets::6.956427114346297e-07	guns::5.021030347052147e-07	shots::4.706199945303524e-07	shells::3.6562687455443665e-07	hits::3.6101997125115304e-07	drops::3.384167257536319e-07	fires::2.3665883475132432e-07	shooting::2.0832632685596764e-07	kicks::2.01594318127718e-07	pops::1.3380191887790716e-07	jumps::1.3019582922879636e-07	rifles::1.0854060406018107e-07
So, I can't apply them to a pool table and my stroke, cue ball hit and distance shots.	shots	shots::0.9983657002449036	shoots::0.0007429691613651812	shot::0.0004807429504580796	Shots::0.00015258169150911272	shootings::5.182367385714315e-05	shooters::3.5637698601931334e-05	shooting::1.6069481716840528e-05	shots::1.043915472109802e-05	looks::4.328524937591283e-06	hits::4.217542482365388e-06	counts::3.9457095226680394e-06	shoot::3.937680503440788e-06	plays::3.7347824672906427e-06	gunshots::3.2622608614474302e-06	guns::3.1770775876793778e-06	bullets::3.1693543860455975e-06	drives::2.9335901672311593e-06	shells::2.918610107371933e-06	photos::2.653514911798993e-06	games::2.4948205918917665e-06
Thanks to Ben I have a good head shot of Chad for Hugh's latest assault.	shot	shot::0.9998795986175537	shots::5.588685962720774e-05	shot::4.939642531098798e-05	shoot::7.648387509107124e-06	picture::2.19170942727942e-06	photo::1.139153823714878e-06	Shot::7.993331223588029e-07	cut::4.2023992818940314e-07	job::3.7513612483053294e-07	pic::3.48292786611637e-07	set::3.462368738382793e-07	hit::3.226740830086783e-07	copy::2.5429793026887637e-07	shooting::1.0144407980305914e-07	piece::7.598882945103469e-08	spot::6.990758549818565e-08	card::5.551937931613793e-08	image::5.00576113893203e-08	post::4.818623366986685e-08	count::4.2918255616086753e-08
Episode also introduces several changes: UNCLE secretaries have a new uniform of yellow turtlenecks or blouses with brown skirts; UNCLE HQs has more computers (actually surplus NASA equipment); and titles have been redone, with new Robert Vaughn, David McCallum and Leo G. Carroll shots.	shots	shots::0.9805075526237488	shoots::0.0073801069520413876	Shots::0.0017677965806797147	quotes::0.0005645434139296412	looks::0.0005579811986535788	shots::0.0005287315580062568	shootings::0.0004686393076553941	s::0.00041994295315817	pics::0.0004004036891274154	photos::0.00038729480002075434	movies::0.00038003429654054344	scenes::0.0003673652245197445	images::0.00034739269176498055	pictures::0.0003094150742981583	characters::0.00021074693358968943	jokes::0.00019364325271453708	shot::0.00018683684174902737	lines::0.00013632563059218228	animations::0.00013399672752711922	roles::0.00013051825226284564
This 78-page (paperback) book is well worth reading, especially if you have children or if you are being pressured to get a flu shot.	shot	shot::0.99992835521698	vaccine::2.1055760953458957e-05	shoot::2.0827370462939143e-05	shots::1.6058389519457705e-05	vaccination::8.54613335832255e-06	jab::2.2557144347956637e-06	injection::9.095467703446047e-07	shot::4.721943582808308e-07	shooting::3.0082932767072634e-07	gun::2.86721729025885e-07	bullet::1.803233828923112e-07	Shot::1.3647709806718922e-07	dose::1.1432139501721394e-07	shooter::6.497358384649488e-08	drive::4.9892477704815974e-08	hit::4.134653863729909e-08	gunshot::3.580238328027008e-08	photo::3.100140588685463e-08	treatment::2.6148457621388843e-08	virus::2.0961721247658716e-08
Std 5.5.3 Loop detectors installed at signalized intersections should be sensitive enough to detect bicycles and the pavement marked to show the cyclist where the trigger is located.	show	show::0.9999418258666992	tell::3.767215821426362e-05	Show::4.987683496437967e-06	SHOW::3.85039129469078e-06	warn::1.947030568771879e-06	shows::1.586696953381761e-06	teach::1.3784779184788931e-06	show::1.1942616993110278e-06	showing::1.0879975889110938e-06	display::7.947672315822274e-07	give::5.972205485704762e-07	showcase::2.917668382451666e-07	reveal::2.662136751041544e-07	demonstrate::2.3488254896619765e-07	showed::1.9380853188977198e-07	allow::1.215977505353294e-07	help::1.0968566499514054e-07	let::1.0838504493904111e-07	send::9.800218236932778e-08	name::9.490004515555484e-08
I cannot connect and my access point is not shown by " iwlist scan ".	shown	shown::0.9977376461029053	showed::0.0020751499105244875	seen::4.34379544458352e-05	displayed::4.328973591327667e-05	listed::3.852590452879667e-05	shown::1.6341107766493224e-05	show::8.295529369206633e-06	demonstrated::5.600460553978337e-06	revealed::4.982292466593208e-06	visible::4.0191148400481325e-06	showing::3.5724117424251745e-06	given::2.548572410887573e-06	highlighted::1.759858037075901e-06	presented::1.7326002534900908e-06	exhibited::1.4671610415462055e-06	indicated::1.2610622661668458e-06	found::1.015780526358867e-06	identified::6.266474770200148e-07	marked::5.73679074022948e-07	shows::5.131804527991335e-07
show yet once more the dreadful film of her children's death, and she doesn't come out again.	show	show::0.595063328742981	show::0.3124825358390808	shows::0.02202029339969158	shows::0.00990116037428379	showing::0.006063180509954691	see::0.004076608922332525	,::0.003207968082278967	watch::0.002820243127644062	.::0.001879159826785326	how::0.001538923941552639	see::0.0013003755593672395	shown::0.0011887846048921347	play::0.0011149251367896795	Show::0.0009953908156603575	are::0.0007862543570809066	play::0.0007460651686415076	Show::0.0007403863128274679	showed::0.0006385670858435333	watch::0.0005688683595508337	and::0.0004139509692322463
One example is shown in Fig.	shown	shown::0.9979193806648254	demonstrated::0.0015173709252849221	showed::0.000307121139485389	displayed::6.880801811348647e-05	depicted::3.539110184647143e-05	illustrated::3.0174653147696517e-05	modeled::2.4783243134152144e-05	seen::2.356251934543252e-05	shown::1.4818918316450436e-05	indicated::1.3472205864673015e-05	given::1.1551026545930654e-05	listed::5.8479949984757695e-06	presented::3.751414396901964e-06	exhibited::2.9837090096407337e-06	highlighted::2.5922417989932e-06	represented::2.052377112704562e-06	included::1.6439935279777274e-06	documented::1.5740445178380469e-06	tested::1.192437366626109e-06	provided::1.0712207085816772e-06
Case Sensitive: If you you check the case sensitive box, capitalization will matter (for example, if you search for " Star ", then listings with the word " star " will not show up).	show	show::0.9999842643737793	come::4.605980393534992e-06	Show::2.8527922495413804e-06	show::1.2600987702171551e-06	pop::1.244463533112139e-06	showing::1.1208533123863162e-06	shows::1.0349722288083285e-06	shown::8.965243978309445e-07	look::7.762620839457668e-07	showed::3.334766631724051e-07	SHOW::2.069600810727934e-07	turn::2.0394196553752408e-07	pick::1.4223655853129458e-07	Show::9.871888551060692e-08	appear::9.82995089771066e-08	see::8.337894286114533e-08	throw::7.779573252264527e-08	follow::5.011539627730599e-08	light::4.857610136355106e-08	crop::3.9931098427814504e-08
Showing it as a fall apple tree (before we do the color change on the leaves).	Showing	ing::0.34413203597068787	that::0.1014288067817688	showing::0.07399800419807434	displaying::0.04036298766732216	us::0.037459902465343475	ying::0.032422058284282684	of::0.017048243433237076	that::0.008065256290137768	seeing::0.0077232131734490395	hing::0.007323190104216337	ring::0.007277573458850384	ering::0.007098393514752388	you::0.007029115688055754	shows::0.0067743416875600815	owing::0.006768813822418451	playing::0.0061423275619745255	That::0.005272462964057922	's::0.005220368038862944	aring::0.0050916243344545364	,::0.004872642457485199
Also, when combined with a multiple hazard map, a CFM can show which areas require more information, which ones require different hazard reduction techniques, and which need immediate attention when a hazardous event occurs.	show	show::0.9999411106109619	showing::1.0400810424471274e-05	SHOW::9.370897714688908e-06	shows::8.296266969409771e-06	display::4.396124950289959e-06	Show::4.17380579165183e-06	demonstrate::3.1104534627957037e-06	reveal::3.0234732548706234e-06	see::2.5785286652535433e-06	show::1.5674327187298331e-06	showcase::1.2940308806719258e-06	showed::1.2935570339323021e-06	illustrate::8.622241125522123e-07	tell::8.077167308329081e-07	identify::6.719877205796365e-07	share::5.524479433915985e-07	shown::5.523193635781354e-07	highlight::5.144020747138711e-07	indicate::4.793876655639906e-07	list::3.796437226810667e-07
I 'd like to upload my own personal videos TO the tivo, so I can show them to guests using my TV.	show	show::0.9999688863754272	SHOW::1.9197734218323603e-05	Show::4.846250249102013e-06	show::1.5318200894398615e-06	play::1.201243662762863e-06	showing::8.043077741604066e-07	shows::5.1179745241825e-07	see::4.98041970331542e-07	send::4.7230716404556006e-07	give::4.3409843897279643e-07	tell::3.516589970331552e-07	showcase::3.036698501546198e-07	Show::1.9553367280877865e-07	showed::7.468738516536177e-08	display::6.763652038443979e-08	teach::5.571805772319749e-08	reveal::4.131983288857555e-08	bring::4.130060915485956e-08	hand::3.193485298425003e-08	share::3.027062689398008e-08
Navajo and European-American mothers were shown videotaped episodes of Navajo and European-American children participating in a classroom.	shown	shown::0.9993195533752441	showed::0.0005410653539001942	given::6.030493386788294e-05	shown::4.9507561925565824e-05	showing::1.1388421626179479e-05	show::5.966807748336578e-06	played::3.287826075393241e-06	demonstrated::2.437384409859078e-06	shows::1.1903947552127647e-06	screened::7.735652616247535e-07	presented::5.743453357354156e-07	seen::5.528062843040971e-07	sent::3.608063536830741e-07	provided::3.4684248362282233e-07	projected::3.188845312251942e-07	displayed::2.736798307978461e-07	told::2.574507504959911e-07	taught::2.331203177163843e-07	watched::1.8261772538608056e-07	shot::1.4410694859634532e-07
The corporal shown above is wearing the regulation cork helmet covered in blue cloth.	shown	shown::0.9993149042129517	showed::0.000629667891189456	shown::2.4685052267159335e-05	demonstrated::1.0890013072639704e-05	seen::3.982123416790273e-06	displayed::3.521739927236922e-06	listed::2.453726665407885e-06	depicted::2.446501866870676e-06	modeled::1.7000747902784497e-06	pictured::1.5464896705452702e-06	showing::1.282114226341946e-06	show::5.151066488906508e-07	illustrated::3.8222708553803386e-07	indicated::3.1199920158542227e-07	given::1.9147066154800996e-07	exhibited::1.393734692101134e-07	showcased::1.0882236267661938e-07	own::1.0629216973256916e-07	visible::7.304483062853251e-08	documented::6.665106866421411e-08
Wind the power cable into a gentle loop when storing it in the bag.	Wind	Wind::0.7129188179969788	Wind::0.15568067133426666	wind::0.07145329564809799	wind::0.036419257521629333	ound::0.0064494311809539795	aw::0.002538644475862384	ind::0.0018220763886347413	ave::0.0007426871452480555	and::0.0007055049645714462	ow::0.0006814734078943729	w::0.00045625775237567723	ail::0.0002928198082372546	Winds::0.00029252393869683146	ill::0.00028875330463051796	wound::0.0002801694499794394	un::0.00025399800506420434	Wrap::0.00020562480494845659	on::0.00018238207849208266	in::0.00016908945690374821	Follow::0.00015382972196675837
The Southern Forests Travelling east and inland from Augusta, the roads wind their way through some of the most incredible forests found anywhere in the world.	wind	wind::0.999854564666748	wound::0.00010224316793028265	winds::1.7237383872270584e-05	Wind::1.717948543955572e-05	winding::3.294446287327446e-06	wind::1.104141233554401e-06	weave::9.02298722849082e-07	snake::5.814577548335365e-07	win::4.3371446167839167e-07	burn::2.5222601607310935e-07	will::1.8738913354354736e-07	wrap::1.6738350439027272e-07	Wind::1.6677228131811717e-07	rev::9.186670979488554e-08	thread::9.025805525197939e-08	drug::8.910754445423663e-08	flow::8.765715620029368e-08	roll::6.990743628421114e-08	w::6.304946964519331e-08	make::6.23672349320259e-08
Jury wonders, is Harry Johnson winding him up?	winding	winding::0.999362051486969	wrapping::0.0003738599189091474	wound::3.107183874817565e-05	tightening::2.813667742884718e-05	wind::2.4113534891512245e-05	warming::1.616012377780862e-05	lighting::1.0479951015440747e-05	tearing::8.815449291432742e-06	letting::8.67533526616171e-06	ringing::7.954135071486235e-06	chewing::7.586270839965437e-06	ending::6.01491728957626e-06	inding::5.4159372666617855e-06	lining::4.721919140138198e-06	bending::4.42503232989111e-06	setting::4.411565896589309e-06	catching::3.5412788292887853e-06	twisting::3.5267460134491557e-06	shutting::3.420861503400374e-06	wiring::3.232129301977693e-06
Palestinians know that Israelis are reluctant to shoot at children; and if a child does wind up getting killed, it makes for excellent anti-Israel propaganda.	wind	wind::0.9974506497383118	wound::0.002407248830422759	winds::7.991522579686716e-05	end::3.962539631174877e-05	winding::6.623634362767916e-06	Wind::5.978730314382119e-06	wind::2.0555885384965222e-06	wake::1.5802704638190335e-06	burn::6.297186132542265e-07	wrap::4.0741679185885005e-07	rev::3.93495497519325e-07	surf::2.8809947139052383e-07	w::2.010821305020727e-07	catch::1.6942763636507152e-07	win::1.3914851137997175e-07	turn::1.3080372696094855e-07	warm::1.1107817243782847e-07	reign::9.2693596798199e-08	walk::9.121752952978568e-08	fire::8.446578902976398e-08
Half a mile further was Fox's Hill, and winding up the long hollow between them was Taylor's Lane, which led first to their driveway about a quarter of a mile in, and then to three other Quaker farms further on.	winding	winding::0.999993085861206	rolling::1.642408733459888e-06	wrapping::1.224573338731716e-06	weaving::7.010250442363031e-07	running::6.467661819442583e-07	wound::4.6625532945654413e-07	ringing::2.9173727966735896e-07	twisting::1.6198525543131836e-07	wind::1.3690934963506152e-07	coming::1.0393367944061538e-07	rounding::9.419509439112517e-08	revolving::8.347324609303541e-08	travelling::7.748898411819027e-08	turning::7.545668978536924e-08	lighting::6.928311080400817e-08	heading::6.627605131370728e-08	going::4.482511783976406e-08	flowing::3.8836141413867153e-08	leading::3.661116565467637e-08	stirring::3.5059443348472996e-08
So they all wind up in that loaf of bread.	wind	wind::0.9980436563491821	wound::0.001621162984520197	winds::0.00016282711294479668	end::3.543090133462101e-05	wind::3.228679997846484e-05	Wind::3.029560139111709e-05	burn::1.0284465133736376e-05	wrap::8.247109690273646e-06	wake::5.2913237595930696e-06	win::5.113250608701492e-06	winding::4.83265966977342e-06	will::3.75586250811466e-06	warm::1.5692879742346122e-06	round::9.937780305335764e-07	catch::9.799807685340056e-07	warn::9.068113513421849e-07	blow::8.54914219416969e-07	roll::7.776662869218853e-07	arm::7.565399755549151e-07	reign::7.038693752292602e-07
The lawsuits that threaten to cripple a a number of the churches are winding their way through the courts.	winding	winding::0.999895453453064	weaving::4.991584501112811e-05	wind::2.801457048917655e-05	wound::6.066276455385378e-06	wrapping::5.393791525420966e-06	winds::2.205869350291323e-06	waging::1.9688834527187282e-06	inding::1.3625368637804058e-06	winning::1.1507330555105e-06	making::1.0071121323562693e-06	rolling::7.54257598600816e-07	twisting::5.844213433192635e-07	working::4.656357077692519e-07	chewing::2.469729452059255e-07	revolving::2.2833424395685142e-07	wrestling::1.7223281645328825e-07	ringing::1.7114301442688884e-07	Wind::1.5609937520366657e-07	directing::1.5246936868607008e-07	leading::1.4545177862146375e-07
Now however she was falling through that skylight, the strong dark figure that had appeared out of nowhere falling through with her, his arms tightly entwined about her, his shoulder having winded her.	winded	wind::0.4624743163585663	wound::0.18112343549728394	grounded::0.09802684932947159	ground::0.04172275960445404	winds::0.015102108009159565	blown::0.006909818388521671	ended::0.0066566262394189835	tired::0.006251222919672728	landed::0.0061697266064584255	trailed::0.005520600825548172	walked::0.003671009326353669	surprised::0.003498654579743743	cooled::0.0033760657534003258	filled::0.0029570956248790026	led::0.0029178878758102655	shook::0.0024508358910679817	halted::0.002399749355390668	rolled::0.002371483948081732	startled::0.0022527656983584166	helped::0.0022266984451562166
Experience outdoor adventure, mini golf, horse trekking, wind your way though a maze, mountain biking and relaxing in the famous Hanmer Springs hot pools.	wind	wind::0.9989835619926453	wound::0.00045968839549459517	weave::6.25919783487916e-05	wind::4.9426576879341155e-05	walk::4.825197174795903e-05	win::4.230293052387424e-05	end::3.182224099873565e-05	winds::3.147898678435013e-05	will::2.5305174858658575e-05	Wind::2.4407057935604826e-05	w::1.5232118130370509e-05	burn::1.1559067388589028e-05	winding::1.0329002179787494e-05	lead::9.873387170955539e-06	run::7.185844879131764e-06	worm::6.755113190592965e-06	make::6.52088419883512e-06	hand::6.4651544562366325e-06	flow::6.3047737057786435e-06	roll::5.746148872276535e-06
The history of message encryption goes back to ancient Greece where messages were written on a tape wound around a stick.	wound	wound::0.9988691210746765	wrapped::0.0009724774281494319	woven::0.00012838825932703912	winding::6.7021092036156915e-06	bound::2.5367596663272707e-06	rolled::2.4437692900391994e-06	burned::1.3183347391532152e-06	worn::1.317495161856641e-06	bent::1.3113128716213396e-06	threaded::1.2516311471699737e-06	wind::9.731625141284894e-07	twisted::7.415074492200802e-07	made::7.359615779023443e-07	drawn::6.144944677544117e-07	spread::5.902753628106439e-07	spun::4.835362688027089e-07	spent::4.644237208140112e-07	brought::4.188202922250639e-07	won::4.007769405234285e-07	torn::3.8677254110552894e-07
I managed to get a position working on the phylogeography of some New Zealand animals this summer.	working	working::0.99998939037323	working::6.0463071349659e-06	work::3.3905325835803524e-06	worked::4.3536604721339245e-07	Working::2.4482920935042785e-07	focusing::1.714825828003086e-07	works::5.7318647606052764e-08	Working::5.11797928481883e-08	playing::3.352664990075027e-08	writing::2.3253193148775608e-08	helping::1.5578082823708428e-08	acting::1.3152784639203219e-08	looking::1.2965972295830852e-08	walking::1.0625436530631305e-08	going::1.0535551986379232e-08	concentrating::1.0158800911597154e-08	collaborating::6.482303138710677e-09	ing::6.262715235294536e-09	spending::6.208102920624015e-09	developing::5.540231384770777e-09
In September, I wrote a post with the title, "Did the President of CBS News Have Anyone in Charge of Reading the Internet and Sending Alerts?&#8221; By asking people who work there, I have since determined that he didn't.	work	work::0.999974250793457	work::1.0259880582452752e-05	Work::9.692835192254279e-06	works::2.1474888853845187e-06	Work::1.1598408491408918e-06	worked::7.764171527924191e-07	live::6.467342359428585e-07	worker::2.105815042341419e-07	WORK::1.6924506951454532e-07	job::1.6538949410005443e-07	walk::1.1190471127520141e-07	working::1.0167724440179882e-07	go::6.610058278511133e-08	play::2.325940684499983e-08	sleep::1.3831301437505772e-08	workers::1.3492255312996804e-08	drink::1.2636758306427964e-08	hang::1.106616931423332e-08	ride::1.0460666111100636e-08	shop::9.935745559630504e-09
Teachers were introduced to content by experienced mentor teachers and scientists, who worked with them as they used the kits (Marsh and Sevilla, 1991).	worked	worked::0.9999873638153076	collaborated::7.676572749915067e-06	work::7.31263696707174e-07	worked::6.622162231906259e-07	developed::4.910315283268574e-07	working::4.793659513779858e-07	played::4.306033929424302e-07	helped::4.2729638494165556e-07	trained::2.9990519578859676e-07	talked::1.9794413219642593e-07	walked::1.6000373648239474e-07	works::1.1179950831774477e-07	coordinated::1.04385250665473e-07	interacted::7.154608994142109e-08	teamed::4.397732666916454e-08	lived::4.155327459898217e-08	partnered::3.7904460015170116e-08	built::3.2839260200034914e-08	practiced::3.117519753459419e-08	led::2.119089437258026e-08
Mary then worked for a few years before returning to the University of Michigan for a Master's degree in civil engineering in 1944.	worked	worked::0.9992285966873169	work::0.00019737063848879188	working::0.00018897287372965366	worked::0.00016906237578950822	hired::2.3959673853823915e-05	taught::2.0964589566574432e-05	employed::1.6798803699202836e-05	works::1.6388143194490112e-05	lived::1.0926189133897424e-05	went::8.270013495348394e-06	served::4.6586001190007664e-06	married::4.333787273935741e-06	stayed::4.254733084962936e-06	ed::3.2586722227279097e-06	wrote::3.131922312604729e-06	did::3.0657386105303885e-06	applied::3.019198857145966e-06	continued::2.9615252969961148e-06	helped::2.7230964860791573e-06	used::2.5830390768533107e-06
Until the 1800s, most Americans rarely tasted anything containing refined sugar.) As you dig into your turkey, stuffing and pecan pie, washed down with a $ 10 bottle of wine superior in quality to any wine available to the 17th-century kings of France, remember how hard your ancestors worked, and how they sacrificed, in the dream that someday their descendants would be warm, well-fed and secure against nature.	worked	worked::0.999981164932251	work::1.5366154912044294e-05	worked::1.201340865009115e-06	working::7.473307732652756e-07	Work::2.2094343421485974e-07	walked::2.1597600152745144e-07	works::1.96299140498013e-07	fought::1.1165944613367174e-07	won::5.8722221751850157e-08	played::4.3750493006200486e-08	workers::4.3729468046649345e-08	laughed::3.234375256511157e-08	pulled::2.844998903128726e-08	smoked::2.629578510493502e-08	lived::2.6224460825119422e-08	pushed::1.9754150315520747e-08	worker::1.9294777331424484e-08	died::1.6003440350687015e-08	looked::1.5655636786959803e-08	used::1.501355306743335e-08
Close to 5,000 people are still employed in textiles, and our task is to work with those companies on an individual basis to assist them to reposition themselves in higher-value markets.	work	work::0.9999971389770508	Work::9.654636414779816e-07	working::6.391898068613955e-07	deal::4.094178791547165e-07	work::2.538973831178737e-07	works::1.3065530879430298e-07	collaborate::1.2542298577500333e-07	worked::9.955973467867807e-08	help::5.751622111915822e-08	cooperate::3.810417226191021e-08	Work::2.4622369920734855e-08	walk::1.946631122962117e-08	talk::1.7113354289222116e-08	move::1.2608828647842074e-08	partner::9.572990400386061e-09	operate::7.241110822064911e-09	network::6.591899914809574e-09	WORK::5.15583620241955e-09	worker::5.093261368216417e-09	look::5.0918629312945995e-09
" In the future, I can see the two superpowers working in tandem - one big red state and one big blue state, if you will - moderating each others excesses, as well as setting the agenda for the rest of the world along the lines of our shared values.	working	working::0.9999783039093018	working::9.906811101245694e-06	operating::4.50001107310527e-06	acting::1.2255037518116296e-06	cooperating::1.2011221315333387e-06	work::8.804441335996671e-07	Working::6.800768233006238e-07	functioning::6.710444040436414e-07	moving::5.123765731696039e-07	fighting::3.2429042562398536e-07	winning::1.862371163952048e-07	collaborating::1.7956905651317356e-07	ruling::1.328491094909623e-07	Working::1.1505380825838074e-07	walking::1.0959597318560554e-07	running::9.33591266516487e-08	living::7.880482399968969e-08	developing::7.539141222423495e-08	playing::6.108969330398395e-08	serving::4.9560721748775904e-08
(Media Materials &amp;gt; Press Releases &amp; RMI Announcements) 22 May 2005 A Cuyahoga River Makeover��Plan Aims to Bolster Environment While Sustaining Industry The planners stress they want to work with industry.	work	work::0.9999922513961792	Work::3.426624289204483e-06	collaborate::7.649187523384171e-07	work::6.420091267500538e-07	deal::6.226269988474087e-07	working::5.744952886743704e-07	works::3.53189079760341e-07	cooperate::3.072331367093284e-07	worked::2.870979756153247e-07	walk::1.9149742058743868e-07	talk::1.0921645809958136e-07	partner::1.0530083471849139e-07	play::4.959318999908646e-08	help::4.7356824239841444e-08	Work::4.651230867125378e-08	build::3.7215773573961997e-08	WORK::2.757876949033289e-08	look::2.275015376085321e-08	team::1.7454462764021628e-08	move::1.4104729828545715e-08
One of the areas that has been changed in these new codes is to take into account the fact that local authorities and the National Health Service are, more and more, working either with each other or with other bodies��local authorities, social services, voluntary bodies.	working	working::0.999951958656311	collaborating::1.5135274225031026e-05	cooperating::1.4992305295891128e-05	working::7.947604899527505e-06	operating::2.7782532470155274e-06	dealing::2.225009666290134e-06	acting::7.80607990691351e-07	partnering::6.888079724376439e-07	Working::6.528098310809582e-07	work::4.1460307897978055e-07	functioning::3.8275683778010716e-07	communicating::1.614992015674943e-07	moving::1.1182114434404866e-07	competing::9.487965257903852e-08	consulting::9.454905836037142e-08	interacting::9.328653760576344e-08	living::7.714660910096427e-08	trading::6.782812533856486e-08	worked::6.530610363597589e-08	sharing::6.336377111892944e-08
Knowledge of Southern California history and experience working with non-profit museum highly desirable.	working	working::0.9999710321426392	working::1.5390460248454474e-05	work::5.965461241430603e-06	dealing::2.6084642286150483e-06	collaborating::2.1964297047816217e-06	Working::1.0916379551417776e-06	cooperating::4.873343186773127e-07	worked::4.1231768932448176e-07	partnering::1.6119084023102914e-07	Working::1.237742566218003e-07	works::1.026829394845663e-07	helping::8.427157638379867e-08	developing::5.293675542361598e-08	interacting::3.7795700791320996e-08	operating::3.535237880214481e-08	playing::2.6869443559007777e-08	functioning::2.3965368356471117e-08	consulting::2.3650860825341624e-08	engaging::1.3880836036150868e-08	serving::1.3267992926557781e-08
