The rest is tinkering, magic, forbidden games.	rest	r e s t::0.868444561958313	f u n::0.018552735447883606	w o r k::0.011579264886677265	o t h e r::0.005614199675619602	p l a y::0.004993644077330828	s t u f f::0.004419457167387009	m o r e::0.0036551894154399633	c o n t e n t::0.002910176059231162	e l s e::0.0028669345192611217	m a g i c::0.0026889792643487453	g a m e::0.002251571509987116	m u s i c::0.0022299480624496937	w h o l e::0.002226702868938446	w o r l d::0.0019281695131212473	a r t::0.0018766121938824654	t i m e::0.0015634438022971153	r e m a i n d e r::0.0014230323722586036	o t h e r s::0.0012877167901024222	t a l k::0.001093476195819676	a b o v e::0.0009424192830920219
Sometimes I spy on him snacking, or peek at his secret projects and feel mild shame that, Yes, he isn't doing anything wrong.	secret	s e c r e t::0.9964409470558167	p r i v a t e::0.0007179788080975413	h i d d e n::0.0005160130676813424	o w n::0.0003307917795609683	s e c r e t s::0.0003242235688958317	p e r s o n a l::0.000130224390886724	s p e c i a l::7.539412035839632e-05	s h a r e d::5.098551628179848e-05	c o n f i d e n t i a l::4.507525954977609e-05	s c i e n c e::3.818613549810834e-05	p u b l i c::3.651134466053918e-05	l i t t l e::3.279973680037074e-05	n e w::3.028924038517289e-05	c l a n d e s t i n e::2.6476705897948705e-05	l a b::2.5331584765808657e-05	o t h e r::2.0334904547780752e-05	b i g::1.716222323011607e-05	m y s t e r i o u s::1.614252687431872e-05	d e e p::1.5795329090906307e-05	s p y::1.5240397260640748e-05
After poking around on the web to see what the big deal is about visual changes, and coming across things like " pituitary bleeding " -- which just calls to mind my secret fear the last time I had visual symptoms, that I have a pituitary tumor too small to be detected on MRI -- I think I 'm fine with not taking any chances.	secret	s e c r e t::0.9997575879096985	s e c r e t s::0.00015638292825315148	h i d d e n::4.772836109623313e-05	p r i v a t e::1.0958381608361378e-05	d e e p::5.771451469627209e-06	p e r s o n a l::5.300335033098236e-06	o w n::1.998852212636848e-06	c o n f e s s i o n::6.710293973810622e-07	r e a l::5.473022497426427e-07	c h e s t::4.232169317219814e-07	l i t t l e::4.2260714394615206e-07	c o l d::2.692859197850339e-07	c l a n d e s t i n e::2.520212376566633e-07	b i g::2.0330624295183952e-07	p a r t i c u l a r::1.8146126024021214e-07	s e c r e c y::1.767700155141938e-07	s p e c i a l::1.733572503326286e-07	d e e p e r::1.6245323308794468e-07	s a f e::1.5174747147739254e-07	t r u e::1.4837536355116754e-07
ELECTION: In the event of a contest, election shall be by secret ballot, and a plurality vote shall be required for election.	secret	s e c r e t::0.970878541469574	s i n g l e::0.003826820058748126	o p e n::0.002685785060748458	p l u r a l i t y::0.001332973944954574	d o u b l e::0.0012796195223927498	m a j o r i t y::0.0011740019544959068	c o n c e a l e d::0.0009889538632705808	s p e c i a l::0.0007347662467509508	c l o s e d::0.000717582181096077	u n a n i m o u s::0.0006738023948855698	b l a n k::0.0005580639699473977	b l o c::0.0005529657355509698	s i m p l e::0.0005235736025497317	p o s t a l::0.00045873146154917777	o r d i n a r y::0.0003639978531282395	-::0.0003347689635120332	p u b l i c::0.00033395615173503757	c a s t::0.0003324114077258855	j o i n t::0.00028523296350613236	s e p a r a t e::0.00027750912704505026
An intriguing series of events are described, from the knowledge taught to Enoch by the angel Uriel, through the construction of megalithic monuments, to the creation and shaping of nations and religions, and the formation of modern secret societies - even the mysterious agenda of the New World Order.	secret	s e c r e t::0.9988921284675598	s e c r e t s::0.00012397965474519879	c l a n d e s t i n e::0.00011090160842286423	s e c r e t i v e::9.810928168008104e-05	h i d d e n::8.359565254068002e-05	m a g i c a l::3.4746604796964675e-05	o p e n::2.896127443818841e-05	m y s t e r y::2.8713953724945895e-05	u n d e r g r o u n d::2.0425150069058873e-05	c r y p t::2.0048630176461302e-05	s p e c i a l::1.76860539795598e-05	m y s t e r i o u s::1.529596556792967e-05	p r i v a t e::1.3512036275642458e-05	s e a l e d::1.2788083949999418e-05	e s p i o n a g e::1.0561047020019032e-05	o c c u l t::8.642888133181259e-06	j e w i s h::7.774183359288145e-06	c o v e r t::7.728964192210697e-06	p u b l i c::6.47730576019967e-06	k n o w n::6.334679710562341e-06
maybe and FBI agent.... not secret service....	secret	s e c r e t::0.9989098310470581	s p e c i a l::0.00022510906273964792	c o v e r t::0.00012250879080966115	c l a n d e s t i n e::0.00010922156070591882	s e c r e t s::5.892572880838998e-05	p u b l i c::4.0677463402971625e-05	c i a::4.022008215542883e-05	s e c u r i t y::2.7514957764651626e-05	h i d d e n::2.0201357983751222e-05	s p y::1.975063787540421e-05	p o l i c e::1.756942947395146e-05	m i l i t a r y::1.752796015352942e-05	i n t e l l i g e n c e::1.663065813772846e-05	f o r e i g n::1.3271058378450107e-05	s e c r e t i v e::1.2525782949524e-05	o f f i c i a l::1.2259498362254817e-05	c i v i l::1.2197247087897267e-05	g o v e r n m e n t::1.0155719792237505e-05	p r i v a t e::9.947595572157297e-06	f b i::9.383757969771978e-06
Thomas Golf Irons give you an exceptional advantage over other brands by making it easier to aim and align your shot to the target.	shot	s h o t::0.9515805840492249	s h o t s::0.029746435582637787	s h o o t::0.011422048322856426	s h o o t i n g::0.0022958912886679173	s h o o t s::0.0005465048016048968	h i t::0.0003060621675103903	b a l l::0.00023437391791958362	g u n::0.00019121161312796175	s t i c k::0.0001856514863902703	b o d y::0.00018188053218182176	a r r o w::0.0001723194873193279	b u l l e t::0.00016128159768413752	s h o o t e r::0.000135351117933169	r i f l e::9.416474495083094e-05	h a n d::8.984294981928542e-05	s t r o k e::8.819568756734952e-05	s w i n g::8.400007209274918e-05	s h o o t e r s::6.910810043336824e-05	b a r::6.27869158051908e-05	t a r g e t::6.128930544946343e-05
In actuality, ready service shot was kept on the gun or spar decks in shot racks (also known as shot garlands in the Royal Navy) which consisted of longitudinal wooden planks with holes bored into them, into which round shot (cannon balls) were inserted for ready use by the gun crew.	shot	s h o t::0.9989019632339478	s h o o t::0.0007600581739097834	s h o o t i n g::0.00019518866611178964	s h o t s::6.327705341391265e-05	b u l l e t::1.3214047612564173e-05	s h o o t s::1.2587606761371717e-05	f i r e::4.017589162685908e-06	p i t c h::2.671652737262775e-06	p u n c h::2.652409420988988e-06	a r r o w::1.7623300436753198e-06	f i r e d::1.5121219121283502e-06	f i l m::1.5058849385241047e-06	c u t::1.4957086023059674e-06	h i t::1.3795048516840325e-06	g r a i n::1.2911988278574427e-06	c u e::1.2284792774153175e-06	.::9.04552166502981e-07	a m m u n i t i o n::8.268993383353518e-07	g u n s h o t::7.703742994635832e-07	t i m e::7.559294203929312e-07
Moore fired two shots, the first a warning shot in the air and the second at the man.	shots	s h o t s::0.9685738682746887	m o r e::0.017942950129508972	s h o t::0.003261856734752655	r o u n d s::0.0019115486647933722	b u l l e t s::0.0013729098718613386	t i m e s::0.0006587827228941023	g u n s::0.0003429231874179095	b u r s t s::0.0002939382684417069	r o c k e t s::0.00023622209846507758	t h i n g s::0.00022584407997783273	h i t s::0.00019863402121700346	a r r o w s::0.0001904195232782513	o t h e r s::0.00018898866255767643	s h e l l s::0.00018499353609513491	b l a s t s::0.0001421476627001539	a g a i n::0.00014132638170849532	m i s s i l e s::0.0001323464239249006	t o r p e d o e s::0.00012545181380119175	w e a p o n s::0.0001240430137841031	s h o o t s::0.00012078029249096289
You will more and more be able to make the ball do what is needed for the shot.	shot	s h o t::0.9830584526062012	s h o o t::0.00551837682723999	s h o t s::0.0033049865160137415	s h o o t i n g::0.001954205334186554	h i t::0.0015022342558950186	g o a l::0.0006513045518659055	p o i n t::0.0002577405539341271	b a l l::0.00022750729112885892	k i c k::0.0002159038558602333	p l a y::0.00017068604938685894	g a m e::0.00016561613301746547	t h r o w::0.00015381087723653764	t a r g e t::0.00011654994887067005	r u n::0.00011393446766305715	k i l l::0.00011317327880533412	a t t a c k::9.358168608741835e-05	a t t e m p t::6.988260429352522e-05	t r y::6.882633897475898e-05	t r i c k::6.448172644013539e-05	p a s s::6.261930684559047e-05
He slashed open a tent on a campsite at San Casciano, south of Florence, and fired several shots into the bodies of French tourists Jean Michel Kraveichvilj and Nadine Mauriot.	shots	s h o t s::0.9940630793571472	b u l l e t s::0.0020032203756272793	s h o t::0.0017318085301667452	r o u n d s::0.0007005452062003314	t i m e s::0.0001775436248863116	s h o o t s::0.00013389559171628207	s h e l l s::0.00010194772039540112	m o r e::9.890653018373996e-05	b u r s t s::9.580345067661256e-05	d a r t s::6.71563611831516e-05	r i f l e s::5.8380126574775204e-05	r o c k e t s::5.109965422889218e-05	a r r o w s::3.871854278258979e-05	h i t s::3.4656241041375324e-05	b o l t s::3.3177948353113607e-05	g u n s::2.2664482457912527e-05	f i r e s::1.5991563486750238e-05	w e a p o n s::1.5650315617676824e-05	c h a m b e r s::1.4927868505765218e-05	w o u n d s::1.4625727089878637e-05
Settlers&#8217; accounts of the prairie conquest mention a sound, a series of pops, like pistol shots, the sound of stout grass roots breaking before a moldboard plow.	shots	s h o t s::0.9900692105293274	s h o t::0.006151578389108181	s h o o t s::0.0010499719064682722	b u r s t s::0.0006609244155697525	f i r e s::0.0003711157478392124	s h o o t i n g::0.00015722303942311555	b u l l e t s::0.00015001882275100797	f i r e::0.0001038726040860638	# # e s::9.918779687723145e-05	h i t s::8.47009287099354e-05	s t r o k e s::7.346020720433444e-05	s h e l l s::5.1175960834370926e-05	f l a s h e s::4.8509755288250744e-05	r o u n d s::3.961690890719183e-05	c u t s::3.9528524212073535e-05	b l a s t s::3.512961120577529e-05	b o l t s::2.9264376280480064e-05	s h o o t::2.417275209154468e-05	f i r e d::1.9217304725316353e-05	c h a r g e s::1.806752334232442e-05
So, I can't apply them to a pool table and my stroke, cue ball hit and distance shots.	shots	s h o t s::0.9970383644104004	s h o t::0.0026505370624363422	s h o o t s::0.0001557866344228387	s h o o t i n g::4.841589543502778e-05	h i t s::3.074447886319831e-05	s h o o t e r s::5.61192746317829e-06	s h o o t::4.263421487848973e-06	o n e s::3.4844815672840923e-06	s t r o k e s::3.4039780985040125e-06	p i c t u r e s::2.136838929800433e-06	c a s e s::1.2776475841747015e-06	s c o r e s::1.2444485264495597e-06	d r i v e s::1.1921018767679925e-06	k i l l s::1.097502604352485e-06	b u l l e t s::1.0464775641594315e-06	r a t e s::1.019865976559231e-06	t a r g e t s::1.0106368790729903e-06	c u t s::9.560654916640487e-07	r e p o r t s::7.646955850759696e-07	c a l l s::7.365088094957173e-07
Thanks to Ben I have a good head shot of Chad for Hugh's latest assault.	shot	s h o t::0.9983705878257751	s h o o t::0.0008108605397865176	s h o t s::0.0006871008663438261	s h o o t i n g::3.2857333280844614e-05	v i e w::2.889325696742162e-05	p i c t u r e::1.1512711353134364e-05	o n e::4.893807272310369e-06	s h o o t s::4.084474312548991e-06	s h o o t e r::2.6726033865998033e-06	c l i p::2.1304092570062494e-06	u p::2.1282121451804414e-06	h i t::2.0817490167246433e-06	c u t::1.957969971044804e-06	# # s h o t::1.8596421114125405e-06	r i f l e::1.2476763231461518e-06	c o u n t::1.1119669807158061e-06	p h o t o::9.548373327561421e-07	# # h o t::9.15021018954576e-07	i m a g e::8.995206144390977e-07	r a t e::8.850024642015342e-07
Episode also introduces several changes: UNCLE secretaries have a new uniform of yellow turtlenecks or blouses with brown skirts; UNCLE HQs has more computers (actually surplus NASA equipment); and titles have been redone, with new Robert Vaughn, David McCallum and Leo G. Carroll shots.	shots	s h o t s::0.9484187364578247	s h o t::0.04969562217593193	s h o o t i n g::0.00034864310873672366	s h o o t s::0.0002984654565807432	s c e n e s::0.000181723982677795	p i c t u r e s::0.00017973259673453867	i m a g e s::0.00013844383647665381	p h o t o s::0.00011193811224075034	f o o t a g e::8.918171079130843e-05	p h o t o g r a p h s::8.299184264615178e-05	s h o o t::8.232392428908497e-05	p h o t o g r a p h y::2.4139981178450398e-05	c l i p s::2.3614378733327612e-05	c a m e r a s::1.4461814316746313e-05	f i l m e d::1.2816368325729854e-05	v i d e o s::1.1162081136717461e-05	i n t e r v i e w s::9.298204531660303e-06	u s e d::7.282572823896771e-06	l o o k i n g::6.6325528678135015e-06	c u t s::6.016548923071241e-06
This 78-page (paperback) book is well worth reading, especially if you have children or if you are being pressured to get a flu shot.	shot	s h o t::0.9991768002510071	s h o t s::0.00041158124804496765	s h o o t::5.954527296125889e-05	r a y::4.268918200978078e-05	d a r t::2.336944453418255e-05	c u t::1.648439501877874e-05	h i t::1.6289923223666847e-05	r u n::1.2818143659387715e-05	j u m p::9.248538844985887e-06	s t r o k e::7.931498657853808e-06	e f f e c t::7.090668532327982e-06	t u b e::6.998562184890034e-06	s p r a y::6.7481064434105065e-06	b r e a k::6.08232903687167e-06	b u l l e t::5.182639142731205e-06	# # k e::4.118824108445551e-06	b u r s t::3.8066564229666255e-06	s h o w e r::3.6958874716219725e-06	i n j e c t i o n::3.63986509910319e-06	d i e::3.5278144423500635e-06
Std 5.5.3 Loop detectors installed at signalized intersections should be sensitive enough to detect bicycles and the pavement marked to show the cyclist where the trigger is located.	show	s h o w::0.9985440969467163	t e l l::0.00030291793518699706	s h o w i n g::0.0001856329181464389	i n d i c a t e::0.00016737142868805677	r e v e a l::0.00014771857240702957	s h o w s::0.00011240023013669997	d i s p l a y::8.332046854775399e-05	s h o w e d::7.82480783527717e-05	s e e::4.454918234841898e-05	m a r k::4.285069735487923e-05	s i g n a l::3.107875454588793e-05	g i v e::1.1841045306937303e-05	i d e n t i f y::1.1680492207233328e-05	s t a t e::1.1430443919380195e-05	s h o w n::1.0540125003899448e-05	f i n d::8.715815965842921e-06	s c r e e n::7.524086413468467e-06	k n o w::7.362474661931628e-06	s i g n::6.263211162149673e-06	a n n o u n c e::5.071570740255993e-06
I cannot connect and my access point is not shown by " iwlist scan ".	shown	s h o w n::0.9911751747131348	s h o w e d::0.0038521254900842905	d i s p l a y e d::0.00190407270565629	s h o w i n g::0.0008579365676268935	p r e s e n t e d::0.00043007038766518235	i n d i c a t e d::0.00038185532321222126	r e v e a l e d::0.00028271411429159343	s e e n::0.00012530798267107457	p r o v i d e d::0.00011036876094294712	s h o w::0.00010713805386330932	g i v e n::9.541495819576085e-05	r e p r e s e n t e d::6.232118903426453e-05	s h o w s::5.7312969147460535e-05	i l l u s t r a t e d::4.931008879793808e-05	d e p i c t e d::3.813303919741884e-05	d e m o n s t r a t e d::3.129701144644059e-05	h i g h l i g h t e d::2.9359915060922503e-05	c o v e r e d::2.421178032818716e-05	r e c o r d e d::1.962029818969313e-05	m a r k e d::1.8711589291342534e-05
show yet once more the dreadful film of her children's death, and she doesn't come out again.	show	a n d::0.2745109498500824	,::0.2732165455818176	s h o w::0.20638145506381989	.::0.157632514834404	s h o w s::0.03989707678556442	...::0.00694581214338541	-::0.006628372706472874	!::0.0031991011928766966	s h o w i n g::0.0023829347919672728	a g a i n::0.0023456071503460407	m o r e::0.002301375614479184	b u t::0.0018694407772272825	n o t::0.0013653924688696861	s e e::0.001194406533613801	;::0.0008319353219121695	s h o w e d::0.0007407466764561832	i s::0.0007339717703871429	h a v e::0.0007131249876692891	/::0.0006494562840089202	s h o w n::0.00064488296629861
One example is shown in Fig.	shown	s h o w n::0.996518611907959	p r e s e n t e d::0.0008881668909452856	s e e n::0.000629565620329231	g i v e n::0.0003857460105791688	d e p i c t e d::0.00033577473368495703	i l l u s t r a t e d::0.00019978810450993478	d i s p l a y e d::0.00018256818293593824	d e s c r i b e d::9.02790852705948e-05	s h o w e d::8.163279562722892e-05	f o u n d::6.006506737321615e-05	s h o w i n g::5.898948074900545e-05	i n d i c a t e d::5.3744297474622726e-05	d e m o n s t r a t e d::4.153825648245402e-05	m e n t i o n e d::3.2610005291644484e-05	d o n e::2.6177396648563445e-05	l i s t e d::2.4879649572540075e-05	p r o v i d e d::2.259882603539154e-05	s t a t e d::1.964946568477899e-05	r e p r e s e n t e d::1.8391103367321193e-05	e x h i b i t e d::1.501069709775038e-05
Case Sensitive: If you you check the case sensitive box, capitalization will matter (for example, if you search for " Star ", then listings with the word " star " will not show up).	show	s h o w::0.999450147151947	s h o w i n g::0.0001709564821794629	l o o k::0.00011083199933636934	m a t c h::6.064329863875173e-05	s h o w s::5.3564857807941735e-05	s h o w e d::4.2380928789498284e-05	p o p::2.4954839318525046e-05	a d d::1.7204762116307393e-05	s h o w n::1.1469098353700247e-05	d i s p l a y::1.0024889888882171e-05	a p p e a r::5.5199793678184506e-06	c o m e::4.03970489060157e-06	l i g h t::3.155244939989643e-06	s t a n d::3.1501424473390216e-06	t u r n::2.93644029625284e-06	f a c e::2.4360483621421736e-06	b e::1.9892308955604676e-06	g i v e::1.4342056147143012e-06	s i g n::1.0457746384417987e-06	e n d::1.027376129059121e-06
Showing it as a fall apple tree (before we do the color change on the leaves).	Showing	s h o w i n g::0.7530645132064819	s h o w s::0.15054741501808167	s h o w::0.030710075050592422	s h o w e d::0.012447779066860676	s h o w n::0.010969151742756367	p r e s e n t i n g::0.00402740528807044	d i s p l a y i n g::0.0038727375213056803	p r e s e n t s::0.0033226904924958944	o f::0.001791369286365807	d i s p l a y s::0.0017312876880168915	d i s p l a y::0.001565369893796742	v i e w i n g::0.001192964962683618	s e e i n g::0.0010606605792418122	d o i n g::0.0008923161076381803	d e p i c t s::0.0007488565752282739	o n::0.0007475572056137025	w i t h::0.0007262605358846486	,::0.0006172084249556065	r e v e a l i n g::0.0005887203151360154	d e p i c t i n g::0.0005444769631139934
Also, when combined with a multiple hazard map, a CFM can show which areas require more information, which ones require different hazard reduction techniques, and which need immediate attention when a hazardous event occurs.	show	s h o w::0.9964654445648193	s h o w s::0.0010859532048925757	d i s p l a y::0.00048452100600115955	d e m o n s t r a t e::0.00023038164363242686	s e e::0.0001936894841492176	s h o w e d::0.0001908159611048177	s h o w i n g::0.00018685827672015876	i n d i c a t e::0.00015240519132930785	r e v e a l::0.0001277404371649027	i l l u s t r a t e::0.00011178747081430629	s t a t e::6.595108425244689e-05	t e l l::5.489334216690622e-05	s h o w n::5.3277562983566895e-05	d o c u m e n t::2.5792356609599665e-05	p r o v e::2.475202018104028e-05	e x p l a i n::2.308521834493149e-05	p r o v i d e::2.0647092242143117e-05	d e s c r i b e::1.9999810319859535e-05	d o::1.8448512491886504e-05	m a r k::1.7182559531647712e-05
I 'd like to upload my own personal videos TO the tivo, so I can show them to guests using my TV.	show	s h o w::0.9977505803108215	p r e s e n t::0.0004112509486731142	d i s p l a y::0.00022748307674191892	s h o w e d::0.0001802665356080979	s h o w i n g::0.00015228945994749665	g i v e::0.0001223312719957903	s h o w s::9.528957889415324e-05	s e e::6.882235902594402e-05	s c r e e n::6.502995529444888e-05	s h o w n::5.4867981816641986e-05	p a s s::5.142369991517626e-05	o f f e r::5.033970228396356e-05	t e l l::4.896230893791653e-05	i n t r o d u c e::4.1794457501964644e-05	b r o a d c a s t::3.9842951082391664e-05	s h o w c a s e::3.86497558793053e-05	p l a y::3.631584331742488e-05	e x h i b i t::3.048570033570286e-05	t e a c h::3.0055196475586854e-05	v i e w::2.9009455829509534e-05
Navajo and European-American mothers were shown videotaped episodes of Navajo and European-American children participating in a classroom.	shown	s h o w n::0.9748014211654663	s h o w i n g::0.011418819427490234	s h o w e d::0.002791944658383727	w a t c h i n g::0.0027512190863490105	g i v e n::0.0019635804928839207	s e e n::0.0017991885542869568	p r e s e n t e d::0.0008220538729801774	v i e w i n g::0.0006517826113849878	w a t c h e d::0.0005323095247149467	s h o w::0.0002070652844849974	o n::0.00018872036889661103	b r o a d c a s t::0.00013325987674761564	s e e i n g::0.0001244444865733385	p r e s e n t::9.553964628139511e-05	o b s e r v e d::9.133198909694329e-05	d i s p l a y e d::6.279951776377857e-05	s c r e e n e d::6.200617644935846e-05	s h o w s::5.064756260253489e-05	p r e s e n t i n g::4.958294812240638e-05	t o l d::4.549761433736421e-05
The corporal shown above is wearing the regulation cork helmet covered in blue cloth.	shown	s h o w n::0.9891141653060913	d e s c r i b e d::0.003966390620917082	d e p i c t e d::0.0014786629471927881	d i s p l a y e d::0.0011019394733011723	s e e n::0.0008834460750222206	p r e s e n t e d::0.0006112284027040005	i l l u s t r a t e d::0.00040216176421381533	m e n t i o n e d::0.0003060635062865913	p o r t r a y e d::0.0002653775445651263	l i s t e d::0.00018641146016307175	r e p r e s e n t e d::0.00017298691091127694	s h o w i n g::0.00015555355639662594	i n d i c a t e d::0.00011913506023120135	f i g u r e::9.144303476205096e-05	p i c t u r e d::7.837829616619274e-05	g i v e n::7.836903387214988e-05	s h o w e d::7.795420970069245e-05	s t a n d i n g::7.677960820728913e-05	s t a t e d::6.779680552426726e-05	f e a t u r e d::5.181665255804546e-05
Wind the power cable into a gentle loop when storing it in the bag.	Wind	w i n d::0.9149335026741028	t u r n::0.009776509366929531	f o r c e::0.009353406727313995	b e n d::0.007255899254232645	b r i n g::0.0021022967994213104	b l o w::0.0018345952266827226	d r i v e::0.0017591884825378656	w i n d s::0.00140392838511616	p u t::0.0013917959295213223	s p i n::0.0013445642543956637	# # w i n d::0.0012864448362961411	p u l l::0.0011967791942879558	s e t::0.0011736191809177399	r o l l::0.0010732583468779922	m o v e::0.0010708894114941359	s t o r m::0.000929651316255331	p u s h::0.0009249501745216548	d r a w::0.0006834312807768583	p a s s::0.0006807821337133646	m a k e::0.0006153765716589987
The Southern Forests Travelling east and inland from Augusta, the roads wind their way through some of the most incredible forests found anywhere in the world.	wind	w i n d::0.9987323880195618	m a k e::0.0001368896191706881	w i n d s::0.00010148789442609996	r i n g::9.118075104197487e-05	w o u n d::7.708108751103282e-05	w o r k::6.394117372110486e-05	l e a d::4.3407468183431774e-05	f i n d::3.855386967188679e-05	w a l k::3.148058749502525e-05	t a l k::2.906518056988716e-05	w e a v e::2.7839259928441606e-05	b r e e z e::2.6716108550317585e-05	p i c k::1.9591177988331765e-05	p u s h::1.785761196515523e-05	s a i l::1.6850939573487267e-05	r u n::1.0215408110525459e-05	w i n d i n g::1.0111793017131276e-05	f i g h t::9.360999683849514e-06	# # v e::8.948110007622745e-06	m i l l::8.886971045285463e-06
Jury wonders, is Harry Johnson winding him up?	winding	w i n d i n g::0.9980113506317139	t y i n g::0.0009729071171022952	s e t t i n g::0.00012245650577824563	p i c k i n g::5.4617077694274485e-05	t u r n i n g::3.885853584506549e-05	w r a p p i n g::3.490153540042229e-05	t i g h t e n i n g::2.8405989723978564e-05	b r e a k i n g::2.8194664992042817e-05	g i v i n g::2.5011770048877224e-05	f i x i n g::2.263353962916881e-05	# # r i n g::2.0520330508588813e-05	w o u n d::2.002646215260029e-05	b a c k i n g::1.8700464352150448e-05	s c r e w i n g::1.7361368009005673e-05	l i n i n g::1.5345496649388224e-05	t w i s t i n g::1.5008156879048329e-05	m e s s i n g::1.4819717762293294e-05	s l o w i n g::1.3127952115610242e-05	l o c k i n g::1.3079015843686648e-05	k e e p i n g::1.2175681149528828e-05
Palestinians know that Israelis are reluctant to shoot at children; and if a child does wind up getting killed, it makes for excellent anti-Israel propaganda.	wind	w i n d::0.9672796726226807	e n d::0.031644485890865326	w o u n d::0.000623093917965889	c u r l::0.00011352384171914309	w a k e::8.405857806792483e-05	w i n d s::5.715168299502693e-05	g r o w::2.912312811531592e-05	e n d e d::2.6873807655647397e-05	h e a t::2.132883128069807e-05	t u r n::1.6746300389058888e-05	p i c k::1.4511580957332626e-05	c o m e::8.871495083440095e-06	e n d i n g::7.753782483632676e-06	e n d s::6.688877874694299e-06	g i v e::3.3108651678048773e-06	p o p::3.0943526780902175e-06	b r e e z e::2.3004404283710755e-06	s i d e::2.15485874832666e-06	h o o k::2.070124537567608e-06	c u r v e::2.0496979686868144e-06
Half a mile further was Fox's Hill, and winding up the long hollow between them was Taylor's Lane, which led first to their driveway about a quarter of a mile in, and then to three other Quaker farms further on.	winding	w i n d i n g::0.9960216879844666	t u r n i n g::0.0003694180923048407	r i g h t::0.0003692314203362912	s t r a i g h t::0.0003625915851444006	r u n n i n g::0.0003482542815618217	c o n t i n u i n g::0.00020426085393410176	w o u n d::0.0001732855016598478	g o i n g::0.00016813211550470442	t w i s t i n g::0.00013517386105377227	e n d i n g::0.00012266988051123917	p i c k i n g::0.00010365621710661799	t h e n::7.943642413010821e-05	h e a d i n g::7.597549847560003e-05	l e a d i n g::7.174340862547979e-05	c u t t i n g::6.967609806451946e-05	c o m i n g::6.253282481338829e-05	c u r l i n g::5.225660061114468e-05	c u r v i n g::5.00075111631304e-05	c l i m b i n g::3.523319901432842e-05	w r a p p i n g::3.3867185265989974e-05
So they all wind up in that loaf of bread.	wind	w i n d::0.9989176988601685	c u r l::0.0004490290011744946	w i n d s::0.00012864454765804112	e n d::0.00012069337390130386	w a k e::0.00011894612543983385	b l o w::4.628214082913473e-05	w o u n d::1.9101984435110353e-05	g r o w::1.7546728486195207e-05	g e t::1.5818019164726138e-05	g i v e::1.3235709047876298e-05	h e a t::9.248152309737634e-06	g o::8.600829460192472e-06	c o m e::8.3392706073937e-06	b r e e z e::7.507616373914061e-06	w a r m::6.3693955780763645e-06	t u r n::5.027691713621607e-06	c a t c h::3.1588313049724093e-06	r u n::3.129843207716476e-06	d i e::2.8199003736517625e-06	p i c k::2.6765760594571475e-06
The lawsuits that threaten to cripple a a number of the churches are winding their way through the courts.	winding	w i n d i n g::0.9929673671722412	t w i s t i n g::0.0005434339982457459	w e a v i n g::0.00047860745689831674	f i g h t i n g::0.0004576500505208969	w o u n d::0.0004473548324313015	m a k i n g::0.0003376882232259959	o n::0.0002796726184897125	c r e e p i n g::0.00024532550014555454	t e a s i n g::0.00023820727074053138	b a t t l i n g::0.0001637675886740908	w o r k i n g::0.00012969051022082567	p i c k i n g::0.00010689631017157808	m o a n i n g::7.856538286432624e-05	e a s i n g::7.719427958363667e-05	c l i m b i n g::6.82024983689189e-05	p u s h i n g::6.784142897231504e-05	n e g o t i a t i n g::6.422919977921993e-05	c u t t i n g::6.328173913061619e-05	f i n d i n g::5.429121301858686e-05	r u n n i n g::4.560725938063115e-05
Now however she was falling through that skylight, the strong dark figure that had appeared out of nowhere falling through with her, his arms tightly entwined about her, his shoulder having winded her.	winded	c a u g h t::0.12595658004283905	r e a c h e d::0.046778395771980286	b o u n d::0.026983611285686493	s t r u c k::0.0251119676977396	b o r n e::0.018551435321569443	s a v e d::0.018314091488718987	w o u n d e d::0.018274519592523575	w o u n d::0.018163027241826057	t o u c h e d::0.01654929853975773	c a r r i e d::0.015282291918992996	s t o p p e d::0.015280135907232761	w i n d::0.01474780309945345	d r a w n::0.014442872256040573	c h i l l e d::0.010840602219104767	b r u s h e d::0.010333468206226826	h u r t::0.010242555290460587	k i l l e d::0.009634174406528473	s c a r e d::0.009320680052042007	t r a p p e d::0.008854021318256855	b e n t::0.008773455396294594
Experience outdoor adventure, mini golf, horse trekking, wind your way though a maze, mountain biking and relaxing in the famous Hanmer Springs hot pools.	wind	w i n d::0.999902606010437	w i n d s::3.025645673915278e-05	b r e e z e::9.806472007767297e-06	b e n d::8.023044756555464e-06	d r i f t::4.04494267058908e-06	# # w i n d::2.8111317078582942e-06	a i r::2.495008175174007e-06	s a i l::1.9255985534982756e-06	b l o w::1.9168351172993425e-06	f l o w::1.5868616856096196e-06	w a l k::1.4732262343386537e-06	f e e l::1.2275093013158767e-06	h e d g e::1.146591671385977e-06	s a n d::8.335381380675244e-07	m i l l::6.932921792213165e-07	l a n d::6.855980814179929e-07	o n::6.705132022943872e-07	g u s t::6.25657889941067e-07	b e a t::6.070090421417262e-07	d u n e::4.6531718567166536e-07
