The rest is tinkering, magic, forbidden games.	rest	r e s t::0.9986504912376404	r e m a i n d e r::0.0006098392186686397	o t h e r::0.00010223394929198548	p a r t::0.00010192136687692255	w h o l e::7.612787157995626e-05	l a s t::5.228251393418759e-05	t h i r d::2.3441109078703448e-05	o t h e r s::1.156758389697643e-05	t a l k::1.1452569196990225e-05	g a m e::1.1325848390697502e-05	f o u r t h::1.0892159480135888e-05	b a l a n c e::9.301341378886718e-06	r e s u l t::6.334856607281836e-06	e n d::5.929322014708305e-06	f i f t h::5.694299488823162e-06	m o r e::5.309462267177878e-06	t h i n g::5.241258349997224e-06	s o n g::5.082822553958977e-06	b o o k::4.916832494927803e-06	j o k e::4.793347670783987e-06
The history of message encryption goes back to ancient Greece where messages were written on a tape wound around a stick.	wound	w o u n d::0.9706074595451355	w r a p p e d::0.020346520468592644	t i e d::0.003727460978552699	c o i l e d::0.002581961452960968	t w i s t e d::0.0010371002135798335	c u r l e d::0.0003241596568841487	l a c e d::0.00019699602853506804	l o o p::0.0001476289180573076	k n o t t e d::7.85059091867879e-05	b o u n d::6.789741746615618e-05	t h r e a d e d::6.77359857945703e-05	s t r u n g::5.254156349110417e-05	w i n d i n g::5.2408347983146086e-05	w o v e n::4.862809873884544e-05	s p u n::4.564572373055853e-05	t i g h t e n e d::3.680098234326579e-05	f o l d e d::2.581478656793479e-05	r o l l e d::2.32676429732237e-05	p a s s e d::2.0707917428808287e-05	w r a p::1.958805114554707e-05
I managed to get a position working on the phylogeography of some New Zealand animals this summer.	working	w o r k i n g::0.9966945648193359	w o r k::0.0006289146258495748	r e s e a r c h i n g::0.0004943148815073073	w r i t i n g::0.00037337193498387933	h e r e::0.00034567469265311956	t r y i n g::0.00011078496754635125	f o c u s i n g::0.00010732835653470829	h e l p i n g::0.0001056452383636497	l o o k i n g::9.331138426205143e-05	t a l k i n g::6.810185732319951e-05	s t u d y i n g::5.3397663577925414e-05	w o r k e d::5.177384809940122e-05	t h e r e::5.0293714593863115e-05	a g a i n::4.798775989911519e-05	s t a r t i n g::4.2708801629487425e-05	g o i n g::3.899770672433078e-05	u p::2.8378766728565097e-05	t h i n k i n g::2.38670709222788e-05	a l s o::2.380321893724613e-05	w o r k s::2.1332287360564806e-05
In September, I wrote a post with the title, "Did the President of CBS News Have Anyone in Charge of Reading the Internet and Sending Alerts?&#8221; By asking people who work there, I have since determined that he didn't.	work	w o r k::0.9991722106933594	w o r k e d::0.0005727869574911892	w o r k s::0.000117427138320636	l i v e::5.287936801323667e-05	w o r k i n g::3.249949440942146e-05	a r e::1.5638641343684867e-05	h e l p::4.312928012950579e-06	s h o p::4.047079073643545e-06	w o r k e r::3.9099736568459775e-06	s t a y::2.979311830131337e-06	j o b::2.5444430775678484e-06	s e r v e::2.0123691228945972e-06	s t a f f::6.741099696228048e-07	# # w o r k::6.530645464408735e-07	g o::6.168567097120103e-07	s t u d y::5.771271389676258e-07	o p e r a t e::5.480125082613085e-07	w o r k e r s::5.277447030493931e-07	p r a c t i c e::4.899864620711014e-07	s i t::4.4412684019334847e-07
Teachers were introduced to content by experienced mentor teachers and scientists, who worked with them as they used the kits (Marsh and Sevilla, 1991).	worked	w o r k e d::0.999645471572876	w o r k::0.00018934256513603032	w o r k i n g::7.055755122564733e-05	c o l l a b o r a t e d::2.165225123462733e-05	h e l p e d::1.0737138836702798e-05	w o r k s::8.836452252580784e-06	t a l k e d::8.597546184319071e-06	w e r e::6.295224011410028e-06	t r a i n e d::5.1303741201991215e-06	t a u g h t::3.2144150736712618e-06	a c t e d::2.6104912649316248e-06	s t a y e d::2.508159013814293e-06	l i v e d::2.399353434157092e-06	s e r v e d::2.1231403479760047e-06	a g r e e d::1.9653207345982082e-06	s t u d i e d::1.6827007129904814e-06	s p o k e::1.5430759958690032e-06	w r o t e::9.778062803889043e-07	p l a y e d::8.259324886239483e-07	t r i e d::7.848640848351351e-07
Mary then worked for a few years before returning to the University of Michigan for a Master's degree in civil engineering in 1944.	worked	w o r k e d::0.6564891338348389	t a u g h t::0.2815103530883789	p r a c t i c e d::0.006809390615671873	s t u d i e d::0.006733808200806379	s e r v e d::0.0059495847672224045	s t a y e d::0.004358259029686451	l i v e d::0.004145086742937565	t r a v e l e d::0.0028422465547919273	l e c t u r e d::0.0024246356915682554	t r a i n e d::0.0023215424735099077	l e f t::0.0016340167494490743	r e t i r e d::0.0011466806754469872	r e m a i n e d::0.0010478851618245244	r e t u r n e d::0.0007423089118674397	c o n t i n u e d::0.000728100654669106	c o a c h e d::0.0006753162597306073	m a r r i e d::0.0005942335119470954	t e a c h i n g::0.0005642682663165033	s p e n t::0.0005585939507000148	t o u r e d::0.0005060191033408046
Until the 1800s, most Americans rarely tasted anything containing refined sugar.) As you dig into your turkey, stuffing and pecan pie, washed down with a $ 10 bottle of wine superior in quality to any wine available to the 17th-century kings of France, remember how hard your ancestors worked, and how they sacrificed, in the dream that someday their descendants would be warm, well-fed and secure against nature.	worked	w o r k e d::0.9994044303894043	w o r k::0.0005465048598125577	w o r k i n g::3.0026796594029292e-05	t r i e d::6.215964276634622e-06	w o r k s::5.761022293881979e-06	f o u g h t::1.431923237760202e-06	s t u d i e d::7.242032324938918e-07	t r a i n e d::5.745470161855337e-07	l a b o r::4.980619223715621e-07	d i d::2.983335605222237e-07	l i v e d::2.846474274065258e-07	t h o u g h t::2.3308588481540937e-07	l o o k e d::2.1973373520722816e-07	p l a y e d::1.963628051271371e-07	s e r v e d::1.857006424188512e-07	# # w o r k::1.8432456272421405e-07	l a b o u r::1.6186410789487127e-07	w r o t e::1.432440086546194e-07	s e a r c h e d::1.355184338081017e-07	s t r u g g l e d::1.0356112056797429e-07
Close to 5,000 people are still employed in textiles, and our task is to work with those companies on an individual basis to assist them to reposition themselves in higher-value markets.	work	w o r k::0.9999639987945557	w o r k s::7.594460839754902e-06	h e l p::6.263533578021452e-06	w o r k i n g::4.418662228999892e-06	t a l k::2.600160314614186e-06	w o r k e d::2.523389184716507e-06	a c t::1.8756189774649101e-06	d e a l::1.4114517625785084e-06	s p e a k::1.1508822126415907e-06	m e e t::9.175221293844515e-07	# # w o r k::9.033695960170007e-07	s t a y::8.63980687881849e-07	b e::4.986088697478408e-07	t h i n k::3.9485436786890205e-07	c o l l a b o r a t e::3.6743384157489345e-07	l i v e::2.843009667685692e-07	c o o p e r a t e::2.6385680484963814e-07	f u n c t i o n::2.4288902977787075e-07	d o::2.2418555545300478e-07	g o::1.84769305633381e-07
" In the future, I can see the two superpowers working in tandem - one big red state and one big blue state, if you will - moderating each others excesses, as well as setting the agenda for the rest of the world along the lines of our shared values.	working	w o r k i n g::0.9998701810836792	w o r k::5.656980647472665e-05	a c t i n g::1.3467026292346418e-05	t r y i n g::1.2231932487338781e-05	# # w o r k i n g::1.1252712283749133e-05	w o r k e d::8.097986210486852e-06	l i v i n g::3.3190833619300975e-06	m o v i n g::3.1884535474091535e-06	f i g h t i n g::2.900178515119478e-06	g o i n g::2.5968734007619787e-06	r u n n i n g::1.2847391417381004e-06	t a l k i n g::1.0232171234747511e-06	o p e r a t i n g::1.0051330718852114e-06	c o l l a b o r a t i n g::7.730627089586051e-07	t h i n k i n g::7.171992706389574e-07	h e l p i n g::7.169708169385558e-07	w o r k s::7.095023306646908e-07	p l a y i n g::5.738830282098206e-07	p u s h i n g::5.239585902927502e-07	d o i n g::4.941456381857279e-07
(Media Materials &amp;gt; Press Releases &amp; RMI Announcements) 22 May 2005 A Cuyahoga River Makeover��Plan Aims to Bolster Environment While Sustaining Industry The planners stress they want to work with industry.	work	w o r k::0.9996594190597534	h e l p::7.058357005007565e-05	s t a y::6.415096868295223e-05	b e::2.9115835786797106e-05	t a l k::2.0299745301599614e-05	c o l l a b o r a t e::1.293464629270602e-05	t h i n k::1.2432273251761217e-05	d o::1.1569203707040288e-05	l i v e::9.963361662812531e-06	w o r k s::8.30540739116259e-06	d e a l::7.600051048939349e-06	b u i l d::7.546525466750609e-06	m e e t::6.018767180648865e-06	c o o p e r a t e::5.02608236274682e-06	w o r k i n g::4.632682248484343e-06	g o::4.479969902604353e-06	a c t::3.6823471418756526e-06	i n t e r a c t::3.3247156352445018e-06	t r a d e::2.948072733488516e-06	s p e a k::2.9397062917269068e-06
One of the areas that has been changed in these new codes is to take into account the fact that local authorities and the National Health Service are, more and more, working either with each other or with other bodies��local authorities, social services, voluntary bodies.	working	w o r k i n g::0.9993313550949097	c o l l a b o r a t i n g::0.00020326738012954593	w o r k::0.00010288100020261481	i n t e r a c t i n g::4.3971434934064746e-05	m e e t i n g::4.0788032492855564e-05	a c t i n g::3.909326551365666e-05	d e a l i n g::3.342721174703911e-05	h e l p i n g::1.9885268557118252e-05	# # w o r k i n g::1.7239919543499127e-05	i n v o l v e d::1.4157428267935757e-05	c o m m u n i c a t i n g::1.3273570402816404e-05	w o r k e d::1.1785441529355012e-05	s e r v i n g::1.0826300240296405e-05	d o i n g::1.0381163519923575e-05	o p e r a t i n g::8.7953185357037e-06	w r i t i n g::7.524634384026285e-06	c o m p e t i n g::6.59778152112267e-06	c o n t r a c t i n g::3.222433633709443e-06	r u n n i n g::3.166223905282095e-06	t r a i n i n g::3.1529175430478062e-06
Knowledge of Southern California history and experience working with non-profit museum highly desirable.	working	w o r k i n g::0.9993146657943726	h e l p i n g::0.00012390311167109758	d e a l i n g::9.593748109182343e-05	c o n s u l t i n g::7.323758472921327e-05	t r a i n i n g::3.24639149766881e-05	a s s i s t i n g::2.888959352276288e-05	# # w o r k i n g::2.8287298846407793e-05	t e a c h i n g::2.776060500764288e-05	w o r k e d::2.469950595695991e-05	w o r k::2.4501847292413004e-05	l i v i n g::1.6153224351000972e-05	t r y i n g::1.4684595043945592e-05	t a l k i n g::1.3979543837194797e-05	c o l l a b o r a t i n g::1.1255623576289508e-05	p l a y i n g::9.735190360515844e-06	s e r v i n g::9.688399586593732e-06	d e v e l o p i n g::9.421517461305484e-06	r e s e a r c h i n g::6.622268756473204e-06	p e r f o r m i n g::6.594023034267593e-06	b u i l d i n g::6.546452823386062e-06
