The rest is tinkering, magic, forbidden games.	rest	 rest::0.9978804588317871	 remainder::0.00040010607335716486	 Rest::0.000170256505953148	 end::0.00014982586435507983	 next::0.00010325091716367751	 other::7.154226477723569e-05	 list::6.262502574827522e-05	 result::5.834489275002852e-05	 back::5.105703166918829e-05	 bottom::3.2630443456582725e-05	 future::2.218094414274674e-05	 worst::2.126458457496483e-05	 whole::1.965242699952796e-05	 world::1.777856596163474e-05	 series::1.3884505278838333e-05	 most::1.375959618599154e-05	 head::1.3460571608447935e-05	 piece::1.337602316198172e-05	 past::1.2689359209616669e-05	 last::1.2499898730311543e-05
maybe and FBI agent.... not secret service....	secret	 secret::0.9993164539337158	 Secret::0.0004032179422210902	 clandestine::6.751299952156842e-05	 hidden::3.3865147997858e-05	 covert::3.38266727339942e-05	 security::3.033666689589154e-05	 secrets::2.6285262720193714e-05	 spy::6.271200618357398e-06	 private::4.874635123996995e-06	 confidential::4.8015053835115395e-06	 classified::3.752362317754887e-06	 secrecy::3.2584337077423697e-06	 secretive::3.255706360505428e-06	secret::2.6024520138889784e-06	 special::2.3325583242694847e-06	 civil::2.179427383453003e-06	 intelligence::2.1439793727040524e-06	 public::1.916621386044426e-06	Secret::1.4059286286283168e-06	 military::1.217087287841423e-06
Thomas Golf Irons give you an exceptional advantage over other brands by making it easier to aim and align your shot to the target.	shot	 shot::0.9978906512260437	 shots::0.0011579558486118913	 ball::0.00034079537726938725	 stroke::0.00023085775319486856	 game::8.222291216952726e-05	 drive::5.7918168749893084e-05	 swing::4.933645323035307e-05	 club::3.949615711462684e-05	 aim::1.4918713532097172e-05	 weapon::1.0793592082336545e-05	 approach::9.857432814897038e-06	 round::9.837879588303622e-06	 driver::8.36503295431612e-06	shot::6.139221113699023e-06	 hit::4.2687101995397825e-06	 target::4.248593995725969e-06	 course::4.228214493195992e-06	 hole::3.6433741570363054e-06	 golf::3.550656174411415e-06	 strike::3.0837193207844393e-06
In actuality, ready service shot was kept on the gun or spar decks in shot racks (also known as shot garlands in the Royal Navy) which consisted of longitudinal wooden planks with holes bored into them, into which round shot (cannon balls) were inserted for ready use by the gun crew.	shot	 shot::0.9903619289398193	 shoot::0.002167879370972514	 shooting::0.0012858464615419507	 shots::0.0010461128549650311	 gun::0.0005262825288809836	 fire::0.0003712654870469123	shot::0.00031749720801599324	 aim::0.000252798869041726	 bullet::0.0001402707421220839	 rifle::0.00013878734898753464	 point::0.00010927933180937544	 shell::0.00010859159374376759	 gunfire::0.00010410644608782604	 fired::9.795838559512049e-05	 gunshot::7.58871974539943e-05	 ammo::7.100540096871555e-05	 shotgun::7.075312896631658e-05	 magazine::6.475049303844571e-05	 barrel::6.314230995485559e-05	 shooter::6.115977157605812e-05
Moore fired two shots, the first a warning shot in the air and the second at the man.	shots	 shots::0.9998003840446472	 gunshots::8.325330418301746e-05	 bullets::6.889289215905592e-05	 shot::2.2482025087811053e-05	 rounds::1.1318243196001276e-05	 times::6.0027446124877315e-06	 shoots::2.5928120521712117e-06	 balls::9.536130960441369e-07	 Shots::6.27935833108495e-07	 weapons::2.78714992418827e-07	 missiles::2.212779577348556e-07	shots::2.1570231467649137e-07	 drives::2.1018537665895565e-07	 passes::1.8274184299116314e-07	 rockets::1.3391729680733988e-07	 punches::1.0028124108885095e-07	 projectiles::9.639134646022285e-08	 charges::8.237574178338036e-08	 strikes::7.010446267941006e-08	 guns::6.762499538126576e-08
You will more and more be able to make the ball do what is needed for the shot.	shot	 shot::0.9992169141769409	 shoot::0.00027862770366482437	 shots::0.00017210569058079273	 shooting::5.7272489357274026e-05	 play::3.1648123695049435e-05	 ball::2.606339330668561e-05	 game::2.500427763152402e-05	 drive::1.9873759811162017e-05	 stroke::1.1270407412666827e-05	 pass::1.1067195373470895e-05	 score::1.026735390041722e-05	 finish::1.0033108083007392e-05	 goal::7.885018931119703e-06	 move::6.453129572037142e-06	 shooter::6.305128408712335e-06	 Shot::5.151953700988088e-06	 run::4.723700840258971e-06	 jumper::4.67914742330322e-06	 strike::3.9499027479905635e-06	 aim::3.6660176192526706e-06
He slashed open a tent on a campsite at San Casciano, south of Florence, and fired several shots into the bodies of French tourists Jean Michel Kraveichvilj and Nadine Mauriot.	shots	 shots::0.9973350167274475	 bullets::0.0018098065629601479	 gunshots::0.0007141173700802028	 rounds::8.714336581761017e-05	 shot::3.7960195186315104e-05	 shoots::5.228417649050243e-06	shots::9.288056617151597e-07	 shells::8.352799909516762e-07	 pellets::7.992172754711646e-07	 weapons::6.560866836480272e-07	 Shots::6.032612986928143e-07	 rockets::5.120583637108211e-07	 darts::4.833944444726512e-07	 guns::4.6758810867686407e-07	 missiles::4.562314188660821e-07	 magazines::4.4622845507547027e-07	 shootings::4.163314883953717e-07	 bottles::3.5768442785411025e-07	 holes::3.3356647577420517e-07	 gunfire::3.2841879260558926e-07
Settlers&#8217; accounts of the prairie conquest mention a sound, a series of pops, like pistol shots, the sound of stout grass roots breaking before a moldboard plow.	shots	 shots::0.9995338916778564	 gunshots::0.00014161250146571547	 shoots::0.00012050402438035235	 shot::7.240504783112556e-05	shots::6.663754902547225e-05	 bullets::4.757287024403922e-05	 shootings::4.030468971905066e-06	 strokes::9.968121048586909e-07	 Shots::9.13932694857067e-07	 rounds::8.483668239023245e-07	 fires::7.680086469008529e-07	 drives::6.299899268924491e-07	 shooting::5.682308028553962e-07	 barrels::5.320825380294991e-07	 shouts::5.212370410845324e-07	 shooters::4.1224120650440454e-07	 injections::3.976253424298193e-07	 stares::3.697167585414718e-07	 stocks::3.003019628522452e-07	 hits::2.7017654247174505e-07
So, I can't apply them to a pool table and my stroke, cue ball hit and distance shots.	shots	 shots::0.9976044297218323	 shot::0.0020282974001020193	 shoots::5.2485793275991455e-05	 games::5.0682119763223454e-05	 shooting::2.8800406653317623e-05	 strokes::2.3868316930020228e-05	shots::1.9201243048883043e-05	 plays::1.7919523088494316e-05	 balls::1.02602134575136e-05	 drives::9.413146472070366e-06	 skills::7.5721486609836575e-06	 goals::6.490726718766382e-06	 moves::4.577658273774432e-06	 Shots::4.3993154577037785e-06	 swings::4.205533514323179e-06	 saves::4.095477834198391e-06	 throws::3.7329918995965272e-06	 shooters::3.597780505515402e-06	 game::3.2000300507206703e-06	 runs::2.8462361569836503e-06
Thanks to Ben I have a good head shot of Chad for Hugh's latest assault.	shot	 shot::0.9911393523216248	shot::0.008088294416666031	 picture::0.0003161094500683248	 shots::0.00013868558744434267	 shoot::9.896732808556408e-05	 pic::2.7476260584080592e-05	 image::2.69372667389689e-05	 photo::2.333154588995967e-05	 start::1.981994864763692e-05	 angle::1.9063567378907464e-05	 shooting::1.0506478247407358e-05	 view::1.0123193533218e-05	 look::7.714477760600857e-06	 snap::6.589034455828369e-06	 take::3.941695467801765e-06	 grab::3.224671445423155e-06	 Shot::2.0080935883015627e-06	 one::1.8974211570821353e-06	 copy::1.853023718467739e-06	 slice::1.5907492070255103e-06
Episode also introduces several changes: UNCLE secretaries have a new uniform of yellow turtlenecks or blouses with brown skirts; UNCLE HQs has more computers (actually surplus NASA equipment); and titles have been redone, with new Robert Vaughn, David McCallum and Leo G. Carroll shots.	shots	 shots::0.552302896976471	 characters::0.051388148218393326	 graphics::0.03869957476854324	 voices::0.02549612708389759	 photos::0.01928471215069294	 roles::0.01813776232302189	 titles::0.015513948164880276	 logos::0.01334987673908472	 portraits::0.011281654238700867	 images::0.010048015043139458	 jackets::0.008027617819607258	 names::0.008005370385944843	 panels::0.006197561975568533	 quotes::0.006128806155174971	 scripts::0.006083703599870205	 pictures::0.005684843752533197	 chapters::0.004429151304066181	 art::0.004301917273551226	 shot::0.004192520398646593	 photography::0.004011633340269327
This 78-page (paperback) book is well worth reading, especially if you have children or if you are being pressured to get a flu shot.	shot	 shot::0.9997825026512146	 vaccine::0.00012935283302795142	 jab::3.096643558819778e-05	 vaccination::2.440152456983924e-05	 shots::1.4352086509461515e-05	 shoot::7.1579820541956e-06	 injection::6.253504125197651e-06	shot::8.040458965297148e-07	 treatment::3.911863473149424e-07	 shooting::3.7708960576310346e-07	 card::3.431436539358401e-07	 drug::2.7540411906556983e-07	 Shot::2.530129563638184e-07	 test::2.1450293274938304e-07	 dose::1.9577259990910534e-07	 med::1.8591427419778483e-07	 medication::1.4814943938290526e-07	 check::1.1697097335172657e-07	 spray::9.64295310268426e-08	 patch::9.216774543574502e-08
Std 5.5.3 Loop detectors installed at signalized intersections should be sensitive enough to detect bicycles and the pavement marked to show the cyclist where the trigger is located.	show	 show::0.9999481439590454	 SHOW::2.0556801246129908e-05	 tell::9.06887089513475e-06	 shows::7.105419626896037e-06	 Show::3.6360424928716384e-06	 showing::3.185137302352814e-06	 showed::2.5390058908669744e-06	 teach::1.3176812672099913e-06	 give::1.1613046808633953e-06	 see::4.398392832172249e-07	show::4.247606852914032e-07	 display::3.9782199223736825e-07	 shown::2.1975894526349293e-07	 indicate::2.119597724004052e-07	 let::2.0654169929912314e-07	 alert::1.4873405973503395e-07	 signal::1.1971513913522358e-07	 point::1.0453556598122304e-07	Show::9.874846540469662e-08	 convince::9.599384753755658e-08
I cannot connect and my access point is not shown by " iwlist scan ".	shown	 shown::0.999071478843689	 showed::0.0006257519708015025	 displayed::0.00015518699365202338	 seen::6.027593553881161e-05	 showing::3.84485610993579e-05	 show::8.141480975609738e-06	 indicated::7.496365469705779e-06	 depicted::5.584623977483716e-06	 revealed::2.831602387232124e-06	 given::2.4329708594450494e-06	 known::2.069634092549677e-06	 illustrated::1.855728442023974e-06	 demonstrated::1.7646457308728714e-06	 disclosed::1.7382420764988638e-06	 specified::1.2858179161412409e-06	 highlighted::1.0515236681385431e-06	 marked::8.659519039611041e-07	 found::7.363241252278385e-07	shown::7.007023441474303e-07	 presented::6.832106009824201e-07
show yet once more the dreadful film of her children's death, and she doesn't come out again.	show	 show::0.8241797685623169	Show::0.10851418226957321	 Show::0.024641601368784904	show::0.006855553947389126	 play::0.006051632575690746	 watch::0.004521963186562061	 shows::0.002268362557515502	 shown::0.0012314773630350828	 screen::0.0011682723416015506	 see::0.0010906956158578396	 SHOW::0.001030715531669557	 display::0.0008397273486480117	Read::0.0008154999231919646	,::0.0007122026290744543	 showing::0.0006725068087689579	 present::0.0006640953361056745	 read::0.0006193503504619002	 make::0.0005751378485001624	 showed::0.0005501974374055862	Hide::0.00043861381709575653
One example is shown in Fig.	shown	 shown::0.9979491829872131	 seen::0.0008702378254383802	 given::0.00037598752533085644	 illustrated::0.00022484968940261751	 showed::0.0001920667855301872	 depicted::8.915544458432123e-05	 found::8.789450657786801e-05	 displayed::7.507884583901614e-05	 demonstrated::1.800748214009218e-05	 pictured::1.4759529221919365e-05	 presented::1.1655990419967566e-05	 used::7.0370779212680645e-06	 reproduced::6.275055511650862e-06	 described::5.8912723943649326e-06	 showing::5.2176460485497955e-06	 written::4.918579179502558e-06	 explained::4.390213689475786e-06	 also::4.256456122675445e-06	 known::3.384867341083009e-06	 done::2.613194283185294e-06
Case Sensitive: If you you check the case sensitive box, capitalization will matter (for example, if you search for " Star ", then listings with the word " star " will not show up).	show	 show::0.9996778964996338	 come::7.698361878283322e-05	 look::6.559473695233464e-05	 turn::3.518816811265424e-05	 pop::2.0266268620616756e-05	 load::1.5222396541503258e-05	 display::1.355207587039331e-05	 match::1.1942774108320009e-05	 light::1.0388200280431192e-05	 showing::9.14718839339912e-06	 appear::6.187043254612945e-06	 stack::5.683552444679663e-06	 shows::4.663505023927428e-06	 Show::4.060790615767473e-06	 showed::3.7920244722045027e-06	 end::2.75622414847021e-06	 list::2.69596830548835e-06	 add::2.6909028747468255e-06	 bring::2.1017417566326912e-06	 shown::1.7677084542810917e-06
Showing it as a fall apple tree (before we do the color change on the leaves).	Showing	 showing::0.624430239200592	owing::0.36238786578178406	Seeing::0.008540639653801918	Giving::0.0006510522798635066	 Show::0.0004914916353300214	 seeing::0.00043456043931655586	 Seeing::0.0003814759838860482	ing::0.0002978858829010278	Show::0.00021307570568751544	 displaying::0.00017157547699753195	Playing::0.00014336597814690322	 showed::0.00012114860874135047	 of::0.00011330976121826097	Using::0.00010756145638879389	 presenting::9.256968041881919e-05	 shooting::5.6946340919239447e-05	 show::5.1516006351448596e-05	 depicting::4.9354865041095763e-05	ining::4.747135244542733e-05	osing::4.1777857404667884e-05
Also, when combined with a multiple hazard map, a CFM can show which areas require more information, which ones require different hazard reduction techniques, and which need immediate attention when a hazardous event occurs.	show	 show::0.9997492432594299	 see::0.00012837497342843562	 display::1.9616361896623857e-05	 shows::1.7396212570019998e-05	 tell::1.0136790479009505e-05	 showing::9.590184163243975e-06	 showed::7.779904080962297e-06	 reveal::6.493612090707757e-06	 Show::6.360876795952208e-06	 highlight::6.065562956791837e-06	 illustrate::5.91914704273222e-06	 SHOW::3.2715829547669273e-06	 indicate::2.8065969672752544e-06	 explain::2.3244574549607933e-06	 shown::2.154130697817891e-06	 read::1.7858234286904917e-06	 demonstrate::1.6194645695577492e-06	show::1.261572265320865e-06	 list::1.1584877483983291e-06	 identify::1.1437687135185115e-06
I 'd like to upload my own personal videos TO the tivo, so I can show them to guests using my TV.	show	 show::0.9999876022338867	 SHOW::3.0291264465631684e-06	 Show::1.9212880033592228e-06	 showed::1.441665176571405e-06	 display::8.675779099576175e-07	 give::6.616608629883558e-07	 showing::6.308748652372742e-07	 see::5.154523705641623e-07	 shows::3.911800092737394e-07	 feed::3.022931878149393e-07	 shown::2.992606766838435e-07	show::2.260244258422972e-07	Show::2.0929094546318083e-07	 tell::1.9058848010899965e-07	 showcase::1.833406457762976e-07	 teach::1.595965812839495e-07	 introduce::1.5725717616987822e-07	 watch::1.5109377216049324e-07	 flash::1.2814652450288122e-07	 play::1.0429452856897115e-07
Navajo and European-American mothers were shown videotaped episodes of Navajo and European-American children participating in a classroom.	shown	 shown::0.9994277358055115	 showed::0.0005031914333812892	 given::4.882941721007228e-05	 showing::7.979427209647838e-06	 fed::2.4572168513259385e-06	 screened::1.9222534319851547e-06	 show::1.0202023759120493e-06	 presented::9.394601647727541e-07	 allowed::8.905986987883807e-07	 offered::8.478593827021541e-07	 displayed::6.792254794163455e-07	 taught::5.680122399098764e-07	 demonstrated::4.918840659229318e-07	 handed::4.160314119872055e-07	 told::3.0754384283682157e-07	 seen::2.5338911768812977e-07	 sent::2.4588001679148874e-07	 played::1.0581180021063119e-07	 provided::9.213767526716765e-08	 served::9.189582783619699e-08
The corporal shown above is wearing the regulation cork helmet covered in blue cloth.	shown	 shown::0.9987139701843262	 pictured::0.00091110187349841	 depicted::0.00012725472333841026	 seen::0.00011627942876657471	 demonstrated::2.3064741981215775e-05	 displayed::2.124264392477926e-05	 showed::1.480550599808339e-05	 showing::1.3376782590057701e-05	 presented::9.428704288438894e-06	 described::8.895812243281398e-06	shown::6.632555141550256e-06	 given::6.241628398129251e-06	 indicated::3.712487568918732e-06	 portrayed::2.0523038983810693e-06	 illustrated::1.4364043181558372e-06	 listed::1.33179548811313e-06	 modeled::1.279721573155257e-06	 revealed::1.1213270454391022e-06	 appeared::9.957246902558836e-07	 provided::5.938920253356628e-07
Wind the power cable into a gentle loop when storing it in the bag.	Wind	Wind::0.9412692189216614	 Wind::0.053987808525562286	 wind::0.0038159063551574945	wind::0.000660991296172142	WIND::2.3029731892165728e-05	 Blow::1.551598143123556e-05	 Winds::7.713603736192454e-06	Press::6.024136382620782e-06	 blow::5.787214831798337e-06	Draw::5.300309567246586e-06	 winding::5.064381639385829e-06	Wire::4.751810138259316e-06	 winds::4.302916295273462e-06	W::4.221247763780411e-06	Lock::3.7918639463896398e-06	Drive::3.2459029171150178e-06	Hold::3.1280685561796417e-06	 Hold::3.069073272854439e-06	Run::2.929505171778146e-06	 Press::2.9247094062156975e-06
The Southern Forests Travelling east and inland from Augusta, the roads wind their way through some of the most incredible forests found anywhere in the world.	wind	 wind::0.9995434880256653	 winds::0.0002197805733885616	 wound::0.0001626580342417583	 winding::4.2803683754755184e-05	 breeze::6.143282007542439e-06	 weave::1.7559051457283203e-06	 snake::1.3825331279804232e-06	 swirl::1.3702077694688342e-06	 grind::1.2882104556410923e-06	 work::1.2510722626757342e-06	 twist::1.1731929134839447e-06	 run::1.1627648746070918e-06	wind::8.467793577437988e-07	 blow::8.415738079747825e-07	 wrap::8.007243081920024e-07	 roll::7.86634075211623e-07	 burn::7.789567462168634e-07	 write::7.505126404794282e-07	 make::7.349120778599172e-07	 spin::6.18807291630219e-07
Jury wonders, is Harry Johnson winding him up?	winding	 winding::0.9999669790267944	 wrapping::1.8045851902570575e-05	 rigging::2.468795855747885e-06	 wound::2.019127578023472e-06	 spinning::1.2434644531822414e-06	 shutting::9.265687026527303e-07	 tying::6.721358545291878e-07	 gearing::6.625033961427107e-07	 blowing::6.487878749794618e-07	 dressing::4.852926167586702e-07	 wiring::4.000292221917334e-07	 backing::3.31079718307592e-07	 lighting::3.137877797598776e-07	 wind::2.9627514663843613e-07	 keeping::2.8706111265819345e-07	 warming::2.1861548304968892e-07	 swelling::1.997754708327193e-07	 tightening::1.815939754123974e-07	 shaking::1.7158704679332004e-07	 burning::1.457143241623271e-07
Palestinians know that Israelis are reluctant to shoot at children; and if a child does wind up getting killed, it makes for excellent anti-Israel propaganda.	wind	 wind::0.9996656179428101	 end::0.00021871173521503806	 wound::0.00010867733362829313	 winding::2.6432312552060466e-06	 winds::1.7968632164411247e-06	 grow::7.680029625589668e-07	 round::4.783843223776785e-07	 turn::4.693024777679966e-07	 come::8.632151349274864e-08	 find::7.331533424803638e-08	 get::6.171321587089551e-08	 write::5.47502203573913e-08	 blow::4.07201383723077e-08	 crop::3.338996634738578e-08	wind::3.0657897553965086e-08	 bring::2.7562609972164864e-08	 show::2.741580296117263e-08	 shut::2.2220167039677108e-08	 land::2.0549119739143862e-08	 taste::1.7518656747483874e-08
Half a mile further was Fox's Hill, and winding up the long hollow between them was Taylor's Lane, which led first to their driveway about a quarter of a mile in, and then to three other Quaker farms further on.	winding	 winding::0.9999927282333374	 wrapping::4.353893018560484e-06	 swirling::9.620952141631278e-07	 wound::3.9630836567994265e-07	 spinning::1.894344308084328e-07	 revolving::1.2282259831408737e-07	 leading::1.0630727587113142e-07	 weaving::7.514785949069847e-08	 ending::7.405508029023622e-08	 shooting::5.842516515031093e-08	 shutting::5.238226918891087e-08	 ringing::4.372580875156018e-08	 twisting::4.1245701964953696e-08	 striking::3.956103356017593e-08	 finishing::3.896842315498361e-08	 wandering::3.8924078182844823e-08	 running::3.7400305075152573e-08	 swelling::3.650341895422571e-08	 rolling::3.095518508189343e-08	 closing::3.078091026509355e-08
So they all wind up in that loaf of bread.	wind	 wind::0.9872226715087891	 end::0.0108155757188797	 wound::0.001560439239256084	 winds::0.00023184924793895334	 grow::2.9261889721965417e-05	 winding::2.455526373523753e-05	 show::9.13662643142743e-06	 wrap::8.161785444826819e-06	 ends::7.96727545093745e-06	 come::7.80995651439298e-06	 turn::6.085591394366929e-06	 ended::4.8697038437239826e-06	 land::4.446453658601968e-06	 finish::4.129912667849567e-06	 wake::3.965139512729365e-06	wind::3.5478733479976654e-06	 blow::3.356324214109918e-06	 dress::2.8515250960481353e-06	 write::2.6979009817296173e-06	 round::2.222180910393945e-06
The lawsuits that threaten to cripple a a number of the churches are winding their way through the courts.	winding	 winding::0.9999922513961792	 swirling::1.0743819984782021e-06	 grinding::8.601902550253726e-07	 weaving::7.510186605941271e-07	 making::6.573292239409056e-07	 wrapping::5.585260396401281e-07	 circling::4.4454560566009604e-07	 finding::3.374888137841481e-07	 wound::2.454311811561638e-07	 revolving::1.9375249848962994e-07	 spinning::1.7111486272369802e-07	 navigating::1.5433101907547098e-07	inding::1.2275602045974665e-07	 twisting::1.205411592763994e-07	 striking::1.0677848649720545e-07	 running::1.0449871012951917e-07	 pursuing::5.719693163541706e-08	 wind::5.100092792531541e-08	 waging::4.7576826034401165e-08	 wiring::4.738212311394818e-08
Now however she was falling through that skylight, the strong dark figure that had appeared out of nowhere falling through with her, his arms tightly entwined about her, his shoulder having winded her.	winded	 wound::0.8956946134567261	 wind::0.035661157220602036	 winding::0.01083619985729456	 blown::0.008660588413476944	 tired::0.0036661308258771896	 winds::0.0028907100204378366	 wrapped::0.0023158674594014883	 suspended::0.002221357077360153	 slowed::0.0021095748525112867	 undone::0.0018372508930042386	 killed::0.0015404480509459972	 whipped::0.0012697315542027354	 annoyed::0.0010199175449088216	 grounded::0.0009993761777877808	 agitated::0.0009450361249037087	 sustained::0.0007760543958283961	 shot::0.0007477219915017486	 broken::0.0007104557007551193	 stopped::0.0007040373748168349	 weakened::0.0006797212990932167
Experience outdoor adventure, mini golf, horse trekking, wind your way though a maze, mountain biking and relaxing in the famous Hanmer Springs hot pools.	wind	 wind::0.935563325881958	 winding::0.061134807765483856	 winds::0.0008707481320016086	 breeze::0.0003710068704094738	 wound::0.00013441694318316877	 Wind::5.774747842224315e-05	 make::5.396396227297373e-05	 twist::4.9223104724660516e-05	 find::4.596511280396953e-05	 snake::4.302587331039831e-05	 weaving::4.0706796426093206e-05	 weave::3.536411531968042e-05	wind::3.2720559829613194e-05	 making::3.208707494195551e-05	 trick::2.81914763036184e-05	 finding::2.422572288196534e-05	 blowing::2.2913147404324263e-05	 feel::2.243519338662736e-05	 blow::2.2237303710426204e-05	 grind::2.1489837308763526e-05
The history of message encryption goes back to ancient Greece where messages were written on a tape wound around a stick.	wound	 wound::0.9995517134666443	 wrapped::0.00043168419506400824	 winding::7.5648786150850356e-06	 tied::1.083802203538653e-06	 twisted::1.0387359452579403e-06	 held::9.125502629103721e-07	 cut::8.995650659926469e-07	 woven::5.058398642177053e-07	 passed::2.984014031426341e-07	 wrapping::2.933982727881812e-07	 rolled::2.665095735210343e-07	 threaded::1.870503183454275e-07	 fashioned::1.8654937150586193e-07	 written::1.6419585335825104e-07	 hung::1.604127533028077e-07	 worn::1.2392261794502701e-07	 taped::1.033821703799731e-07	 attached::8.923802852223162e-08	 shot::8.145122620817347e-08	 wrap::7.570731241912654e-08
I managed to get a position working on the phylogeography of some New Zealand animals this summer.	working	 working::0.9999873638153076	working::3.4933518691104837e-06	 focusing::1.6337323813786497e-06	 helping::1.1707201110766619e-06	 work::7.739847660559462e-07	 worked::6.592873091904039e-07	 going::5.420109232545656e-07	 Working::5.247201215752284e-07	 starting::4.5718218188994797e-07	 trying::4.059915283960436e-07	 based::3.5442496937321266e-07	 looking::3.4941965054713364e-07	 moving::2.2044220315819985e-07	 teaching::2.1929649562935083e-07	 speaking::1.264951805524106e-07	 studying::1.2030353957470652e-07	 reporting::1.1593600390824577e-07	 acting::9.298482694930499e-08	 concentrating::9.286660684892922e-08	 running::7.70252555071238e-08
In September, I wrote a post with the title, "Did the President of CBS News Have Anyone in Charge of Reading the Internet and Sending Alerts?&#8221; By asking people who work there, I have since determined that he didn't.	work	 work::0.9998823404312134	 worked::8.614642138127238e-05	 works::2.157914059353061e-05	 live::1.9819201497739414e-06	 are::1.8650157471711282e-06	work::1.4644065231550485e-06	 Work::1.4055796100365114e-06	 working::8.607505037616647e-07	Work::2.5518289703541086e-07	 shop::2.1295278429533937e-07	 staff::2.0494279340255162e-07	 practice::1.8128065448763664e-07	 WORK::1.688973867430832e-07	 job::1.6506167810348416e-07	 worker::1.4913274526406894e-07	 operate::1.1100524233143005e-07	 workers::1.0040277231837536e-07	 know::8.879495538849369e-08	 use::7.553875747134953e-08	 sit::5.605196662372691e-08
Teachers were introduced to content by experienced mentor teachers and scientists, who worked with them as they used the kits (Marsh and Sevilla, 1991).	worked	 worked::0.9998798370361328	 collaborated::5.430344754131511e-05	 work::4.1710056393640116e-05	 working::3.637014970081509e-06	 partnered::3.614304887378239e-06	 helped::3.252224587413366e-06	 interacted::2.332284566364251e-06	 trained::2.1045173070888268e-06	 spoke::1.0180624485656153e-06	worked::7.706035489718488e-07	 stayed::7.15382952876098e-07	 lived::5.843565418217622e-07	 dealt::5.775760882897885e-07	 consulted::5.419547051133122e-07	 talked::3.8757693232582824e-07	 works::3.5882152360500186e-07	 travelled::2.838175987562863e-07	 sat::2.758268067282188e-07	 teamed::2.1640025238411909e-07	 operated::2.1196468935613666e-07
Mary then worked for a few years before returning to the University of Michigan for a Master's degree in civil engineering in 1944.	worked	 worked::0.9981065988540649	 taught::0.000492928724270314	 served::0.0001827191299526021	 studied::0.00013598411169368774	 lived::0.0001343652547802776	 stayed::0.000107791849586647	 work::7.425464718835428e-05	 practiced::6.695463525829837e-05	 moved::6.62533930153586e-05	 works::5.149722346686758e-05	 left::3.332160849822685e-05	 retired::2.982651312777307e-05	 waited::2.35643565247301e-05	 traveled::2.2414333216147497e-05	 resigned::2.207794568676036e-05	 remained::2.1207628378761e-05	 walked::2.0436216800590046e-05	 graduated::1.9512654034770094e-05	 wrote::1.879504634416662e-05	 played::1.52101574713015e-05
Until the 1800s, most Americans rarely tasted anything containing refined sugar.) As you dig into your turkey, stuffing and pecan pie, washed down with a $ 10 bottle of wine superior in quality to any wine available to the 17th-century kings of France, remember how hard your ancestors worked, and how they sacrificed, in the dream that someday their descendants would be warm, well-fed and secure against nature.	worked	 worked::0.9999644756317139	 work::1.2313191291468684e-05	 fought::1.063573199644452e-05	 lived::1.925069454955519e-06	 struggled::1.7444144759792835e-06	 walked::1.1937239605686045e-06	 tried::7.147587552935875e-07	 trained::6.701218921989494e-07	 slept::6.484658570116153e-07	 studied::6.441574100790604e-07	 practiced::6.268122660912923e-07	worked::3.988982939517882e-07	 laughed::3.0241363901950535e-07	 pushed::2.3538032678516174e-07	 did::2.3091880052561464e-07	 works::1.8526451128764165e-07	 working::1.8395043355212692e-07	 played::1.7510740235593403e-07	 ate::1.5761087013288488e-07	 pulled::1.528604940403966e-07
Close to 5,000 people are still employed in textiles, and our task is to work with those companies on an individual basis to assist them to reposition themselves in higher-value markets.	work	 work::0.9998513460159302	 partner::0.0001298747374676168	 working::7.631312655576039e-06	 collaborate::4.3936597649008036e-06	work::2.1302917048160452e-06	 cooperate::7.926169018901419e-07	 deal::5.606416380032897e-07	 Work::4.6761232397329877e-07	 engage::4.6405034481722396e-07	 worked::4.499969463722664e-07	 negotiate::2.7820976811199216e-07	 talk::2.0917305221246352e-07	 interact::2.008097510497464e-07	 speak::1.8429869896863238e-07	 meet::1.2127175352816266e-07	 communicate::9.198195272119847e-08	 works::9.176152104828361e-08	 connect::8.860256173193193e-08	 team::5.573212646936554e-08	 trade::4.9092985676679746e-08
