The rest is tinkering, magic, forbidden games.	rest	r e s t::0.9838362336158752	o t h e r::0.004705202300101519	r e m a i n d e r::0.001966404262930155	l a s t::0.0014781818026676774	w h o l e::0.0010523736709728837	t h i r d::0.0009761477704159915	s e c o n d::0.0005484838620759547	o t h e r s::0.0004823572817258537	m o s t::0.0003397544496692717	f o u r t h::0.00026543770218268037	p a r t::0.0002362160594202578	b a l a n c e::0.0001661294954828918	s e v e n t h::0.0001627516612643376	f i n a l::0.00012279329530429095	m o r e::0.00011740653280867264	f i f t h::0.00011728890967788175	s i x t h::0.0001101740199374035	l a t t e r::6.76965864840895e-05	e i g h t h::6.416313408408314e-05	s a m e::6.328674498945475e-05
Sometimes I spy on him snacking, or peek at his secret projects and feel mild shame that, Yes, he isn't doing anything wrong.	secret	s e c r e t::0.9936376214027405	p r i v a t e::0.0013798415893688798	o w n::0.0006980749312788248	h i d d e n::0.0006243959651328623	p e r s o n a l::0.0002990814682561904	s p e c i a l::0.0001577961811563	s e c r e t s::0.00015649863053113222	s c i e n c e::0.00010135068441741168	o t h e r::8.782562508713454e-05	n e w::6.787091115256771e-05	l i t t l e::5.656610301230103e-05	s p y::4.9137706810142845e-05	s i d e::4.7068078856682405e-05	s c h o o l::4.584245471050963e-05	m y s t e r i o u s::4.3287516746204346e-05	f a v o r i t e::3.769085378735326e-05	p u b l i c::3.762585038202815e-05	r e a l::3.747723167180084e-05	c l a n d e s t i n e::3.566654049791396e-05	s h a r e d::3.3867057936731726e-05
After poking around on the web to see what the big deal is about visual changes, and coming across things like " pituitary bleeding " -- which just calls to mind my secret fear the last time I had visual symptoms, that I have a pituitary tumor too small to be detected on MRI -- I think I 'm fine with not taking any chances.	secret	s e c r e t::0.9995428323745728	s e c r e t s::0.0003231108421459794	h i d d e n::6.591985584236681e-05	p r i v a t e::2.207474062743131e-05	p e r s o n a l::1.0703271982492879e-05	d e e p::6.704077804897679e-06	o w n::3.5452042084216373e-06	c o n f e s s i o n::1.4779822095078998e-06	r e a l::8.299296041514026e-07	l i t t l e::8.008230452105636e-07	b i g::6.258432563299721e-07	c h e s t::6.024694130246644e-07	c l a n d e s t i n e::5.527147095563123e-07	c o l d::4.2694964008660463e-07	p u b l i c::4.1551302842890436e-07	d e e p e s t::3.3893886097757786e-07	t r u e::3.216104005332454e-07	m y s t e r y::2.604368773972965e-07	w e i r d::2.4595712488917343e-07	m a i n::2.3434346019257646e-07
ELECTION: In the event of a contest, election shall be by secret ballot, and a plurality vote shall be required for election.	secret	s e c r e t::0.9930582046508789	o p e n::0.001228799344971776	s i n g l e::0.0007626092992722988	c o n c e a l e d::0.00031887085060589015	d o u b l e::0.00015197852917481214	p o s t a l::0.00012499469448812306	b l o c k::0.00012373477511573583	c l o s e d::0.00012079564476152882	p u b l i c::0.00011542681022547185	u n a n i m o u s::0.00011049811291741207	b l a n k::0.00010660106636350974	m a j o r i t y::0.00010343970643589273	s i m p l e::9.995266009354964e-05	s p e c i a l::9.443637827644125e-05	p o p u l a r::9.019814751809463e-05	o r d i n a r y::8.418929064646363e-05	s e a l e d::7.818380981916562e-05	b l o c::7.556351192761213e-05	h i d d e n::6.993095303187147e-05	p r o p o r t i o n a l::6.543425843119621e-05
An intriguing series of events are described, from the knowledge taught to Enoch by the angel Uriel, through the construction of megalithic monuments, to the creation and shaping of nations and religions, and the formation of modern secret societies - even the mysterious agenda of the New World Order.	secret	s e c r e t::0.9994558691978455	c l a n d e s t i n e::0.00012134196003898978	s e c r e t i v e::7.835494034225121e-05	s e c r e t s::5.907145532546565e-05	h i d d e n::4.193617860437371e-05	m y s t e r y::1.4548285435012076e-05	m a g i c a l::1.1707314115483314e-05	c r y p t::9.259348189516459e-06	u n d e r g r o u n d::9.168158612737898e-06	o p e n::6.459605629061116e-06	m y s t e r i o u s::6.178912826726446e-06	p r i v a t e::5.948121270193951e-06	s e a l e d::5.63693583899294e-06	s p e c i a l::5.096740096632857e-06	o c c u l t::4.2838582885451615e-06	c o v e r t::4.223098130751168e-06	p u b l i c::3.7647871522494825e-06	j e w i s h::3.547465894371271e-06	s e c r e c y::2.703045538510196e-06	k n o w n::2.5343506422359496e-06
maybe and FBI agent.... not secret service....	secret	s e c r e t::0.9962422847747803	s p e c i a l::0.0010847774101421237	c o v e r t::0.00033668705145828426	c l a n d e s t i n e::0.00027797819348052144	p o l i c e::0.00016333437815774232	f b i::0.00014501363330055028	f o r e i g n::0.00012044901086483151	c i a::0.00011247154179727659	m i l i t a r y::0.00010610152094159275	s e c u r i t y::0.0001023665681714192	p u b l i c::9.916770068230107e-05	s p y::7.965711847646162e-05	i n t e l l i g e n c e::6.620056956307963e-05	o f f i c i a l::4.009451367892325e-05	g o v e r n m e n t::3.8410020351875573e-05	c i v i l::3.683590693981387e-05	d i p l o m a t i c::2.670233698154334e-05	e s p i o n a g e::2.2680313122691587e-05	h i d d e n::2.1389369067037478e-05	s e c r e t s::2.1340141756809317e-05
Thomas Golf Irons give you an exceptional advantage over other brands by making it easier to aim and align your shot to the target.	shot	s h o t::0.9354628920555115	s h o t s::0.033430762588977814	s h o o t::0.018160969018936157	s h o o t i n g::0.0029145916923880577	s h o o t s::0.0010859855683520436	b a l l::0.0007004251820035279	h i t::0.0006436147959902883	s t i c k::0.0005604096222668886	a i m::0.0002856513892766088	a r r o w::0.00027563274488784373	b o d y::0.00024780267267487943	r i f l e::0.00024105790362227708	g u n::0.00023718352895230055	t a r g e t::0.00023259155568666756	h a n d::0.0002224714553449303	b u l l e t::0.00021974793344270438	s h o o t e r::0.00021668981935363263	s w i n g::0.00020109183969907463	s t r o k e::0.00019577040802687407	d a r t::0.00017672656395006925
In actuality, ready service shot was kept on the gun or spar decks in shot racks (also known as shot garlands in the Royal Navy) which consisted of longitudinal wooden planks with holes bored into them, into which round shot (cannon balls) were inserted for ready use by the gun crew.	shot	s h o t::0.9975964426994324	s h o o t::0.0014507074374705553	s h o o t i n g::0.0005577799747698009	s h o t s::0.00010106646368512884	s h o o t s::5.7470671890769154e-05	b u l l e t::3.515202843118459e-05	a m m u n i t i o n::1.6194957424886525e-05	g r a i n::1.2773226444551256e-05	f i r e::1.0956269761663862e-05	p u n c h::7.6163391895534005e-06	t i m e::5.181854248803575e-06	f i r i n g::4.981882284482708e-06	p o w d e r::4.775719844474224e-06	f o o t a g e::4.708400865638396e-06	f i l m::4.3693680709111504e-06	f i r e d::4.174428340775194e-06	p i t c h::3.6176625144435093e-06	a r r o w::3.3409060051781125e-06	a i m::3.168658622598741e-06	s a k e::3.0051196517888457e-06
Moore fired two shots, the first a warning shot in the air and the second at the man.	shots	s h o t s::0.9454507231712341	m o r e::0.021139025688171387	r o u n d s::0.01188716385513544	b u l l e t s::0.003012372413650155	s h o t::0.0027588987722992897	t i m e s::0.0026341115590184927	r o c k e t s::0.001006872858852148	t o r p e d o e s::0.0008685500361025333	h i t s::0.0008381034131161869	m i s s i l e s::0.0006485663470812142	s h e l l s::0.0006183855002745986	o t h e r s::0.0006157843163236976	g r e n a d e s::0.0006112015107646585	b u r s t s::0.0005045214202255011	g u n s::0.0004882888169959188	a r r o w s::0.00039948252378962934	b l a s t s::0.00037139010964892805	c h a r g e s::0.0002980082354042679	w e a p o n s::0.0002654891577549279	q u e s t i o n s::0.00023468470317311585
You will more and more be able to make the ball do what is needed for the shot.	shot	s h o t::0.963546633720398	s h o o t::0.006439222954213619	g o a l::0.0049320971593260765	h i t::0.0042649442330002785	s h o t s::0.0029215968679636717	b a l l::0.0015652280999347568	s h o o t i n g::0.0015547411749139428	k i c k::0.0009083431214094162	p o i n t::0.0007378786103799939	g a m e::0.000654187926556915	r u n::0.0005697258748114109	p l a y::0.0005137398256920278	a t t a c k::0.0004956392222084105	s w i n g::0.0004279189452063292	t h r o w::0.00042668255628086627	p a s s::0.0003317905939184129	k i l l::0.00030887697357684374	t r y::0.00030330888694152236	t a r g e t::0.0002861299435608089	d r i v e::0.00025585395633243024
He slashed open a tent on a campsite at San Casciano, south of Florence, and fired several shots into the bodies of French tourists Jean Michel Kraveichvilj and Nadine Mauriot.	shots	s h o t s::0.98804771900177	b u l l e t s::0.005816642194986343	s h o t::0.002048781141638756	r o u n d s::0.0012419354170560837	t i m e s::0.00027545567718334496	s h e l l s::0.00025777085102163255	r i f l e s::0.00019490733393467963	d a r t s::0.00018770064343698323	m o r e::0.00016048365796450526	r o c k e t s::0.00015324883861467242	s h o o t s::0.00012603549112100154	a r r o w s::9.536139259580523e-05	b u r s t s::8.0302961578127e-05	b o l t s::6.95807029842399e-05	w o u n d s::6.72795285936445e-05	g u n s::5.218317164690234e-05	w e a p o n s::4.358079968369566e-05	p i s t o l s::4.113566319574602e-05	h i t s::4.104882100364193e-05	h o l e s::3.708416625158861e-05
Settlers&#8217; accounts of the prairie conquest mention a sound, a series of pops, like pistol shots, the sound of stout grass roots breaking before a moldboard plow.	shots	s h o t s::0.9852346777915955	s h o t::0.008247368037700653	s h o o t s::0.001452349592000246	f i r e s::0.0008719131001271307	b u r s t s::0.0007701000431552529	b u l l e t s::0.000322966487146914	s h o o t i n g::0.00026827616966329515	s t r o k e s::0.00017837027553468943	# # e s::0.00015941745368763804	f i r e::0.00014258806186262518	b o l t s::0.0001245344028575346	h i t s::0.0001155658537754789	b l a s t s::0.00011090047337347642	s h e l l s::9.299421799369156e-05	r o u n d s::7.350332452915609e-05	f l a s h e s::6.725742423441261e-05	p o i n t s::6.559397297678515e-05	b a l l s::5.320748459780589e-05	c u t s::5.2328105084598064e-05	s t r i k e s::4.901193824480288e-05
So, I can't apply them to a pool table and my stroke, cue ball hit and distance shots.	shots	s h o t s::0.9962357878684998	s h o t::0.0031064539216458797	h i t s::0.00018165158689953387	s h o o t s::0.00015640078345313668	s h o o t i n g::8.412844181293622e-05	s t r o k e s::3.2849013223312795e-05	s h o o t e r s::1.7322401618002914e-05	t a r g e t s::7.376891062449431e-06	a t t a c k s::7.192734301497694e-06	b l a s t s::6.462699730036547e-06	o n e s::4.562497906590579e-06	s c o r e s::4.482044914766448e-06	s l a m s::4.2228452912240755e-06	t h r o w s::4.210198312648572e-06	s h o o t::4.1089019759965595e-06	b a l l s::3.916354671673616e-06	k i l l s::3.886955710186157e-06	r u n s::3.870834461849881e-06	s t r i k e s::3.032934728253167e-06	t e a m s::2.917009169323137e-06
Thanks to Ben I have a good head shot of Chad for Hugh's latest assault.	shot	s h o t::0.9974147081375122	s h o o t::0.0014507819432765245	s h o t s::0.0009995746659114957	s h o o t i n g::5.552740185521543e-05	s h o o t s::9.220922038366552e-06	v i e w::5.570946086663753e-06	p i c t u r e::5.461616638058331e-06	c u t::4.663604613597272e-06	c l i p::3.436611677898327e-06	s h o o t e r::2.939405703727971e-06	h i t::2.8273973384784767e-06	# # s h o t::2.263305304950336e-06	s t i c k::2.207865009040688e-06	r i f l e::2.0696711544587743e-06	o n e::1.6316784012815333e-06	# # h o t::1.3291208915688912e-06	u p::1.2508006648204173e-06	s w i n g::1.2445775610103738e-06	p o p::8.103116897473228e-07	k i c k::7.61650937874947e-07
Episode also introduces several changes: UNCLE secretaries have a new uniform of yellow turtlenecks or blouses with brown skirts; UNCLE HQs has more computers (actually surplus NASA equipment); and titles have been redone, with new Robert Vaughn, David McCallum and Leo G. Carroll shots.	shots	s h o t s::0.8835840225219727	s h o t::0.1078592836856842	s h o o t i n g::0.0023167391773313284	p h o t o g r a p h s::0.0009974961867555976	p h o t o g r a p h y::0.00044771641842089593	g u n s::0.00025023144553415477	p i c t u r e s::0.00024549008230678737	p h o t o s::0.00022950048150960356	u s e d::0.00013680479605682194	f o o t a g e::0.00012960263120476156	d r u m s::9.744324052007869e-05	g a l l e r y::9.503204637439921e-05	s h o o t s::7.628593448316678e-05	s h o o t::7.465527596650645e-05	t r a c k s::7.235912926262245e-05	# # s::7.028868276393041e-05	g o n e::6.551825936185196e-05	b l a c k::5.4561387514695525e-05	p h o t o::5.178045103093609e-05	s o n g s::5.089892147225328e-05
This 78-page (paperback) book is well worth reading, especially if you have children or if you are being pressured to get a flu shot.	shot	s h o t::0.9984288811683655	s h o t s::0.0003950587706640363	r a y::0.00015610139234922826	s h o o t::6.381734419846907e-05	d a r t::4.255670137354173e-05	# # k e::4.025976522825658e-05	r u n::4.0232669562101364e-05	j u m p::3.4641805541468784e-05	v a c c i n e::3.1633662729291245e-05	h i t::3.100057801930234e-05	t r i p::3.0238179533625953e-05	t u b e::3.016289156221319e-05	b r e a k::2.758402843028307e-05	s t r o k e::2.5511226340313442e-05	b l a s t::2.4095912522170693e-05	c u t::1.8314951375941746e-05	b u l l e t::1.3445023796521127e-05	s h o w e r::1.2649669770326e-05	r o l l::1.2051178600813728e-05	a t t a c k::1.1291943337710109e-05
Std 5.5.3 Loop detectors installed at signalized intersections should be sensitive enough to detect bicycles and the pavement marked to show the cyclist where the trigger is located.	show	s h o w::0.9989877343177795	t e l l::0.0002647393266670406	i n d i c a t e::0.0001298305141972378	s h o w i n g::0.0001264673046534881	r e v e a l::9.510476957075298e-05	s h o w s::8.773025183472782e-05	s h o w e d::5.402647002483718e-05	d i s p l a y::4.6371100324904546e-05	s i g n a l::2.1688767446903512e-05	m a r k::2.1525092961383052e-05	s e e::1.7081831174436957e-05	g i v e::1.3131425475876313e-05	s h o w n::8.074821380432695e-06	s t a t e::7.083811397023965e-06	i d e n t i f y::5.694912942999508e-06	k n o w::4.078759957337752e-06	s i g n::4.028339390060864e-06	g u i d e::3.9948226913111284e-06	r e c o g n i z e::3.2626626307319384e-06	m a t c h::3.2278665003104834e-06
I cannot connect and my access point is not shown by " iwlist scan ".	shown	s h o w n::0.9895243048667908	s h o w e d::0.003839153563603759	d i s p l a y e d::0.0032318527810275555	s h o w i n g::0.0006675840122625232	p r e s e n t e d::0.0005294241127558053	i n d i c a t e d::0.00028418219881132245	r e v e a l e d::0.00022790429648011923	i l l u s t r a t e d::0.00021923509484622627	g i v e n::0.0001587176084285602	p r o v i d e d::0.00011304892541375011	d e p i c t e d::0.00011043783888453618	r e p r e s e n t e d::0.0001078033383237198	s h o w::0.00010180300159845501	s e e n::7.455293962266296e-05	r e c o r d e d::5.845162377227098e-05	s h o w s::5.722526111640036e-05	f l a s h e d::3.412849036976695e-05	m a r k e d::3.2814914447953925e-05	c o v e r e d::3.209311398677528e-05	h i g h l i g h t e d::2.983450031024404e-05
show yet once more the dreadful film of her children's death, and she doesn't come out again.	show	s h o w::0.9030753374099731	a n d::0.07993478327989578	s h o w s::0.001934055588208139	t e l l::0.001496516284532845	s e e::0.0013568269787356257	p r e s e n t::0.0009996689623221755	h o l d::0.0008892605546861887	b u t::0.0007594027556478977	d o::0.0007173149497248232	'::0.0004699067503679544	m a k e::0.0004587463045027107	t h e n::0.000451315485406667	h a v e::0.0004197539819870144	p l a y::0.00023675593547523022	s h o w i n g::0.00023569507175125182	n o t::0.000235638435697183	s c r e e n::0.00017623578605707735	# # h o w::0.0001684810995357111	n o w::0.0001666397729422897	s a y::0.00015718204667791724
One example is shown in Fig.	shown	s h o w n::0.9939780235290527	p r e s e n t e d::0.0013815904967486858	s e e n::0.001322155469097197	g i v e n::0.000920409569516778	i l l u s t r a t e d::0.0006491955136880279	d e p i c t e d::0.0003966091899201274	d i s p l a y e d::0.0002078542165691033	d e m o n s t r a t e d::0.0001297178096137941	d e s c r i b e d::0.00012561319454107434	f o u n d::0.00012068243086105213	s h o w e d::0.00010224178549833596	p r o v i d e d::4.884108784608543e-05	d o n e::4.674474985222332e-05	m e n t i o n e d::3.450662188697606e-05	e x p l a i n e d::3.386784010217525e-05	s t a t e d::3.181106876581907e-05	i n d i c a t e d::2.99904804705875e-05	p r e s e n t::2.903978747781366e-05	s h o w i n g::2.585124093457125e-05	r e p r e s e n t e d::1.713844176265411e-05
Case Sensitive: If you you check the case sensitive box, capitalization will matter (for example, if you search for " Star ", then listings with the word " star " will not show up).	show	s h o w::0.9992483258247375	s h o w i n g::0.0002807200653478503	m a t c h::0.0001078227796824649	l o o k::0.00010277458932250738	s h o w e d::6.64170365780592e-05	s h o w s::6.54918112559244e-05	p o p::2.6029039872810245e-05	s h o w n::1.734724901325535e-05	a d d::1.6811269233585335e-05	d i s p l a y::1.0524016943236347e-05	a p p e a r::7.967456440383103e-06	l i g h t::4.927128884446574e-06	c o m e::4.205242930765962e-06	f a c e::3.2671071039658273e-06	t u r n::3.1135050448938273e-06	b e::2.300188270965009e-06	g i v e::1.9047547539230436e-06	s t a n d::1.5490700207010377e-06	s i g n::1.348103410236945e-06	r e v e a l::1.3337680684344377e-06
Showing it as a fall apple tree (before we do the color change on the leaves).	Showing	s h o w i n g::0.9719167947769165	p r e s e n t i n g::0.006672652903944254	d i s p l a y i n g::0.0050584739074110985	s h o w n::0.0024836177472025156	s h o w::0.002146390965208411	v i e w i n g::0.0016245642909780145	s e e i n g::0.0013878708705306053	s h o w s::0.0005613289540633559	p a i n t i n g::0.0005366443074308336	d o i n g::0.0005304812802933156	t e a c h i n g::0.0004176059446763247	s h o w e d::0.00032279815059155226	d e p i c t i n g::0.00028957854374311864	r e v e a l i n g::0.00028474448481574655	u s i n g::0.0002803211391437799	d i s p l a y::0.000256965693552047	e x p o s i n g::0.0002562083536759019	i l l u s t r a t i n g::0.0002461299009155482	d e m o n s t r a t i n g::0.0002362475061090663	t r e a t i n g::0.00020718429004773498
Also, when combined with a multiple hazard map, a CFM can show which areas require more information, which ones require different hazard reduction techniques, and which need immediate attention when a hazardous event occurs.	show	s h o w::0.9952837824821472	d i s p l a y::0.001071517588570714	s h o w s::0.0009202942601405084	i n d i c a t e::0.0003682091773953289	d e m o n s t r a t e::0.00026703180628828704	r e v e a l::0.00021293653117027134	s h o w e d::0.00019841923494823277	s h o w i n g::0.00017441455565858632	s e e::0.0001507560518803075	i l l u s t r a t e::0.00014283889322541654	s t a t e::0.00011341418576193973	t e l l::7.051267311908305e-05	d o c u m e n t::6.99777519912459e-05	s h o w n::5.664318086928688e-05	p r o v i d e::4.63185460830573e-05	d e s c r i b e::4.419877222971991e-05	m a r k::3.133361315121874e-05	d e p i c t::2.9872295272070915e-05	s i g n a l::2.7759488148149103e-05	e x p l a i n::2.602738641144242e-05
I 'd like to upload my own personal videos TO the tivo, so I can show them to guests using my TV.	show	s h o w::0.9964019060134888	p r e s e n t::0.0005615806439891458	d i s p l a y::0.00034767395118251443	g i v e::0.00025942237698473036	s h o w e d::0.00024636686430312693	s e e::0.00016724666056688875	s h o w i n g::0.00015554812853224576	s h o w s::0.00011107409955002367	i n t r o d u c e::9.055814007297158e-05	p l a y::8.85614863364026e-05	t e l l::8.557803084840998e-05	s c r e e n::8.070584590313956e-05	s h o w n::7.223023567348719e-05	s h o w c a s e::6.971844413783401e-05	v i e w::6.340398249449208e-05	o f f e r::6.045500049367547e-05	b r o a d c a s t::5.7300560001749545e-05	p r o v i d e::5.2442675951169804e-05	p a s s::5.18630477017723e-05	r e v e a l::4.620812615030445e-05
Navajo and European-American mothers were shown videotaped episodes of Navajo and European-American children participating in a classroom.	shown	s h o w n::0.995954155921936	s h o w e d::0.0008930216426961124	g i v e n::0.0008398415520787239	s e e n::0.0008215344278141856	p r e s e n t e d::0.0007462527719326317	s h o w i n g::0.00011148711200803518	b r o a d c a s t::8.440445526503026e-05	w a t c h e d::8.436091593466699e-05	s c r e e n e d::6.674439646303654e-05	o b s e r v e d::5.664609852829017e-05	s h o w::2.8233285775058903e-05	w a t c h i n g::1.3110828149365261e-05	o n::1.2456212061806582e-05	o f f e r e d::1.2401723324728664e-05	t o l d::1.217282988363877e-05	f e a t u r e d::1.0247227692161687e-05	f i l m e d::1.0142109204025473e-05	v i e w i n g::1.0049488082586322e-05	d i s p l a y e d::8.968580004875548e-06	d e p i c t e d::8.897818588593509e-06
The corporal shown above is wearing the regulation cork helmet covered in blue cloth.	shown	s h o w n::0.9686101078987122	d e s c r i b e d::0.013872462324798107	d e p i c t e d::0.0034962196368724108	m e n t i o n e d::0.0022381397429853678	s e e n::0.0019007964292541146	i l l u s t r a t e d::0.001733289798721671	d i s p l a y e d::0.0016154850600287318	l i s t e d::0.001029744977131486	p i c t u r e d::0.0006025583134032786	p r e s e n t e d::0.0005927121383138001	f i g u r e::0.0005159560823813081	p o r t r a y e d::0.0004636717203538865	g i v e n::0.0003021863230969757	r e p r e s e n t e d::0.0002469505416229367	i n d i c a t e d::0.00021650001872330904	f e a t u r e d::0.00020724009664263576	n o t e d::0.00018303444085177034	s h o w e d::0.00011715733853634447	s h o w i n g::0.00010728766210377216	s t a t e d::0.0001015619418467395
Wind the power cable into a gentle loop when storing it in the bag.	Wind	w i n d::0.3376478850841522	t u r n::0.11970342695713043	h o o k::0.07050489634275436	r o l l::0.04089334234595299	b e n d::0.03530889004468918	t i e::0.02801486663520336	l o o p::0.02720537595450878	p u l l::0.018061434850096703	f o r c e::0.011729543097317219	s w i n g::0.011255723424255848	d r i v e::0.010845717042684555	w o r k::0.009405449964106083	d r a w::0.008127080276608467	r u n::0.007175510283559561	r o t a t e::0.006622589658945799	t w i s t::0.005982383619993925	s e t::0.005911527667194605	m o v e::0.0055777584202587605	c u r l::0.005307520739734173	p r e s s::0.004702655598521233
The Southern Forests Travelling east and inland from Augusta, the roads wind their way through some of the most incredible forests found anywhere in the world.	wind	w i n d::0.9978861212730408	w o u n d::0.00021275467588566244	m a k e::0.0001466205867473036	w i n d s::0.00013791579112876207	r i n g::0.00013475707964971662	l e a d::0.00012452145165298134	w o r k::0.00010060645581688732	w a l k::6.430313806049526e-05	p i c k::6.422726437449455e-05	f i n d::5.6937486078822985e-05	t a l k::3.468622890068218e-05	w e a v e::3.311147156637162e-05	w i n d i n g::3.3034382795449346e-05	b r e e z e::2.783663512673229e-05	# # v e::2.4278131604660302e-05	t r a v e l::2.3692220565862954e-05	b e n d::1.6476406017318368e-05	r u n::1.6434816643595695e-05	m i l l::1.6349946236005053e-05	p u s h::1.4361303328769282e-05
Jury wonders, is Harry Johnson winding him up?	winding	w i n d i n g::0.9929712414741516	t y i n g::0.0022041723132133484	s e t t i n g::0.0019459117902442813	b r e a k i n g::0.0001978921500267461	p i c k i n g::0.00018647850083652884	b e a t i n g::0.00014206681225914508	f i x i n g::0.00011936535156564787	b a c k i n g::0.00011735461157513782	w r a p p i n g::0.00010177487274631858	g i v i n g::9.90768094197847e-05	s c r e w i n g::8.751731365919113e-05	t u r n i n g::8.353078737854958e-05	k e e p i n g::5.6812121329130605e-05	c u t t i n g::4.8374993639299646e-05	m e s s i n g::4.628060924005695e-05	t i g h t e n i n g::4.4318385334918275e-05	l o c k i n g::4.351572715677321e-05	c l o s i n g::3.757659578695893e-05	m a k i n g::3.733954144991003e-05	e n d i n g::3.707695577759296e-05
Palestinians know that Israelis are reluctant to shoot at children; and if a child does wind up getting killed, it makes for excellent anti-Israel propaganda.	wind	w i n d::0.8400889039039612	e n d::0.15647780895233154	w o u n d::0.002500892151147127	w a k e::0.00026501977117732167	c u r l::0.00019357075507286936	e n d e d::7.617022492922843e-05	w i n d s::5.6660588597878814e-05	e n d i n g::4.633945718524046e-05	t u r n::4.278527921997011e-05	g r o w::3.119521352346055e-05	e n d s::2.6535144570516422e-05	p i c k::2.0944075004081242e-05	c o m e::1.6234382201218978e-05	p o p::1.5749164958833717e-05	h e a t::1.2849729500885587e-05	h o o k::9.893412425299175e-06	w i n d i n g::7.843242201488465e-06	c u r v e::4.524500582192559e-06	g r e e n::3.6360306694405153e-06	m a t c h::3.242324510210892e-06
Half a mile further was Fox's Hill, and winding up the long hollow between them was Taylor's Lane, which led first to their driveway about a quarter of a mile in, and then to three other Quaker farms further on.	winding	w i n d i n g::0.9992584586143494	w o u n d::9.729208977660164e-05	t u r n i n g::6.266440323088318e-05	r u n n i n g::5.9825077187269926e-05	s t r a i g h t::5.3275685786502436e-05	t w i s t i n g::4.536176493274979e-05	c o n t i n u i n g::4.246786920703016e-05	r i g h t::3.2102536351885647e-05	e n d i n g::3.014296271430794e-05	g o i n g::2.3322305423789658e-05	p i c k i n g::2.285392110934481e-05	w r a p p i n g::1.4115399608272128e-05	t h e n::1.3088617379253265e-05	h e a d i n g::1.155276913777925e-05	c u r v i n g::1.0259685950586572e-05	c u r l i n g::9.53675862547243e-06	l e a d i n g::8.661903848405927e-06	c u t t i n g::8.045672984735575e-06	f i n i s h i n g::6.125736945250537e-06	f u r t h e r::5.96463360125199e-06
So they all wind up in that loaf of bread.	wind	w i n d::0.9313063621520996	e n d::0.03681308776140213	c u r l::0.014543185010552406	w a k e::0.009667360223829746	g r o w::0.002049033995717764	w o u n d::0.0006984650390222669	b l o w::0.0003530936664901674	d i e::0.0002739157062023878	w a r m::0.00023115167277865112	g e t::0.00019385208724997938	h e a t::0.00016167717694770545	w i n d s::0.00012972246622666717	s l e e p::0.00011435179476393387	c a t c h::0.00011090756743215024	r o l l::9.766681614564732e-05	e n d e d::8.643142791697755e-05	t u r n::8.637893915874884e-05	l a n d::8.419461664743721e-05	w r a p::8.394639735342935e-05	t h r o w::7.806820212863386e-05
The lawsuits that threaten to cripple a a number of the churches are winding their way through the courts.	winding	w i n d i n g::0.9933933615684509	f i g h t i n g::0.0009497570572420955	m a k i n g::0.00038043048698455095	t w i s t i n g::0.0003229303110856563	o n::0.0003013370151165873	b a t t l i n g::0.0002394266048213467	w o u n d::0.0002043786080321297	c r e e p i n g::0.00019261986017227173	t e a s i n g::0.00016465611406601965	w e a v i n g::0.0001449454721296206	w o r k i n g::0.00013693995424546301	n e g o t i a t i n g::0.00011882762919412926	p u s h i n g::9.620183845981956e-05	p i c k i n g::8.4665123722516e-05	c l i m b i n g::7.923118391772732e-05	m o a n i n g::6.774236680939794e-05	f i n d i n g::6.528720405185595e-05	c u t t i n g::6.233528256416321e-05	e a s i n g::6.113421113695949e-05	p a v i n g::6.107663648435846e-05
Now however she was falling through that skylight, the strong dark figure that had appeared out of nowhere falling through with her, his arms tightly entwined about her, his shoulder having winded her.	winded	c a u g h t::0.08507638424634933	r e a c h e d::0.05460379272699356	s t r u c k::0.04077165573835373	w o u n d e d::0.03462143614888191	w o u n d::0.025612378492951393	w i n d::0.025164078921079636	b o r n e::0.02012578956782818	c h i l l e d::0.020055225118994713	h u r t::0.018466826528310776	s a v e d::0.01819266565144062	s c a r e d::0.015863491222262383	i n j u r e d::0.015388639643788338	e n g u l f e d::0.013816459104418755	b o u n d::0.013505645096302032	t o u c h e d::0.012396787293255329	h i t::0.011958641931414604	b r u s h e d::0.0114334337413311	k i l l e d::0.01138900127261877	b l o w n::0.010919529013335705	c a r r i e d::0.009893001057207584
Experience outdoor adventure, mini golf, horse trekking, wind your way though a maze, mountain biking and relaxing in the famous Hanmer Springs hot pools.	wind	w i n d::0.9999663829803467	w i n d s::1.0394676792202517e-05	a i r::1.5688078747189138e-06	# # w i n d::1.540879793537897e-06	b r e e z e::1.025103074425715e-06	h e d g e::9.155803581961663e-07	b l o w::8.519956509189797e-07	d r i f t::5.752479523835063e-07	p a p e r::5.707026957679773e-07	w a l k::4.9727663054e-07	r i n g::4.968338771504932e-07	s a n d::4.937965627505037e-07	b e n d::4.776100581693754e-07	o n::4.00361415131556e-07	w i n d i n g::3.8383706169042853e-07	g u s t::3.708416898007272e-07	l a n d::3.2512389225303195e-07	l e a d::2.9648523991454567e-07	f i e l d::2.8273990437810426e-07	j a z z::2.8242513394616253e-07
