The rest is tinkering, magic, forbidden games.	rest	 rest::0.9998993873596191	 best::4.5426197175402194e-05	 remainder::1.5262783563230187e-05	 end::1.2077863175363746e-05	 part::4.587528565025423e-06	 REST::3.1868657970335335e-06	 most::2.1279695374687435e-06	 Rest::1.939320327437599e-06	 past::1.6258176174233085e-06	 lot::1.051574372468167e-06	 majority::9.889713510347065e-07	 whole::9.609162816559547e-07	 start::7.279098213075486e-07	 last::6.94748678142787e-07	 balance::4.569554050704028e-07	 finish::3.993214647834975e-07	 result::3.7430874044730444e-07	 stuff::3.4832359574465954e-07	 other::3.342366596825741e-07	 return::3.149411611502728e-07
maybe and FBI agent.... not secret service....	secret	 secret::0.9997547268867493	 special::6.38251076452434e-05	 Secret::4.068842463311739e-05	secret::2.2345226170727983e-05	 security::1.321181480307132e-05	 secrets::9.177986612485256e-06	 spy::5.4726970120100304e-06	 clandestine::5.210940344113624e-06	 hidden::4.192510004941141e-06	 public::3.4643289836822078e-06	 secretive::2.735496309469454e-06	 shadow::2.617847258079564e-06	 private::2.489007101758034e-06	 dark::2.0807781311305007e-06	 general::1.9061690181843005e-06	 covert::1.883106278910418e-06	 sec::1.2330177696640021e-06	 national::1.1481200772323064e-06	 secrecy::1.0933562180071021e-06	 secretly::1.0384991355749662e-06
Thomas Golf Irons give you an exceptional advantage over other brands by making it easier to aim and align your shot to the target.	shot	 shot::0.9993365406990051	 shots::0.00032417059992440045	 ball::0.00022981174697633833	 hit::1.9979104763478972e-05	 Shot::1.3575487173511647e-05	 stroke::1.010546930046985e-05	 swing::9.999975191021804e-06	 drive::9.757153748068959e-06	 round::3.5603138712758664e-06	 shoot::3.1336949177784845e-06	shot::2.78852712654043e-06	 club::2.312440528839943e-06	 bullet::1.7486873957750504e-06	 weapon::1.6492322174599394e-06	 gun::1.4709928564116126e-06	 player::1.3932819911133265e-06	 way::1.3295956478032167e-06	 cut::1.318911472480977e-06	 game::1.311246137447597e-06	 play::1.110728021558316e-06
In actuality, ready service shot was kept on the gun or spar decks in shot racks (also known as shot garlands in the Royal Navy) which consisted of longitudinal wooden planks with holes bored into them, into which round shot (cannon balls) were inserted for ready use by the gun crew.	shot	 shot::0.9999732971191406	 shots::8.969734153652098e-06	shot::8.805878678685986e-06	 Shot::5.5176883506646845e-06	 shoot::1.9360857095307438e-06	 shooting::3.0733983180653013e-07	 fired::2.3682434857619228e-07	 hit::2.1451522513871168e-07	 ammo::1.6573228833749454e-07	 ammunition::5.0008665652967466e-08	 aimed::4.235317518919146e-08	 bullet::3.436491624597693e-08	 gunshot::2.9058957906613614e-08	 gun::2.8640213756148114e-08	 shell::2.6268608621649037e-08	 smoke::2.6050466672700168e-08	 fire::2.1969018604295343e-08	 set::2.0718283977316787e-08	Shot::1.9001287654418775e-08	 stuff::1.3560817357927135e-08
Moore fired two shots, the first a warning shot in the air and the second at the man.	shots	 shots::0.9995414018630981	 Shots::0.0002758743066806346	 gunshots::9.160365152638406e-05	 shoots::3.392003054614179e-05	 shot::2.1452833607327193e-05	 bullets::1.0571984603302553e-05	 rounds::1.0377950275142211e-05	 guns::7.986121090652887e-06	 shootings::3.692489599416149e-06	shots::5.436489800558775e-07	 times::4.217162370423466e-07	 shotguns::3.7146543263588683e-07	 shells::1.9604148349117168e-07	 shooters::1.9157762665145128e-07	 rifles::1.1778961805930521e-07	 hits::9.399106914997901e-08	 seconds::9.318636529087598e-08	 kicks::5.2223583679733565e-08	 jumps::4.863300162583073e-08	 cases::4.518229701488963e-08
You will more and more be able to make the ball do what is needed for the shot.	shot	 shot::0.9997773766517639	 shots::0.00010566985292825848	 shoot::3.8799098547315225e-05	 Shot::1.7017840946209617e-05	 hit::1.1460069799795747e-05	 ball::8.519064977008384e-06	 shooting::6.794478849769803e-06	 shooter::3.6814051327382913e-06	shot::3.525978172547184e-06	 play::2.4339285573660163e-06	 drive::2.033584678429179e-06	 game::1.9547917418094585e-06	 job::1.4837158914815518e-06	 played::1.1993058706138982e-06	 goal::8.50344406444492e-07	 set::8.105442930173012e-07	 cut::7.015880783001194e-07	 player::6.029798669260344e-07	 gun::4.392720711621223e-07	 chance::3.774877939122234e-07
He slashed open a tent on a campsite at San Casciano, south of Florence, and fired several shots into the bodies of French tourists Jean Michel Kraveichvilj and Nadine Mauriot.	shots	 shots::0.999512791633606	 shoots::0.0002014889323618263	 gunshots::0.00013537237828131765	 shot::6.25318061793223e-05	 Shots::2.8881435355287977e-05	 bullets::2.8462538466555998e-05	 shootings::1.2327388503763359e-05	 rounds::1.0831922736542765e-05	 guns::2.7560422495298553e-06	 rifles::2.577443638074328e-06	 shells::6.412510629161261e-07	 shooters::1.991784301935695e-07	shots::1.979566377485753e-07	 rockets::6.987767875443751e-08	 shotguns::6.07008203701298e-08	 rows::4.389412566752071e-08	 kicks::4.364267525147625e-08	 wars::4.0366575859707154e-08	 weapons::3.425265404644051e-08	 fires::3.2628552304458935e-08
Settlers&#8217; accounts of the prairie conquest mention a sound, a series of pops, like pistol shots, the sound of stout grass roots breaking before a moldboard plow.	shots	 shots::0.9988762736320496	 shoots::0.0009901226731017232	 Shots::4.940675717080012e-05	 shootings::4.589432501234114e-05	 shot::2.4341583412024193e-05	 gunshots::7.915950845927e-06	shots::8.098755301944038e-07	 bullets::6.676660859739059e-07	 snaps::5.139209520166332e-07	 hits::5.095132564747473e-07	 shooters::4.827932684747793e-07	 guns::4.501415560298483e-07	 shells::3.301343838302273e-07	 kicks::2.491139241556084e-07	 fires::2.4638640638841025e-07	 drops::1.767668322827376e-07	 shooting::1.2442653485322808e-07	 rifles::9.311050064297888e-08	 jumps::9.090573627190679e-08	 calls::6.976102184808042e-08
So, I can't apply them to a pool table and my stroke, cue ball hit and distance shots.	shots	 shots::0.9998291730880737	 Shots::6.51133741484955e-05	 shoots::4.4902717490913346e-05	 shot::4.3636246118694544e-05	 drives::2.1332980395527557e-06	 shootings::1.898610889838892e-06	 plays::1.3629091881739441e-06	 shells::1.3121426718498697e-06	 shooters::8.159315711964155e-07	shots::7.243410777846293e-07	 jobs::6.096724973758683e-07	 throws::4.612260511294153e-07	 calls::4.346541686572891e-07	 hits::4.160715150192118e-07	 looks::3.5529609476725454e-07	 counts::3.127163381577702e-07	 gunshots::3.019652581315313e-07	 games::2.5875792175611423e-07	 guns::2.42671063688249e-07	 holes::2.2924157860870764e-07
Thanks to Ben I have a good head shot of Chad for Hugh's latest assault.	shot	 shot::0.9993441700935364	shot::0.00044463627273216844	 shots::0.00019617888028733432	 shoot::5.927366601099493e-06	 Shot::3.184148681611987e-06	 picture::9.325051451014588e-07	 hit::7.850504175621609e-07	 photo::5.784934273833642e-07	 cut::4.3491257883943035e-07	 job::4.0320082916878164e-07	 set::3.059583661979559e-07	 pic::2.0515622622951923e-07	 spot::1.9491419323003356e-07	 shooting::1.8617367913975613e-07	 piece::7.806779933616781e-08	 snapshot::6.018888853986937e-08	 copy::5.594257146412929e-08	 shooter::4.8121680862323046e-08	 slot::3.9040948252022645e-08	 view::3.581123309004397e-08
Episode also introduces several changes: UNCLE secretaries have a new uniform of yellow turtlenecks or blouses with brown skirts; UNCLE HQs has more computers (actually surplus NASA equipment); and titles have been redone, with new Robert Vaughn, David McCallum and Leo G. Carroll shots.	shots	 voices::0.2365271896123886	 characters::0.08682847023010254	 names::0.05816593021154404	 covers::0.03175155445933342	 quotes::0.029135530814528465	s::0.02897227555513382	 faces::0.028261756524443626	 credits::0.024396637454628944	 titles::0.021989716216921806	 images::0.01822754181921482	 roles::0.01723466068506241	 stars::0.01712639071047306	 appearances::0.015402269549667835	 actors::0.014095419086515903	 features::0.014084132388234138	 writing::0.013481585308909416	 respectively::0.012571397237479687	 scripts::0.011022591032087803	 logos::0.010784640908241272	 sequences::0.009883526712656021
This 78-page (paperback) book is well worth reading, especially if you have children or if you are being pressured to get a flu shot.	shot	 shot::0.9999916553497314	 shots::3.618461505539017e-06	 vaccine::1.8970514474858646e-06	 shoot::1.551124455545505e-06	 vaccination::7.527979164478893e-07	shot::2.085744910118592e-07	 Shot::1.5129221253573633e-07	 jab::9.162135228280022e-08	 gun::4.4031398971355884e-08	 injection::3.235285106484298e-08	 shooting::1.9670663320425774e-08	 bullet::1.3381975527693157e-08	 drive::4.836583133993599e-09	 hit::4.695437372248534e-09	 dose::3.502915957298569e-09	 gunshot::3.102121448605999e-09	 photo::2.8210249691795752e-09	 vaccinated::2.1289503493449047e-09	 shooter::1.8244921129451086e-09	 card::1.6153501869453635e-09
Std 5.5.3 Loop detectors installed at signalized intersections should be sensitive enough to detect bicycles and the pavement marked to show the cyclist where the trigger is located.	show	 show::0.9999833106994629	 tell::6.76587296766229e-06	 SHOW::3.639250962805818e-06	 Show::2.5344115783809684e-06	show::9.646586249800748e-07	 shows::6.937476086932293e-07	 showing::4.6602136194451305e-07	 teach::3.0156857633301115e-07	 warn::2.5500818878754217e-07	 give::1.1633425600621194e-07	 display::9.413634671773252e-08	 reveal::6.737278113178036e-08	 showed::6.423092457907842e-08	 showcase::5.84407722215019e-08	 demonstrate::5.745183173644364e-08	Show::5.048413953545605e-08	 let::3.703049245018519e-08	 send::3.3337315130665957e-08	 allow::2.999381365498266e-08	 see::2.8308773991625458e-08
I cannot connect and my access point is not shown by " iwlist scan ".	shown	 shown::0.9955248832702637	 showed::0.0029990298207849264	 seen::0.00043884836486540735	 listed::0.0002170261723222211	 displayed::0.0001384542410960421	 given::0.0001311513624386862	 show::6.999998004175723e-05	 showing::6.681150989606977e-05	 visible::5.607559796771966e-05	 indicated::5.4961637943051755e-05	 found::4.404514766065404e-05	 revealed::2.5155592084047385e-05	 identified::2.2894993890076876e-05	 highlighted::1.671982136031147e-05	 marked::1.2275112567294855e-05	 presented::1.065264586941339e-05	 demonstrated::9.30257374420762e-06	 mentioned::8.632930985186249e-06	 allowed::7.237089903355809e-06	 checked::6.935564670129679e-06
show yet once more the dreadful film of her children's death, and she doesn't come out again.	show	 show::0.9519482254981995	 see::0.009211186319589615	 and::0.005848802626132965	 watch::0.00523829460144043	 showing::0.0027987598441541195	 but::0.002441885182633996	 Show::0.0018556698923930526	show::0.0016193035989999771	 play::0.0015825831796973944	 shows::0.0011522644199430943	 shown::0.0007064235978759825	 screen::0.0006938577280379832	 showed::0.0005179634899832308	</s>::0.00046820344869047403	 view::0.0003170005511492491	 tell::0.0002810001897159964	 so::0.0002111807989422232	 -::0.0002098109107464552	 then::0.00020808128465432674	 reveal::0.00018313161854166538
One example is shown in Fig.	shown	 shown::0.9996391534805298	 showed::0.0003237212367821485	 seen::1.1913030903087929e-05	shown::7.4980503086408135e-06	 demonstrated::3.826504780590767e-06	 listed::2.9538384751504054e-06	 depicted::1.928834763020859e-06	 displayed::1.848556394179468e-06	 modeled::1.314969722443493e-06	 given::8.60019383708277e-07	 illustrated::8.065616157182376e-07	 exhibited::5.206659352552379e-07	 show::4.40023001146983e-07	 indicated::3.7089998272676894e-07	 presented::3.6672432202067284e-07	 pictured::2.76880342653385e-07	 highlighted::1.964844216217898e-07	 included::1.6992832740925223e-07	 tested::1.5414063625485142e-07	 projected::1.1229176521965201e-07
Case Sensitive: If you you check the case sensitive box, capitalization will matter (for example, if you search for " Star ", then listings with the word " star " will not show up).	show	 show::0.9999827146530151	 come::4.462388915271731e-06	 Show::2.47999173552671e-06	 pop::2.1543255570577458e-06	show::1.7082861631934065e-06	 shows::1.2139792033849517e-06	 showing::1.0437565833854023e-06	 shown::1.0278961326548597e-06	 look::8.227710850405856e-07	 showed::3.270560853252391e-07	 turn::2.450293834499462e-07	 SHOW::2.270954269079084e-07	 pick::2.2141796307550976e-07	 appear::1.450267745894962e-07	 see::1.243843996689975e-07	Show::1.011245700510699e-07	 throw::7.510640642749422e-08	 crop::5.492848487165247e-08	 open::4.736630998536384e-08	 jump::4.5696712192011546e-08
Showing it as a fall apple tree (before we do the color change on the leaves).	Showing	 showing::0.733615517616272	 Seeing::0.05904192849993706	 Show::0.04767009988427162	 Shooting::0.018944792449474335	 Shows::0.01803344115614891	 Putting::0.0101480009034276	 Using::0.00885840505361557	 Painting::0.007508515380322933	 Taking::0.004347783979028463	 Testing::0.00335288280621171	 Sharing::0.0029601282440125942	 Building::0.002658264245837927	 Shining::0.002352676121518016	 Shipping::0.0022500576451420784	 Playing::0.0022316109389066696	 Doing::0.0021220145281404257	 Supporting::0.002073459094390273	 Serving::0.0019962408114224672	 Getting::0.001984298462048173	 Selling::0.0019658245146274567
Also, when combined with a multiple hazard map, a CFM can show which areas require more information, which ones require different hazard reduction techniques, and which need immediate attention when a hazardous event occurs.	show	 show::0.9999167919158936	 reveal::1.0896198546106461e-05	 SHOW::7.689042831771076e-06	 shows::6.916276106494479e-06	 Show::6.765035777789308e-06	 see::6.3928264353307895e-06	 demonstrate::6.028089501342038e-06	 showing::5.331166903488338e-06	 showcase::3.187711399732507e-06	 display::3.1660672448197147e-06	 indicate::2.4726964511501137e-06	 illustrate::2.4674479845998576e-06	 identify::2.256247626064578e-06	 tell::2.107374712068122e-06	 highlight::1.559153247399081e-06	show::1.4873004374749144e-06	 showed::7.972341791173676e-07	 say::7.879851864345255e-07	 mark::7.613706429765443e-07	 share::5.819644002258428e-07
I 'd like to upload my own personal videos TO the tivo, so I can show them to guests using my TV.	show	 show::0.999984860420227	 Show::7.4707741077872925e-06	show::3.2528389510844136e-06	 SHOW::1.286581095882866e-06	 play::6.030221584296669e-07	 see::4.993073616788024e-07	 showing::4.864290872319543e-07	 shows::3.353457316279673e-07	 give::2.577076543275325e-07	Show::1.5350492788002157e-07	 showcase::1.3749286154052243e-07	 send::1.215672682519653e-07	 tell::1.214541782701417e-07	 showed::5.1895764130449606e-08	 display::4.1225238334163805e-08	 teach::2.8550880770694675e-08	 hand::2.183067593364285e-08	 share::1.680495387290648e-08	 save::1.4544363047264142e-08	 bring::1.4342544929490941e-08
Navajo and European-American mothers were shown videotaped episodes of Navajo and European-American children participating in a classroom.	shown	 shown::0.9982643723487854	 showed::0.0016946467803791165	shown::1.5758514564367943e-05	 given::7.86689361120807e-06	 show::7.149212251533754e-06	 showing::4.865566097578267e-06	 played::1.2479182487368234e-06	 shows::1.0259224154651747e-06	 screened::5.684385655513324e-07	 seen::5.341840392247832e-07	 demonstrated::4.752236861804704e-07	 projected::2.0830636060509278e-07	 told::1.6315760831275838e-07	 shot::1.6001224878436915e-07	 watched::1.327808689666199e-07	 sent::1.3097637463488354e-07	 taught::1.277184651371499e-07	 studied::7.070578789125648e-08	 presented::5.7578425582960335e-08	 provided::2.8476978997105107e-08
The corporal shown above is wearing the regulation cork helmet covered in blue cloth.	shown	 shown::0.9975290894508362	 showed::0.0024238312616944313	shown::1.8410701159154996e-05	 demonstrated::7.71740815252997e-06	 seen::3.811253009189386e-06	 depicted::3.27446991832403e-06	 modeled::3.004994141520001e-06	 displayed::1.5731227449578e-06	 pictured::1.53841767769336e-06	 listed::1.4845074929326074e-06	 showing::1.47081584600528e-06	 show::8.585281534578826e-07	 illustrated::5.034988816987607e-07	 exhibited::2.3425324968684436e-07	 indicated::2.1054954402188741e-07	 showcased::2.014050295429115e-07	 projected::1.7552389408592717e-07	 shot::1.2714625086118758e-07	own::1.2450830411125935e-07	 documented::1.189694671666075e-07
Wind the power cable into a gentle loop when storing it in the bag.	Wind	 Wind::0.996480405330658	 Wrap::0.0017227136995643377	 wind::0.00022881253971718252	Wind::0.00019883520144503564	 Wire::9.20334059628658e-05	 Turn::8.968087786342949e-05	 Run::4.818323577637784e-05	 Work::4.71668281534221e-05	 Bring::4.662745777750388e-05	 Feed::4.418574826559052e-05	 Roll::3.96438263123855e-05	 Wave::3.682405440486036e-05	 Round::3.635840766946785e-05	 Mold::2.669939749466721e-05	 Thread::2.1793241103296168e-05	 Winds::1.8564745914773084e-05	 Follow::1.5897572666290216e-05	 Hand::1.525190509710228e-05	 Break::1.5215876373986248e-05	 Arm::1.4379967069544364e-05
The Southern Forests Travelling east and inland from Augusta, the roads wind their way through some of the most incredible forests found anywhere in the world.	wind	 wind::0.999651312828064	 wound::0.0002751185093075037	 winds::3.142825516988523e-05	 Wind::2.288489486090839e-05	 winding::7.999348781595472e-06	 weave::3.8926268643990625e-06	 snake::2.081690354316379e-06	wind::1.8077690810969216e-06	 burn::3.8269431001936027e-07	 win::2.624804551487614e-07	 rev::2.556958520472108e-07	 will::2.5105367740252404e-07	Wind::1.9489750968659791e-07	 make::1.6003541247755493e-07	 wrap::1.417018751226351e-07	 roll::1.1097853302999283e-07	 flow::7.815167890612429e-08	 drug::7.405069624155658e-08	 carve::7.010765301629363e-08	 work::6.246835937417927e-08
Jury wonders, is Harry Johnson winding him up?	winding	 winding::0.9997863173484802	 wrapping::7.606016151839867e-05	 wound::2.6007113774539903e-05	 lighting::1.631156737857964e-05	 chewing::1.2064433576597366e-05	 warming::9.566497283231001e-06	 letting::7.589607321278891e-06	 tightening::5.973831321171019e-06	 wind::5.409397999756038e-06	 setting::4.9248615141550545e-06	 tearing::4.239701866026735e-06	 shutting::3.826571628451347e-06	 bending::2.013786343013635e-06	 rolling::1.8172789850723348e-06	 making::1.5609016372764017e-06	 lining::1.44478804031678e-06	 blowing::1.256019913853379e-06	 waking::1.1983471495113918e-06	 catching::1.1784641174017452e-06	 giving::1.019945671032474e-06
Palestinians know that Israelis are reluctant to shoot at children; and if a child does wind up getting killed, it makes for excellent anti-Israel propaganda.	wind	 wind::0.996885359287262	 wound::0.002991865389049053	 winds::8.562519360566512e-05	 end::2.199439586547669e-05	 Wind::4.333729975769529e-06	 winding::4.170633474132046e-06	wind::2.9543098207795992e-06	 wake::8.496233476762427e-07	 burn::5.777705496257113e-07	 wrap::1.6932192181684513e-07	 rev::1.262977491478523e-07	 surf::1.0893072044382279e-07	 catch::8.690945207945333e-08	 turn::6.800503626891441e-08	 land::6.002568397889263e-08	 warm::5.453903995089604e-08	 show::5.044979545232309e-08	 lead::4.044780510525925e-08	 come::3.990480834659138e-08	 find::3.9225497516781616e-08
Half a mile further was Fox's Hill, and winding up the long hollow between them was Taylor's Lane, which led first to their driveway about a quarter of a mile in, and then to three other Quaker farms further on.	winding	 winding::0.9999923706054688	 running::1.5462752571693272e-06	 wrapping::1.482643028793973e-06	 wound::1.0255013194182538e-06	 rolling::6.706929980282439e-07	 weaving::5.01483384596213e-07	 ringing::2.5998261321547034e-07	 revolving::2.556708977863309e-07	 wind::2.405234909019782e-07	 rounding::1.4282655058650562e-07	 coming::1.2881173461209983e-07	 turning::1.1525177967541822e-07	 twisting::1.0611296374918311e-07	 lighting::7.545749269866064e-08	 proceeding::6.833315069343371e-08	 travelling::6.496038906789181e-08	 heading::6.118594342297001e-08	 flowing::4.325726976617261e-08	 going::3.9284909547632196e-08	 leading::3.9214686609057026e-08
So they all wind up in that loaf of bread.	wind	 wind::0.9934020638465881	 wound::0.00644906098023057	 winds::4.620761319529265e-05	 end::4.510142025537789e-05	 wrap::1.2184067600173876e-05	 Wind::8.185833394236397e-06	 burn::7.683984222239815e-06	 wake::4.683545284933643e-06	wind::4.243661351210903e-06	 winding::3.21079505738453e-06	 roll::1.067291350409505e-06	 win::9.662719548941823e-07	 catch::7.797992225277994e-07	 warm::7.442883429575886e-07	 round::6.472658924394636e-07	 blow::4.6695924993400695e-07	 will::3.3558711720615975e-07	 rev::3.0092851943663845e-07	 ring::2.9611280183416966e-07	 reign::2.877708595860895e-07
The lawsuits that threaten to cripple a a number of the churches are winding their way through the courts.	winding	 winding::0.9999686479568481	 wind::1.4541098607878666e-05	 weaving::9.684537872090004e-06	inding::1.443035330339626e-06	 wound::1.043785687215859e-06	 waging::9.432804404241324e-07	 winds::6.752414378752292e-07	 wrapping::6.014662972120277e-07	 rolling::3.424803765028628e-07	 winning::2.603486279895151e-07	 chewing::1.576229493593928e-07	 making::1.53788477064154e-07	 twisting::9.911808263041166e-08	 Wind::9.393873767749028e-08	 conducting::8.196108325364548e-08	 working::6.784323858255448e-08	 directing::5.422258908538424e-08	 ringing::4.6064126735245736e-08	 speeding::4.177325152454614e-08	 revolving::4.118873420111413e-08
Now however she was falling through that skylight, the strong dark figure that had appeared out of nowhere falling through with her, his arms tightly entwined about her, his shoulder having winded her.	winded	 wound::0.23185795545578003	 grounded::0.21694964170455933	 ground::0.04660043492913246	 wounded::0.035925231873989105	 wind::0.02084418199956417	 startled::0.018786665052175522	 tired::0.015271120704710484	 broken::0.014595504850149155	 shaken::0.013062280602753162	 surprised::0.012711596675217152	 rolled::0.01239659171551466	 leveled::0.00886512454599142	 warned::0.008623733185231686	 blown::0.008494828827679157	 cautioned::0.007180237676948309	 trailed::0.007141448091715574	 calmed::0.006712865550071001	 landed::0.006667184177786112	 ended::0.00662701902911067	 staggered::0.006378249730914831
Experience outdoor adventure, mini golf, horse trekking, wind your way though a maze, mountain biking and relaxing in the famous Hanmer Springs hot pools.	wind	 wind::0.997288703918457	 wound::0.0019870607648044825	 weave::0.0002681552432477474	 win::6.273656617850065e-05	 winds::4.0187183913076296e-05	wind::3.7179408536758274e-05	 walk::3.406442192499526e-05	 winding::3.243327955715358e-05	 Wind::2.9911781894043088e-05	 w::2.4048364139162004e-05	 worm::1.457116650271928e-05	 burn::1.2097168109903578e-05	 end::1.1634131624305155e-05	 make::1.0574426596576814e-05	 work::1.0266498065902852e-05	 lead::1.0041921086667571e-05	 will::8.736161362321582e-06	 wrap::8.720312507648487e-06	 snake::6.114314601290971e-06	 wake::3.5602358821051894e-06
The history of message encryption goes back to ancient Greece where messages were written on a tape wound around a stick.	wound	 wound::0.9948179125785828	 wrapped::0.004882072564214468	 woven::0.00018424729933030903	 winding::7.869971159379929e-05	 rolled::1.3063687219982967e-05	 wind::3.920336439477978e-06	 bound::2.9385828383965418e-06	 bent::1.7644946410655393e-06	 held::8.570868885726668e-07	 threaded::8.505597293151368e-07	 won::7.541235618191422e-07	 twisted::6.800864298384113e-07	 conducted::6.045538043508714e-07	 spread::5.668435392180982e-07	 worn::5.149743174115429e-07	 curled::4.4641669205702783e-07	 directed::4.2125682853111357e-07	 wrought::4.174543448698387e-07	 drawn::3.9224283909788937e-07	 made::3.910938914941653e-07
I managed to get a position working on the phylogeography of some New Zealand animals this summer.	working	 working::0.999994158744812	working::4.072423962497851e-06	 work::1.0042610938398866e-06	 Working::2.635337921219616e-07	 focusing::1.944488872140937e-07	 worked::1.1864993609833618e-07	 writing::3.490335132028122e-08	 looking::3.3232414153872014e-08	 playing::2.9101496323846732e-08	Working::2.6830939248156938e-08	 works::2.308898672254145e-08	 acting::1.58728692412069e-08	 walking::1.0682670747996781e-08	 dealing::8.858407340994745e-09	 collaborating::7.402549684343285e-09	 sitting::6.257205420467926e-09	 going::5.6565596651125816e-09	 concentrating::4.860194913192117e-09	 talking::4.848528689649356e-09	 helping::4.656403707059553e-09
In September, I wrote a post with the title, "Did the President of CBS News Have Anyone in Charge of Reading the Internet and Sending Alerts?&#8221; By asking people who work there, I have since determined that he didn't.	work	 work::0.9999936819076538	 Work::3.310085276098107e-06	work::1.188605892821215e-06	 worked::7.1119092126537e-07	 works::4.6675921794303576e-07	 live::2.0951988233264274e-07	Work::1.457237743807127e-07	 working::4.8044704215044476e-08	 job::4.781086460070583e-08	 WORK::4.1199822220505666e-08	 worker::3.970636086592094e-08	 go::2.7304754013357524e-08	 walk::2.1377690728741072e-08	 play::1.0289656238171574e-08	 are::5.82835024687256e-09	 look::3.851319707592893e-09	 workers::3.3667497678635527e-09	 sleep::2.9767845965977813e-09	 stay::2.7758118026355305e-09	 ride::2.575504698398845e-09
Teachers were introduced to content by experienced mentor teachers and scientists, who worked with them as they used the kits (Marsh and Sevilla, 1991).	worked	 worked::0.9999878406524658	 collaborated::6.706954081892036e-06	 work::1.1782070714616566e-06	 trained::5.961599640613713e-07	 working::4.585867543482891e-07	worked::3.248977975545131e-07	 played::3.076281700487016e-07	 talked::2.796096794099867e-07	 walked::2.6159105459555576e-07	 interacted::2.1983515807733056e-07	 developed::2.0937484634941939e-07	 works::1.5073918291363952e-07	 helped::1.3918617014496704e-07	 lived::1.0867487532095765e-07	 practiced::9.012936175167852e-08	 coordinated::8.673609386278258e-08	 moved::5.143296988308066e-08	 participated::4.643232998091662e-08	 experimented::4.641408679617598e-08	 exercised::4.5089159073086194e-08
Mary then worked for a few years before returning to the University of Michigan for a Master's degree in civil engineering in 1944.	worked	 worked::0.9999440908432007	 taught::1.676382998994086e-05	 work::8.313018952321727e-06	worked::4.751998858409934e-06	 working::4.026021088066045e-06	 lived::3.817086053459207e-06	 works::2.7285102532914607e-06	 employed::1.3873383295504027e-06	 hired::1.1860107633765438e-06	 married::1.1226439937672694e-06	 served::8.418227821493929e-07	 moved::6.686578331027704e-07	 traveled::5.915737233408436e-07	 trained::5.662132025463507e-07	 walked::5.159483293937228e-07	 studied::4.7292647309404856e-07	 stayed::3.9093774262255465e-07	 wrote::3.8195017282305344e-07	 looked::3.3015965072991094e-07	 Work::3.2088061630020093e-07
Until the 1800s, most Americans rarely tasted anything containing refined sugar.) As you dig into your turkey, stuffing and pecan pie, washed down with a $ 10 bottle of wine superior in quality to any wine available to the 17th-century kings of France, remember how hard your ancestors worked, and how they sacrificed, in the dream that someday their descendants would be warm, well-fed and secure against nature.	worked	 worked::0.9999885559082031	 work::8.312341378768906e-06	worked::1.0877993190661073e-06	 working::6.929128630872583e-07	 walked::2.572862172200985e-07	 workers::1.3876692150915915e-07	 Work::1.2302935203933885e-07	 works::8.02156847612423e-08	 won::6.977772670779814e-08	 fought::5.899748600768362e-08	 laughed::4.261734787291971e-08	 looked::3.836506579091292e-08	 died::3.621083877192177e-08	 lived::3.541630277936747e-08	 played::3.4853925967581745e-08	 worker::2.9512291277455915e-08	iled::2.2991386572357442e-08	 hired::2.0715832604878415e-08	 used::1.6829522664352226e-08	 pulled::1.418610384718022e-08
Close to 5,000 people are still employed in textiles, and our task is to work with those companies on an individual basis to assist them to reposition themselves in higher-value markets.	work	 work::0.9999980926513672	 Work::1.100095346373564e-06	work::2.735472151016438e-07	 working::1.4757496558104322e-07	 deal::1.233867834571356e-07	 collaborate::4.194293978798669e-08	 works::3.048124597171409e-08	 worked::3.045730423423265e-08	Work::2.385082709110975e-08	 help::1.9775596271642826e-08	 walk::1.3169819013114648e-08	 cooperate::1.2695282158858845e-08	 talk::8.130824902252698e-09	 move::5.267125846586396e-09	 WORK::5.078134357461295e-09	 network::3.945301418895042e-09	 worker::3.706366769051783e-09	 partner::3.603464859835981e-09	 plan::3.5278411303352186e-09	 operate::3.3880616090442572e-09
