The rest is tinkering, magic, forbidden games.	rest	 rest::0.9852241277694702	 end::0.001213011215440929	 remainder::0.0009806331945583224	 Rest::0.0006458124262280762	 next::0.0006388694746419787	 list::0.0003986844385508448	 back::0.00032391215790994465	 future::0.0002588256902527064	 world::0.0002538456756155938	 result::0.00025287774042226374	 other::0.00023307010997086763	 worst::0.00017842723173089325	 bottom::0.00016652069461997598	 title::0.00014199285942595452	 story::0.0001290613872697577	 past::0.00011513713252497837	 post::0.00011147453915327787	 show::0.00010739803110482171	 last::0.00010029900295194238	 series::9.200294152833521e-05
maybe and FBI agent.... not secret service....	secret	 secret::0.9992032647132874	 Secret::0.0003644269017968327	 clandestine::9.848138870438561e-05	 security::8.024229464353994e-05	 secrets::4.0181632357416674e-05	 hidden::3.574278161977418e-05	 covert::3.503050174913369e-05	 classified::6.992576345510315e-06	 spy::6.609454885619925e-06	 secrecy::6.160149041534169e-06	 intelligence::5.6648400459380355e-06	 confidential::5.415578016254585e-06	 secretive::5.0107596507587004e-06	 civil::4.383665782370372e-06	 private::4.156534487265162e-06	 special::4.143837486481061e-06	secret::3.2443197142129065e-06	 foreign::3.0817006972938543e-06	 public::2.9634109068865655e-06	 government::1.908933199956664e-06
Thomas Golf Irons give you an exceptional advantage over other brands by making it easier to aim and align your shot to the target.	shot	 shot::0.9997568726539612	 shots::0.0001057414774550125	 ball::3.529514287947677e-05	 stroke::3.117989399470389e-05	 game::2.7026235329685733e-05	 drive::7.70143378758803e-06	shot::6.134358955023345e-06	 swing::5.244853582553333e-06	 aim::2.650601572895539e-06	 weapon::2.4940545699791983e-06	 club::2.1387006654549623e-06	 round::1.3061476238362957e-06	 driver::9.753659924172098e-07	 shooting::8.273624416688108e-07	 hand::7.875632377363218e-07	 course::6.55336975796672e-07	 hole::6.154043603601167e-07	 target::6.033253043824516e-07	 player::5.703143983737391e-07	 play::5.596933192464348e-07
In actuality, ready service shot was kept on the gun or spar decks in shot racks (also known as shot garlands in the Royal Navy) which consisted of longitudinal wooden planks with holes bored into them, into which round shot (cannon balls) were inserted for ready use by the gun crew.	shot	 shot::0.9930444359779358	 shoot::0.0017752947751432657	 shooting::0.0010490183485671878	 shots::0.0008038425003178418	 gun::0.00037175347097218037	shot::0.0002733987057581544	 fire::0.00024356134235858917	 aim::0.00019037841411773115	 rifle::8.666849316796288e-05	 gunfire::8.08352415333502e-05	 bullet::7.825477950973436e-05	 fired::5.858207441633567e-05	 gunshot::5.8333542256150395e-05	 ammo::5.7739165640668944e-05	 point::5.542558210436255e-05	 shell::5.519033584278077e-05	 shooter::4.71380990347825e-05	 shotgun::4.654797521652654e-05	 magazine::3.468986687948927e-05	 pistol::2.8270225811866112e-05
Moore fired two shots, the first a warning shot in the air and the second at the man.	shots	 shots::0.9997237324714661	 gunshots::0.00010292826482327655	 bullets::0.00010145261330762878	 shot::2.9819873816450126e-05	 rounds::1.586254802532494e-05	 times::1.3173811566957738e-05	 shoots::4.569625161821023e-06	 balls::1.8383258293397375e-06	 Shots::6.905026452841412e-07	 weapons::5.999648351462383e-07	 drives::4.3075843336737307e-07	shots::4.0147043023353035e-07	 missiles::3.2269639405058115e-07	 more::2.885126946239325e-07	 passes::2.881189686831931e-07	 guns::1.6973342553683324e-07	 rockets::1.5769587946579122e-07	 fires::1.2866959764323838e-07	 charges::1.2563455698000325e-07	 punches::1.1358668672301064e-07
You will more and more be able to make the ball do what is needed for the shot.	shot	 shot::0.9992209672927856	 shoot::0.00039351239684037864	 shots::0.000161214018589817	 shooting::6.427725020330399e-05	 play::1.9621520550572313e-05	 drive::1.91845992958406e-05	 game::1.559139127493836e-05	 ball::1.3074117305222899e-05	 Shot::5.9116314332641196e-06	 stroke::5.368529400584521e-06	 pass::4.876772891293513e-06	 move::4.872951649304014e-06	shot::3.845612809527665e-06	 score::3.7645772863470484e-06	 run::3.6431829357752576e-06	 shooter::3.2046409614849836e-06	 aim::2.7283135750622023e-06	 jumper::2.63378888121224e-06	 goal::2.1919249775237404e-06	 finish::1.810913886401977e-06
He slashed open a tent on a campsite at San Casciano, south of Florence, and fired several shots into the bodies of French tourists Jean Michel Kraveichvilj and Nadine Mauriot.	shots	 shots::0.9990378618240356	 bullets::0.0006520524038933218	 gunshots::0.0002622557512950152	 shot::3.149342956021428e-05	 rounds::9.355685506307054e-06	 shoots::3.7505792533920612e-06	shots::8.28325312340894e-07	 Shots::3.610260819186806e-07	 shootings::3.3058790904760826e-07	 gunfire::1.3082832595046057e-07	 magazines::1.2706900065495574e-07	 weapons::1.111480329996084e-07	 shells::1.0541042883005503e-07	 injections::9.135676037885787e-08	 missiles::8.999823819522135e-08	 holes::7.535455637253108e-08	 pellets::7.163838944279632e-08	 rockets::6.355131176860596e-08	 darts::6.107195105187202e-08	 bottles::5.8764822341572653e-08
Settlers&#8217; accounts of the prairie conquest mention a sound, a series of pops, like pistol shots, the sound of stout grass roots breaking before a moldboard plow.	shots	 shots::0.9994422793388367	 gunshots::0.0001755806151777506	 shoots::0.00012862644507549703	 bullets::8.319476182805374e-05	shots::7.524942338932306e-05	 shot::7.19071103958413e-05	 shootings::4.392289156385232e-06	 rounds::1.1906590771104675e-06	 Shots::1.0291527132721967e-06	 fires::9.781512062545517e-07	 strokes::9.524281949779834e-07	 drives::9.422805646863708e-07	 barrels::8.300827403218136e-07	 shouts::5.857921792085108e-07	 shooting::5.523597792489454e-07	 hits::5.107090146339033e-07	 injections::4.756891485158121e-07	 stocks::4.4680129462904006e-07	 shooters::4.150767836108571e-07	 stares::4.1185450072589447e-07
So, I can't apply them to a pool table and my stroke, cue ball hit and distance shots.	shots	 shots::0.9979948997497559	 shot::0.0016770563088357449	 games::5.9139947552466765e-05	 shoots::5.659913585986942e-05	 shooting::4.046293179271743e-05	shots::1.9451188563834876e-05	 plays::1.789645648386795e-05	 strokes::1.1949600775551517e-05	 drives::6.784280230931472e-06	 balls::6.055173798813485e-06	 goals::4.551441179501126e-06	 skills::4.167931365373079e-06	 shooters::3.867100076604402e-06	 Shots::3.4719780614977935e-06	 moves::3.4232782581966603e-06	 swings::2.5650883799244184e-06	 saves::2.3518471152783604e-06	 runs::2.226681999673019e-06	 throws::2.07306243282801e-06	 game::1.9242852431489155e-06
Thanks to Ben I have a good head shot of Chad for Hugh's latest assault.	shot	 shot::0.9972975850105286	shot::0.002467620652168989	 picture::7.326911872951314e-05	 shots::5.9979851357638836e-05	 shoot::5.705877993023023e-05	 start::9.437788321520202e-06	 angle::6.003727776260348e-06	 image::5.1983806770294905e-06	 shooting::4.789776539837476e-06	 photo::2.6818290734809125e-06	 look::1.9652140963444253e-06	 pic::1.5617363260389538e-06	 view::1.4924805782356998e-06	 shout::6.213763299456332e-07	 frame::4.017960861801839e-07	 take::4.004663196610636e-07	 snap::3.7411317066471383e-07	 tilt::3.600722209284868e-07	 hug::3.0077296742092585e-07	 Shot::2.5886890853143996e-07
Episode also introduces several changes: UNCLE secretaries have a new uniform of yellow turtlenecks or blouses with brown skirts; UNCLE HQs has more computers (actually surplus NASA equipment); and titles have been redone, with new Robert Vaughn, David McCallum and Leo G. Carroll shots.	shots	 shots::0.6744081974029541	 characters::0.03315184265375137	 voices::0.022864291444420815	 graphics::0.01763470657169819	 roles::0.0112535385414958	 photos::0.01079070009291172	 shot::0.009443643502891064	 portraits::0.008106191642582417	 art::0.007527478039264679	 images::0.007180803921073675	 titles::0.006317173596471548	 logos::0.006244070827960968	 actors::0.005503335501998663	 quotes::0.005365484394133091	 scripts::0.005351813975721598	 names::0.00474928691983223	 photography::0.004631719086319208	 jackets::0.004531464073807001	 pages::0.004395682830363512	 stars::0.0036473164800554514
This 78-page (paperback) book is well worth reading, especially if you have children or if you are being pressured to get a flu shot.	shot	 shot::0.9999407529830933	 vaccine::2.6694429834606126e-05	 jab::9.630298336560372e-06	 shoot::8.547901416022796e-06	 shots::7.247511803143425e-06	 vaccination::3.5288419439893914e-06	 injection::1.5096405832082382e-06	shot::4.2848759562730265e-07	 shooting::3.165441171404382e-07	 Shot::1.4781721802137326e-07	 dose::1.2974253138509084e-07	 drug::1.1008880562712875e-07	 card::1.0838823527592467e-07	 poke::9.263266065318021e-08	 med::8.039641841151024e-08	 hug::4.9889955278104026e-08	 spray::3.680493421143183e-08	 check::3.3824068879084734e-08	 dog::3.205147791618401e-08	 treatment::3.118159241921603e-08
Std 5.5.3 Loop detectors installed at signalized intersections should be sensitive enough to detect bicycles and the pavement marked to show the cyclist where the trigger is located.	show	 show::0.9999669790267944	 SHOW::1.9024842913495377e-05	 shows::3.838740667561069e-06	 tell::2.369187541262363e-06	 Show::2.2076517325331224e-06	 showed::1.7749742937667179e-06	 showing::1.2746385209538857e-06	 teach::6.914008281455608e-07	show::4.2339360106780077e-07	 give::4.0256657030113274e-07	 see::1.7239237593003054e-07	 display::1.418572281863817e-07	 shown::1.0886243018148889e-07	 let::1.0668112082612424e-07	 indicate::7.53281739207523e-08	Show::6.135782371075038e-08	 alert::4.4934370890814535e-08	 convince::3.918393431945333e-08	 signal::3.795447511834027e-08	 point::3.59198395472049e-08
I cannot connect and my access point is not shown by " iwlist scan ".	shown	 shown::0.9995716214179993	 showed::0.0003003383753821254	 displayed::9.023919119499624e-05	 seen::1.2985764442419168e-05	 showing::1.0974853466905188e-05	 show::3.694630322570447e-06	 indicated::1.401403665113321e-06	 depicted::1.3778728771285387e-06	 revealed::9.320629601461405e-07	 demonstrated::8.961613389146805e-07	 given::5.962779141555075e-07	 disclosed::5.227441874922079e-07	 illustrated::4.5325074893298734e-07	 known::4.0349726759814075e-07	 highlighted::3.376352140094241e-07	shown::2.7279503456156817e-07	 presented::2.3928910763970634e-07	 marked::2.340819520441073e-07	 specified::2.1256080628972995e-07	 detected::1.9330822453866858e-07
show yet once more the dreadful film of her children's death, and she doesn't come out again.	show	 Show::0.8468531370162964	 show::0.08580143004655838	 Read::0.00910189375281334	 Play::0.00800501648336649	 See::0.005678950808942318	 SHOW::0.00350637617520988	 Watch::0.0024272652808576822	 Make::0.002410554327070713	 Present::0.001839519594796002	 play::0.0017509148456156254	 Shows::0.0011627180501818657	 Display::0.0010431228438392282	 View::0.001002645818516612	Show::0.0009033874375745654	 Hold::0.0007144644623622298	 watch::0.0007119791116565466	 Hide::0.0005951089551672339	 Shine::0.0005794413154944777	 shown::0.0005750159616582096	 Close::0.00045459280954673886
One example is shown in Fig.	shown	 shown::0.9994906187057495	 seen::0.0002386242849752307	 showed::0.00017969687178265303	 given::2.2827945940662175e-05	 displayed::2.0632143787224777e-05	 illustrated::1.9364848412806168e-05	 depicted::9.112462066696025e-06	 found::5.894860350963427e-06	 demonstrated::3.738049372259411e-06	 showing::1.0926129334620782e-06	 pictured::1.0778999239846598e-06	 explained::7.66061873491708e-07	 presented::7.657229730284598e-07	 known::5.349198204385175e-07	 show::4.5475880483536457e-07	 used::4.458353828340478e-07	 described::4.299611759961408e-07	shown::3.744441414710309e-07	 written::2.7264704272056406e-07	 reproduced::2.7186189299754915e-07
Case Sensitive: If you you check the case sensitive box, capitalization will matter (for example, if you search for " Star ", then listings with the word " star " will not show up).	show	 show::0.9997902512550354	 look::6.591077544726431e-05	 come::2.4496845071553253e-05	 turn::2.1024841771577485e-05	 load::1.39294779728516e-05	 display::1.0942718290607445e-05	 pop::8.860381967679132e-06	 light::7.768730938551016e-06	 match::6.7454466261551715e-06	 showing::5.190412593947258e-06	 stack::4.920721494272584e-06	 appear::3.3820558655861532e-06	 Show::3.2395330435974756e-06	 list::3.015139554918278e-06	 shows::2.3867464733484667e-06	 showed::2.2852118490845896e-06	 end::2.111533603965654e-06	 add::1.9030906059924746e-06	 set::1.5434819715665071e-06	 SHOW::1.351613377664762e-06
Showing it as a fall apple tree (before we do the color change on the leaves).	Showing	 Seeing::0.4850634038448334	 showing::0.4227055609226227	 Show::0.02170487307012081	 Shooting::0.01569276489317417	 Giving::0.008945254608988762	 Shining::0.006117167882621288	 Playing::0.005088974256068468	 Lighting::0.004565199837088585	 Loading::0.003208327339962125	 Walking::0.002599089639261365	 Using::0.00247863563708961	 Shows::0.0021497865673154593	 Sharing::0.0020404222887009382	Seeing::0.001961458008736372	 Drawing::0.0010167256696149707	 Moving::0.0009312168112955987	 Teaching::0.0008956927922554314	 Feeling::0.0008179802680388093	 Putting::0.0007824092172086239	 Doing::0.0007773279794491827
Also, when combined with a multiple hazard map, a CFM can show which areas require more information, which ones require different hazard reduction techniques, and which need immediate attention when a hazardous event occurs.	show	 show::0.9998724460601807	 see::6.0848316934425384e-05	 shows::1.0680632840376347e-05	 display::9.644952115195338e-06	 showing::5.835383035446284e-06	 showed::5.672928182320902e-06	 Show::4.6985487642814405e-06	 tell::4.251461177773308e-06	 illustrate::3.0674739264213713e-06	 reveal::2.793350404317607e-06	 highlight::2.5787596769077936e-06	 SHOW::1.8187289470006363e-06	 explain::1.6511933154106373e-06	show::1.3572893067248515e-06	 shown::1.3373199863053742e-06	 indicate::1.220641024701763e-06	 demonstrate::9.778668754734099e-07	 read::9.04960529624077e-07	 list::5.332046271178115e-07	 understand::4.788110459230666e-07
I 'd like to upload my own personal videos TO the tivo, so I can show them to guests using my TV.	show	 show::0.9999896287918091	 showed::1.610236836313561e-06	 SHOW::1.390501097375818e-06	 Show::1.0528534630793729e-06	 give::9.86731606644753e-07	 see::6.501292659777391e-07	 display::6.35359810985392e-07	 showing::6.043792382115498e-07	 shows::4.3117964310113166e-07	 feed::3.886136710207211e-07	 tell::3.57253270522051e-07	show::2.892661541409325e-07	 teach::2.225818178658301e-07	 shown::2.1224528268248832e-07	Show::1.2703948470971227e-07	 watch::1.225180596975406e-07	 play::1.1684601020078844e-07	 introduce::1.073440429877337e-07	 read::9.851044069364434e-08	 send::7.368654308947953e-08
Navajo and European-American mothers were shown videotaped episodes of Navajo and European-American children participating in a classroom.	shown	 shown::0.9995887875556946	 showed::0.00039159783045761287	 given::1.4210102563083638e-05	 showing::1.5549716181340045e-06	 screened::8.581932320339547e-07	 fed::7.797621037752833e-07	 displayed::2.889859160859487e-07	 demonstrated::2.511030743335141e-07	 taught::2.42225723923184e-07	 show::2.091635877832232e-07	 presented::1.90197312122109e-07	 offered::1.6886454545783636e-07	 allowed::1.6851191730893333e-07	 told::9.247156640412868e-08	 handed::8.576937204907154e-08	 seen::6.11155428487109e-08	 played::5.4662329773691454e-08	 sent::4.973645673089777e-08	 served::3.195768627506368e-08	 assigned::1.6430085736374167e-08
The corporal shown above is wearing the regulation cork helmet covered in blue cloth.	shown	 shown::0.9998537302017212	 pictured::9.036991832545027e-05	 demonstrated::1.3465250958688557e-05	shown::9.185656381305307e-06	 depicted::8.163069651345722e-06	 showed::7.541300874436274e-06	 seen::6.191448846948333e-06	 displayed::4.779255505127367e-06	 described::1.3818917068419978e-06	 presented::7.328973765652336e-07	 given::6.872652988931804e-07	 showing::5.898235713175382e-07	 indicated::4.988459068044904e-07	 modeled::2.5333955022688315e-07	 appeared::1.9388018301924603e-07	 portrayed::1.860435219214196e-07	 revealed::1.7512107319817005e-07	 screened::1.0651717019527496e-07	 reproduced::1.0422568408330335e-07	 referenced::1.0349983625701498e-07
Wind the power cable into a gentle loop when storing it in the bag.	Wind	 Wind::0.9901108145713806	Wind::0.008602534420788288	 wind::0.000374507944798097	 Blow::0.0002705595106817782	 Winds::9.873836825136095e-05	 Whip::2.355525975872297e-05	wind::1.917940426210407e-05	 Hold::1.8372360500507057e-05	 Draft::1.768302172422409e-05	 Grind::1.2004443306068424e-05	 Draw::1.1765858289436437e-05	 Thread::1.1387255653971806e-05	 Tail::1.0474225746293087e-05	 Lock::9.429370948055293e-06	 Bring::8.615050319349393e-06	 Wag::8.354119017894845e-06	 Tie::6.871419373055687e-06	 Break::6.576091436727438e-06	 Turn::6.5292920226056594e-06	 Wire::6.240313723537838e-06
The Southern Forests Travelling east and inland from Augusta, the roads wind their way through some of the most incredible forests found anywhere in the world.	wind	 wind::0.9997132420539856	 winds::0.0001449550036340952	 wound::9.173987928079441e-05	 winding::2.4725481125642546e-05	 breeze::4.161036031291587e-06	 weave::2.0278034753573593e-06	 swirl::1.3642568319482962e-06	 grind::1.2406901532813208e-06	 snake::1.0352167691962677e-06	 work::1.0282132052452653e-06	 blow::1.0065886044685612e-06	wind::1.0052533525595209e-06	 burn::8.489982974424493e-07	 run::8.054022373471525e-07	 twist::6.942961476852361e-07	 wrap::6.702538826175441e-07	 spin::5.673980467690853e-07	 roll::5.585821440945438e-07	 write::5.526455311155587e-07	 make::4.547299568002927e-07
Jury wonders, is Harry Johnson winding him up?	winding	 winding::0.9999712705612183	 wrapping::2.1818674213136546e-05	 rigging::1.7589901517567341e-06	 spinning::6.978187343520403e-07	 tying::6.414253448383533e-07	 wound::4.960125465913734e-07	 blowing::3.139837190246908e-07	 dressing::2.4635838258291187e-07	 wiring::2.416072106825595e-07	 shutting::2.3643391955374682e-07	 gearing::2.1292501628522587e-07	 wind::1.5620889826095663e-07	 backing::1.2930082959883293e-07	 keeping::1.1798443466659592e-07	 lighting::1.1519396991843678e-07	inning::9.143618484586113e-08	 hanging::6.11515247328498e-08	 swelling::5.8228671662163833e-08	 ringing::5.676405478993729e-08	 setting::5.407380498922976e-08
Palestinians know that Israelis are reluctant to shoot at children; and if a child does wind up getting killed, it makes for excellent anti-Israel propaganda.	wind	 wind::0.9996955394744873	 end::0.00019904537475667894	 wound::9.862919250736013e-05	 winding::2.8007780201733112e-06	 winds::1.8735870526143117e-06	 grow::7.287574135261821e-07	 round::4.398372368541459e-07	 turn::3.0205390544324473e-07	 come::5.9154597664701214e-08	 blow::4.8055483148345957e-08	 find::4.756125804306066e-08	 write::4.0247243759949924e-08	wind::4.0081999941321556e-08	 get::3.7374146444335565e-08	 show::3.0920258353717145e-08	 bring::2.928610776109508e-08	 shut::2.4874239556993416e-08	 crop::2.1887265333475625e-08	 wrap::2.1021294926981682e-08	 taste::1.7256621021033425e-08
Half a mile further was Fox's Hill, and winding up the long hollow between them was Taylor's Lane, which led first to their driveway about a quarter of a mile in, and then to three other Quaker farms further on.	winding	 winding::0.9999916553497314	 wrapping::5.347984370018821e-06	 swirling::8.042861736612394e-07	 wound::4.3282517481202376e-07	 spinning::1.7326493662039866e-07	 revolving::1.2583971908952662e-07	 leading::1.1114512687981914e-07	 weaving::9.823370561434785e-08	 ending::7.87952032510475e-08	 shooting::6.816907216489199e-08	 twisting::6.761381854403226e-08	 shutting::6.085420523049834e-08	 striking::5.029176719517636e-08	 wandering::4.576890688667845e-08	 finishing::3.99058102118488e-08	 running::3.949863369712148e-08	 ringing::3.6881296239243966e-08	 turning::3.593991948491748e-08	 rolling::3.4654441094517097e-08	 coming::3.287387073669379e-08
So they all wind up in that loaf of bread.	wind	 wind::0.9950507283210754	 end::0.0046264841221272945	 wound::0.0002273800055263564	 winds::7.10641106707044e-05	 grow::7.388818175968481e-06	 winding::6.088294867367949e-06	 ends::1.3076811455903226e-06	 wrap::1.1428707011873485e-06	 finish::7.283646823452727e-07	wind::7.012354785729258e-07	 write::6.254953746065439e-07	 show::6.053069228073582e-07	 turn::5.411631605056755e-07	 dress::5.40091775746987e-07	 come::4.1594796584831784e-07	 die::3.536048041041795e-07	 wake::3.2128727411873115e-07	 land::3.0172131459949014e-07	 round::2.4183486857509706e-07	 ended::1.8260399770042568e-07
The lawsuits that threaten to cripple a a number of the churches are winding their way through the courts.	winding	 winding::0.9999936819076538	 swirling::1.0699010317694047e-06	 grinding::6.811725370425847e-07	 making::6.317625320662046e-07	 wrapping::5.218469709689089e-07	 weaving::4.808268272427085e-07	 circling::4.420603829657921e-07	 finding::2.820484610310814e-07	 revolving::2.270208199206536e-07	 striking::1.2474333743739408e-07	 spinning::1.195907373130467e-07	 navigating::1.163026226436159e-07	inding::1.1232559415930155e-07	 wound::9.000001455206075e-08	 twisting::8.35640960872297e-08	 wiring::5.397495783654449e-08	 running::4.496557792776912e-08	 pursuing::4.3332310184496237e-08	 waging::2.9690744085542065e-08	 affecting::2.5528372304961522e-08
Now however she was falling through that skylight, the strong dark figure that had appeared out of nowhere falling through with her, his arms tightly entwined about her, his shoulder having winded her.	winded	 wound::0.8825045228004456	 wind::0.037745654582977295	 blown::0.015950752422213554	 winding::0.011155911721289158	 tired::0.003186556277796626	 suspended::0.0029835058376193047	 winds::0.00258065527305007	 killed::0.002442280761897564	 slowed::0.002142983255907893	 wrapped::0.001887579564936459	 undone::0.0016251883935183287	 broken::0.001584277139045298	 sustained::0.0015125989448279142	 stopped::0.001163025968708098	 grounded::0.001139402505941689	 whipped::0.0011303673963993788	 shot::0.0009308565058745444	 annoyed::0.0008962159627117217	 weakened::0.0008246696088463068	 injured::0.000813055841717869
Experience outdoor adventure, mini golf, horse trekking, wind your way though a maze, mountain biking and relaxing in the famous Hanmer Springs hot pools.	wind	 wind::0.9446824193000793	 winding::0.052062734961509705	 winds::0.000918851001188159	 breeze::0.0003499692538753152	 wound::0.00013504746311809868	 Wind::6.658801430603489e-05	wind::4.46916492364835e-05	 find::4.172279659542255e-05	 make::4.137174255447462e-05	 weaving::4.080490180058405e-05	 snake::3.7601887015625834e-05	 twist::3.627176920417696e-05	 weave::3.131778794340789e-05	 making::3.069497688557021e-05	 finding::2.757179936452303e-05	 trick::2.7465772291179746e-05	 talk::2.460058567521628e-05	 work::2.3143767975852825e-05	 blowing::1.9524279196048155e-05	 blow::1.8801742044161074e-05
The history of message encryption goes back to ancient Greece where messages were written on a tape wound around a stick.	wound	 wound::0.9998962879180908	 wrapped::0.0001008434483082965	 winding::1.6267058526864275e-06	 twisted::1.6568222349633288e-07	 tied::1.5400335939830256e-07	 cut::1.517034036169207e-07	 held::9.419316882031126e-08	 woven::7.192828377355909e-08	 threaded::4.375962703306868e-08	 hung::3.313663299309155e-08	 passed::3.300391782090628e-08	 wrapping::3.110482893475819e-08	 fashioned::3.0788040561446905e-08	 written::2.709112578713757e-08	 rolled::2.6660282870238916e-08	 taped::1.8261397727314943e-08	 wounded::1.7618615899550605e-08	 closed::1.6279333436841625e-08	 shot::1.560544760081939e-08	 worn::1.2558094120151964e-08
I managed to get a position working on the phylogeography of some New Zealand animals this summer.	working	 working::0.9999827146530151	working::6.7341716203372926e-06	 helping::2.2056915440771263e-06	 going::1.1317063126625726e-06	 focusing::9.197847248287871e-07	 moving::6.731702342221979e-07	 Working::6.366230991261546e-07	 trying::5.390721184994618e-07	 worked::4.913515567750437e-07	 starting::4.360296372851735e-07	 looking::4.3359966639400227e-07	 work::4.1077140622292063e-07	 speaking::2.452940464081621e-07	 based::2.355386499175438e-07	 teaching::1.9448522436960047e-07	 talking::1.4796276559536636e-07	 reporting::1.2044624497775658e-07	 studying::1.0107982717499908e-07	 running::9.184397242734121e-08	 acting::8.70940510822038e-08
In September, I wrote a post with the title, "Did the President of CBS News Have Anyone in Charge of Reading the Internet and Sending Alerts?&#8221; By asking people who work there, I have since determined that he didn't.	work	 work::0.9999632835388184	 worked::1.945692019944545e-05	 works::8.437329597654752e-06	work::2.1399705474323127e-06	 live::1.4542454209731659e-06	 Work::1.3755291092820698e-06	 are::1.0843311883945717e-06	 working::5.173950512471492e-07	Work::3.7405717989713594e-07	 shop::3.226549267765222e-07	 staff::1.7429249510314548e-07	 worker::1.524939676755821e-07	 practice::1.4946434134799347e-07	 WORK::1.291560920435586e-07	 know::1.0972442510137626e-07	 use::1.0718838439061074e-07	 operate::8.516903449162783e-08	 job::7.765593323938447e-08	 workers::6.952647169100601e-08	 sit::6.218586179329577e-08
Teachers were introduced to content by experienced mentor teachers and scientists, who worked with them as they used the kits (Marsh and Sevilla, 1991).	worked	 worked::0.9999287128448486	 collaborated::3.13951495627407e-05	 work::2.6379842893220484e-05	 helped::2.9804248242726317e-06	 working::1.986504457818228e-06	 partnered::1.604430508450605e-06	 interacted::9.902347528623068e-07	worked::8.518530876244768e-07	 trained::7.263099632837111e-07	 spoke::4.721990478628868e-07	 lived::4.293496260743268e-07	 stayed::3.1418360890711483e-07	 dealt::3.0917814797248866e-07	 talked::2.7986527584289433e-07	 consulted::2.0052866034347971e-07	 works::1.836907159713519e-07	 teamed::1.4346998966630053e-07	 sat::1.3799059672692238e-07	 travelled::1.1379344755368948e-07	 walked::1.0284598062071382e-07
Mary then worked for a few years before returning to the University of Michigan for a Master's degree in civil engineering in 1944.	worked	 worked::0.9989533424377441	 taught::0.0002936994133051485	 lived::0.0001266215112991631	 served::8.183459431165829e-05	 moved::7.349372026510537e-05	 studied::5.7590455980971456e-05	 practiced::3.93409063690342e-05	 works::3.6578872823156416e-05	 work::3.6267087125452235e-05	 stayed::2.468398270139005e-05	 walked::1.704124952084385e-05	 waited::1.4375593309523538e-05	 wrote::1.3024550753470976e-05	 spoke::1.2494020666053984e-05	 left::1.1846666893688962e-05	 graduated::1.1818095117632765e-05	 traveled::1.0162876606045756e-05	 played::9.227002919942606e-06	 resigned::8.27973781269975e-06	 sat::8.135599273373373e-06
Until the 1800s, most Americans rarely tasted anything containing refined sugar.) As you dig into your turkey, stuffing and pecan pie, washed down with a $ 10 bottle of wine superior in quality to any wine available to the 17th-century kings of France, remember how hard your ancestors worked, and how they sacrificed, in the dream that someday their descendants would be warm, well-fed and secure against nature.	worked	 worked::0.9999676942825317	 work::1.2422380677890033e-05	 fought::9.296234566136263e-06	 lived::1.6945044762906036e-06	 walked::1.3145239563527866e-06	 struggled::1.1977007261521067e-06	 tried::5.917389671594719e-07	 slept::5.734094088438724e-07	 trained::5.539704375223664e-07	 practiced::4.888790385848552e-07	 studied::4.572150373860495e-07	worked::3.864114717089251e-07	 laughed::2.5557682192811626e-07	 works::2.0066349293301755e-07	 working::1.8351578034980776e-07	 pushed::1.832443530247474e-07	 did::1.8295692427727772e-07	 played::1.4696937000735488e-07	 pulled::1.3719237301756948e-07	 ate::1.3473915316808416e-07
Close to 5,000 people are still employed in textiles, and our task is to work with those companies on an individual basis to assist them to reposition themselves in higher-value markets.	work	 work::0.9998828172683716	 partner::0.00010265523451380432	 working::5.260663783701602e-06	 collaborate::3.446975597398705e-06	work::2.169552317354828e-06	 Work::5.072694762020546e-07	 cooperate::4.903550347989949e-07	 deal::4.775291131409176e-07	 talk::2.891983115205221e-07	 worked::2.758139316938468e-07	 engage::2.280897746231858e-07	 speak::1.8862225203974958e-07	 interact::1.5617304427451018e-07	 negotiate::1.4531046588217578e-07	 meet::1.0217142687451997e-07	 connect::8.795405648243104e-08	 team::6.919174921904414e-08	 works::4.982135592968007e-08	 be::4.4220509920478435e-08	 communicate::4.3239996472266284e-08
