The rest is tinkering, magic, forbidden games.	rest	rest::0.9838362336158752	other::0.004705202300101519	remainder::0.001966404262930155	last::0.0014781818026676774	whole::0.0010523736709728837	third::0.0009761477704159915	second::0.0005484838620759547	others::0.0004823572817258537	most::0.0003397544496692717	fourth::0.00026543770218268037	part::0.0002362160594202578	balance::0.0001661294954828918	seventh::0.0001627516612643376	final::0.00012279329530429095	more::0.00011740653280867264	fifth::0.00011728890967788175	sixth::0.0001101740199374035	latter::6.76965864840895e-05	eighth::6.416313408408314e-05	same::6.328674498945475e-05
You will more and more be able to make the ball do what is needed for the shot.	shot	shot::0.963546633720398	shoot::0.006439222954213619	goal::0.0049320971593260765	hit::0.0042649442330002785	shots::0.0029215968679636717	ball::0.0015652280999347568	shooting::0.0015547411749139428	kick::0.0009083431214094162	point::0.0007378786103799939	game::0.000654187926556915	run::0.0005697258748114109	play::0.0005137398256920278	attack::0.0004956392222084105	swing::0.0004279189452063292	throw::0.00042668255628086627	pass::0.0003317905939184129	kill::0.00030887697357684374	try::0.00030330888694152236	target::0.0002861299435608089	drive::0.00025585395633243024
He slashed open a tent on a campsite at San Casciano, south of Florence, and fired several shots into the bodies of French tourists Jean Michel Kraveichvilj and Nadine Mauriot.	shots	shots::0.98804771900177	bullets::0.005816642194986343	shot::0.002048781141638756	rounds::0.0012419354170560837	times::0.00027545567718334496	shells::0.00025777085102163255	rifles::0.00019490733393467963	darts::0.00018770064343698323	more::0.00016048365796450526	rockets::0.00015324883861467242	shoots::0.00012603549112100154	arrows::9.536139259580523e-05	bursts::8.0302961578127e-05	bolts::6.95807029842399e-05	wounds::6.72795285936445e-05	guns::5.218317164690234e-05	weapons::4.358079968369566e-05	pistols::4.113566319574602e-05	hits::4.104882100364193e-05	holes::3.708416625158861e-05
Settlers&#8217; accounts of the prairie conquest mention a sound, a series of pops, like pistol shots, the sound of stout grass roots breaking before a moldboard plow.	shots	shots::0.9852346777915955	shot::0.008247368037700653	shoots::0.001452349592000246	fires::0.0008719131001271307	bursts::0.0007701000431552529	bullets::0.000322966487146914	shooting::0.00026827616966329515	strokes::0.00017837027553468943	##es::0.00015941745368763804	fire::0.00014258806186262518	bolts::0.0001245344028575346	hits::0.0001155658537754789	blasts::0.00011090047337347642	shells::9.299421799369156e-05	rounds::7.350332452915609e-05	flashes::6.725742423441261e-05	points::6.559397297678515e-05	balls::5.320748459780589e-05	cuts::5.2328105084598064e-05	strikes::4.901193824480288e-05
So, I can't apply them to a pool table and my stroke, cue ball hit and distance shots.	shots	shots::0.9962357878684998	shot::0.0031064539216458797	hits::0.00018165158689953387	shoots::0.00015640078345313668	shooting::8.412844181293622e-05	strokes::3.2849013223312795e-05	shooters::1.7322401618002914e-05	targets::7.376891062449431e-06	attacks::7.192734301497694e-06	blasts::6.462699730036547e-06	ones::4.562497906590579e-06	scores::4.482044914766448e-06	slams::4.2228452912240755e-06	throws::4.210198312648572e-06	shoot::4.1089019759965595e-06	balls::3.916354671673616e-06	kills::3.886955710186157e-06	runs::3.870834461849881e-06	strikes::3.032934728253167e-06	teams::2.917009169323137e-06
Thanks to Ben I have a good head shot of Chad for Hugh's latest assault.	shot	shot::0.9974147081375122	shoot::0.0014507819432765245	shots::0.0009995746659114957	shooting::5.552740185521543e-05	shoots::9.220922038366552e-06	view::5.570946086663753e-06	picture::5.461616638058331e-06	cut::4.663604613597272e-06	clip::3.436611677898327e-06	shooter::2.939405703727971e-06	hit::2.8273973384784767e-06	##shot::2.263305304950336e-06	stick::2.207865009040688e-06	rifle::2.0696711544587743e-06	one::1.6316784012815333e-06	##hot::1.3291208915688912e-06	up::1.2508006648204173e-06	swing::1.2445775610103738e-06	pop::8.103116897473228e-07	kick::7.61650937874947e-07
Episode also introduces several changes: UNCLE secretaries have a new uniform of yellow turtlenecks or blouses with brown skirts; UNCLE HQs has more computers (actually surplus NASA equipment); and titles have been redone, with new Robert Vaughn, David McCallum and Leo G. Carroll shots.	shots	shots::0.8835840225219727	shot::0.1078592836856842	shooting::0.0023167391773313284	photographs::0.0009974961867555976	photography::0.00044771641842089593	guns::0.00025023144553415477	pictures::0.00024549008230678737	photos::0.00022950048150960356	used::0.00013680479605682194	footage::0.00012960263120476156	drums::9.744324052007869e-05	gallery::9.503204637439921e-05	shoots::7.628593448316678e-05	shoot::7.465527596650645e-05	tracks::7.235912926262245e-05	##s::7.028868276393041e-05	gone::6.551825936185196e-05	black::5.4561387514695525e-05	photo::5.178045103093609e-05	songs::5.089892147225328e-05
This 78-page (paperback) book is well worth reading, especially if you have children or if you are being pressured to get a flu shot.	shot	shot::0.9984288811683655	shots::0.0003950587706640363	ray::0.00015610139234922826	shoot::6.381734419846907e-05	dart::4.255670137354173e-05	##ke::4.025976522825658e-05	run::4.0232669562101364e-05	jump::3.4641805541468784e-05	vaccine::3.1633662729291245e-05	hit::3.100057801930234e-05	trip::3.0238179533625953e-05	tube::3.016289156221319e-05	break::2.758402843028307e-05	stroke::2.5511226340313442e-05	blast::2.4095912522170693e-05	cut::1.8314951375941746e-05	bullet::1.3445023796521127e-05	shower::1.2649669770326e-05	roll::1.2051178600813728e-05	attack::1.1291943337710109e-05
Std 5.5.3 Loop detectors installed at signalized intersections should be sensitive enough to detect bicycles and the pavement marked to show the cyclist where the trigger is located.	show	show::0.9989877343177795	tell::0.0002647393266670406	indicate::0.0001298305141972378	showing::0.0001264673046534881	reveal::9.510476957075298e-05	shows::8.773025183472782e-05	showed::5.402647002483718e-05	display::4.6371100324904546e-05	signal::2.1688767446903512e-05	mark::2.1525092961383052e-05	see::1.7081831174436957e-05	give::1.3131425475876313e-05	shown::8.074821380432695e-06	state::7.083811397023965e-06	identify::5.694912942999508e-06	know::4.078759957337752e-06	sign::4.028339390060864e-06	guide::3.9948226913111284e-06	recognize::3.2626626307319384e-06	match::3.2278665003104834e-06
I cannot connect and my access point is not shown by " iwlist scan ".	shown	shown::0.9895243048667908	showed::0.003839153563603759	displayed::0.0032318527810275555	showing::0.0006675840122625232	presented::0.0005294241127558053	indicated::0.00028418219881132245	revealed::0.00022790429648011923	illustrated::0.00021923509484622627	given::0.0001587176084285602	provided::0.00011304892541375011	depicted::0.00011043783888453618	represented::0.0001078033383237198	show::0.00010180300159845501	seen::7.455293962266296e-05	recorded::5.845162377227098e-05	shows::5.722526111640036e-05	flashed::3.412849036976695e-05	marked::3.2814914447953925e-05	covered::3.209311398677528e-05	highlighted::2.983450031024404e-05
show yet once more the dreadful film of her children's death, and she doesn't come out again.	show	show::0.9030753374099731	and::0.07993478327989578	shows::0.001934055588208139	tell::0.001496516284532845	see::0.0013568269787356257	present::0.0009996689623221755	hold::0.0008892605546861887	but::0.0007594027556478977	do::0.0007173149497248232	'::0.0004699067503679544	make::0.0004587463045027107	then::0.000451315485406667	have::0.0004197539819870144	play::0.00023675593547523022	showing::0.00023569507175125182	not::0.000235638435697183	screen::0.00017623578605707735	##how::0.0001684810995357111	now::0.0001666397729422897	say::0.00015718204667791724
One example is shown in Fig.	shown	shown::0.9939780235290527	presented::0.0013815904967486858	seen::0.001322155469097197	given::0.000920409569516778	illustrated::0.0006491955136880279	depicted::0.0003966091899201274	displayed::0.0002078542165691033	demonstrated::0.0001297178096137941	described::0.00012561319454107434	found::0.00012068243086105213	showed::0.00010224178549833596	provided::4.884108784608543e-05	done::4.674474985222332e-05	mentioned::3.450662188697606e-05	explained::3.386784010217525e-05	stated::3.181106876581907e-05	indicated::2.99904804705875e-05	present::2.903978747781366e-05	showing::2.585124093457125e-05	represented::1.713844176265411e-05
Case Sensitive: If you you check the case sensitive box, capitalization will matter (for example, if you search for " Star ", then listings with the word " star " will not show up).	show	show::0.9992483258247375	showing::0.0002807200653478503	match::0.0001078227796824649	look::0.00010277458932250738	showed::6.64170365780592e-05	shows::6.54918112559244e-05	pop::2.6029039872810245e-05	shown::1.734724901325535e-05	add::1.6811269233585335e-05	display::1.0524016943236347e-05	appear::7.967456440383103e-06	light::4.927128884446574e-06	come::4.205242930765962e-06	face::3.2671071039658273e-06	turn::3.1135050448938273e-06	be::2.300188270965009e-06	give::1.9047547539230436e-06	stand::1.5490700207010377e-06	sign::1.348103410236945e-06	reveal::1.3337680684344377e-06
Showing it as a fall apple tree (before we do the color change on the leaves).	Showing	showing::0.9719167947769165	presenting::0.006672652903944254	displaying::0.0050584739074110985	shown::0.0024836177472025156	show::0.002146390965208411	viewing::0.0016245642909780145	seeing::0.0013878708705306053	shows::0.0005613289540633559	painting::0.0005366443074308336	doing::0.0005304812802933156	teaching::0.0004176059446763247	showed::0.00032279815059155226	depicting::0.00028957854374311864	revealing::0.00028474448481574655	using::0.0002803211391437799	display::0.000256965693552047	exposing::0.0002562083536759019	illustrating::0.0002461299009155482	demonstrating::0.0002362475061090663	treating::0.00020718429004773498
Also, when combined with a multiple hazard map, a CFM can show which areas require more information, which ones require different hazard reduction techniques, and which need immediate attention when a hazardous event occurs.	show	show::0.9952837824821472	display::0.001071517588570714	shows::0.0009202942601405084	indicate::0.0003682091773953289	demonstrate::0.00026703180628828704	reveal::0.00021293653117027134	showed::0.00019841923494823277	showing::0.00017441455565858632	see::0.0001507560518803075	illustrate::0.00014283889322541654	state::0.00011341418576193973	tell::7.051267311908305e-05	document::6.99777519912459e-05	shown::5.664318086928688e-05	provide::4.63185460830573e-05	describe::4.419877222971991e-05	mark::3.133361315121874e-05	depict::2.9872295272070915e-05	signal::2.7759488148149103e-05	explain::2.602738641144242e-05
I 'd like to upload my own personal videos TO the tivo, so I can show them to guests using my TV.	show	show::0.9964019060134888	present::0.0005615806439891458	display::0.00034767395118251443	give::0.00025942237698473036	showed::0.00024636686430312693	see::0.00016724666056688875	showing::0.00015554812853224576	shows::0.00011107409955002367	introduce::9.055814007297158e-05	play::8.85614863364026e-05	tell::8.557803084840998e-05	screen::8.070584590313956e-05	shown::7.223023567348719e-05	showcase::6.971844413783401e-05	view::6.340398249449208e-05	offer::6.045500049367547e-05	broadcast::5.7300560001749545e-05	provide::5.2442675951169804e-05	pass::5.18630477017723e-05	reveal::4.620812615030445e-05
Navajo and European-American mothers were shown videotaped episodes of Navajo and European-American children participating in a classroom.	shown	shown::0.995954155921936	showed::0.0008930216426961124	given::0.0008398415520787239	seen::0.0008215344278141856	presented::0.0007462527719326317	showing::0.00011148711200803518	broadcast::8.440445526503026e-05	watched::8.436091593466699e-05	screened::6.674439646303654e-05	observed::5.664609852829017e-05	show::2.8233285775058903e-05	watching::1.3110828149365261e-05	on::1.2456212061806582e-05	offered::1.2401723324728664e-05	told::1.217282988363877e-05	featured::1.0247227692161687e-05	filmed::1.0142109204025473e-05	viewing::1.0049488082586322e-05	displayed::8.968580004875548e-06	depicted::8.897818588593509e-06
The corporal shown above is wearing the regulation cork helmet covered in blue cloth.	shown	shown::0.9686101078987122	described::0.013872462324798107	depicted::0.0034962196368724108	mentioned::0.0022381397429853678	seen::0.0019007964292541146	illustrated::0.001733289798721671	displayed::0.0016154850600287318	listed::0.001029744977131486	pictured::0.0006025583134032786	presented::0.0005927121383138001	figure::0.0005159560823813081	portrayed::0.0004636717203538865	given::0.0003021863230969757	represented::0.0002469505416229367	indicated::0.00021650001872330904	featured::0.00020724009664263576	noted::0.00018303444085177034	showed::0.00011715733853634447	showing::0.00010728766210377216	stated::0.0001015619418467395
Wind the power cable into a gentle loop when storing it in the bag.	Wind	wind::0.3376478850841522	turn::0.11970342695713043	hook::0.07050489634275436	roll::0.04089334234595299	bend::0.03530889004468918	tie::0.02801486663520336	loop::0.02720537595450878	pull::0.018061434850096703	force::0.011729543097317219	swing::0.011255723424255848	drive::0.010845717042684555	work::0.009405449964106083	draw::0.008127080276608467	run::0.007175510283559561	rotate::0.006622589658945799	twist::0.005982383619993925	set::0.005911527667194605	move::0.0055777584202587605	curl::0.005307520739734173	press::0.004702655598521233
The Southern Forests Travelling east and inland from Augusta, the roads wind their way through some of the most incredible forests found anywhere in the world.	wind	wind::0.9978861212730408	wound::0.00021275467588566244	make::0.0001466205867473036	winds::0.00013791579112876207	ring::0.00013475707964971662	lead::0.00012452145165298134	work::0.00010060645581688732	walk::6.430313806049526e-05	pick::6.422726437449455e-05	find::5.6937486078822985e-05	talk::3.468622890068218e-05	weave::3.311147156637162e-05	winding::3.3034382795449346e-05	breeze::2.783663512673229e-05	##ve::2.4278131604660302e-05	travel::2.3692220565862954e-05	bend::1.6476406017318368e-05	run::1.6434816643595695e-05	mill::1.6349946236005053e-05	push::1.4361303328769282e-05
Jury wonders, is Harry Johnson winding him up?	winding	winding::0.9929712414741516	tying::0.0022041723132133484	setting::0.0019459117902442813	breaking::0.0001978921500267461	picking::0.00018647850083652884	beating::0.00014206681225914508	fixing::0.00011936535156564787	backing::0.00011735461157513782	wrapping::0.00010177487274631858	giving::9.90768094197847e-05	screwing::8.751731365919113e-05	turning::8.353078737854958e-05	keeping::5.6812121329130605e-05	cutting::4.8374993639299646e-05	messing::4.628060924005695e-05	tightening::4.4318385334918275e-05	locking::4.351572715677321e-05	closing::3.757659578695893e-05	making::3.733954144991003e-05	ending::3.707695577759296e-05
Palestinians know that Israelis are reluctant to shoot at children; and if a child does wind up getting killed, it makes for excellent anti-Israel propaganda.	wind	wind::0.8400889039039612	end::0.15647780895233154	wound::0.002500892151147127	wake::0.00026501977117732167	curl::0.00019357075507286936	ended::7.617022492922843e-05	winds::5.6660588597878814e-05	ending::4.633945718524046e-05	turn::4.278527921997011e-05	grow::3.119521352346055e-05	ends::2.6535144570516422e-05	pick::2.0944075004081242e-05	come::1.6234382201218978e-05	pop::1.5749164958833717e-05	heat::1.2849729500885587e-05	hook::9.893412425299175e-06	winding::7.843242201488465e-06	curve::4.524500582192559e-06	green::3.6360306694405153e-06	match::3.242324510210892e-06
Half a mile further was Fox's Hill, and winding up the long hollow between them was Taylor's Lane, which led first to their driveway about a quarter of a mile in, and then to three other Quaker farms further on.	winding	winding::0.9992584586143494	wound::9.729208977660164e-05	turning::6.266440323088318e-05	running::5.9825077187269926e-05	straight::5.3275685786502436e-05	twisting::4.536176493274979e-05	continuing::4.246786920703016e-05	right::3.2102536351885647e-05	ending::3.014296271430794e-05	going::2.3322305423789658e-05	picking::2.285392110934481e-05	wrapping::1.4115399608272128e-05	then::1.3088617379253265e-05	heading::1.155276913777925e-05	curving::1.0259685950586572e-05	curling::9.53675862547243e-06	leading::8.661903848405927e-06	cutting::8.045672984735575e-06	finishing::6.125736945250537e-06	further::5.96463360125199e-06
So they all wind up in that loaf of bread.	wind	wind::0.9313063621520996	end::0.03681308776140213	curl::0.014543185010552406	wake::0.009667360223829746	grow::0.002049033995717764	wound::0.0006984650390222669	blow::0.0003530936664901674	die::0.0002739157062023878	warm::0.00023115167277865112	get::0.00019385208724997938	heat::0.00016167717694770545	winds::0.00012972246622666717	sleep::0.00011435179476393387	catch::0.00011090756743215024	roll::9.766681614564732e-05	ended::8.643142791697755e-05	turn::8.637893915874884e-05	land::8.419461664743721e-05	wrap::8.394639735342935e-05	throw::7.806820212863386e-05
The lawsuits that threaten to cripple a a number of the churches are winding their way through the courts.	winding	winding::0.9933933615684509	fighting::0.0009497570572420955	making::0.00038043048698455095	twisting::0.0003229303110856563	on::0.0003013370151165873	battling::0.0002394266048213467	wound::0.0002043786080321297	creeping::0.00019261986017227173	teasing::0.00016465611406601965	weaving::0.0001449454721296206	working::0.00013693995424546301	negotiating::0.00011882762919412926	pushing::9.620183845981956e-05	picking::8.4665123722516e-05	climbing::7.923118391772732e-05	moaning::6.774236680939794e-05	finding::6.528720405185595e-05	cutting::6.233528256416321e-05	easing::6.113421113695949e-05	paving::6.107663648435846e-05
Now however she was falling through that skylight, the strong dark figure that had appeared out of nowhere falling through with her, his arms tightly entwined about her, his shoulder having winded her.	winded	caught::0.08507638424634933	reached::0.05460379272699356	struck::0.04077165573835373	wounded::0.03462143614888191	wound::0.025612378492951393	wind::0.025164078921079636	borne::0.02012578956782818	chilled::0.020055225118994713	hurt::0.018466826528310776	saved::0.01819266565144062	scared::0.015863491222262383	injured::0.015388639643788338	engulfed::0.013816459104418755	bound::0.013505645096302032	touched::0.012396787293255329	hit::0.011958641931414604	brushed::0.0114334337413311	killed::0.01138900127261877	blown::0.010919529013335705	carried::0.009893001057207584
Experience outdoor adventure, mini golf, horse trekking, wind your way though a maze, mountain biking and relaxing in the famous Hanmer Springs hot pools.	wind	wind::0.9999663829803467	winds::1.0394676792202517e-05	air::1.5688078747189138e-06	##wind::1.540879793537897e-06	breeze::1.025103074425715e-06	hedge::9.155803581961663e-07	blow::8.519956509189797e-07	drift::5.752479523835063e-07	paper::5.707026957679773e-07	walk::4.9727663054e-07	ring::4.968338771504932e-07	sand::4.937965627505037e-07	bend::4.776100581693754e-07	on::4.00361415131556e-07	winding::3.8383706169042853e-07	gust::3.708416898007272e-07	land::3.2512389225303195e-07	lead::2.9648523991454567e-07	field::2.8273990437810426e-07	jazz::2.8242513394616253e-07
The history of message encryption goes back to ancient Greece where messages were written on a tape wound around a stick.	wound	wound::0.9538053274154663	wrapped::0.04523037001490593	tied::0.0001482456282246858	attached::0.00010755824769148603	cut::6.710166780976579e-05	strung::6.167891842778772e-05	winding::5.519911428564228e-05	wrapping::5.2002495067426935e-05	wrap::3.7774323573103175e-05	ended::2.391249108768534e-05	passed::2.1545958588831127e-05	coiled::2.050319926638622e-05	or::1.869329935288988e-05	loop::1.8481332517694682e-05	and::1.732746204652358e-05	coil::1.525192055851221e-05	curled::1.161444015451707e-05	played::9.87471685220953e-06	held::9.68647509580478e-06	used::8.342670298588928e-06
I managed to get a position working on the phylogeography of some New Zealand animals this summer.	working	working::0.9988743662834167	work::0.0007707245531491935	worked::6.52003800496459e-05	researching::2.3126709493226372e-05	focusing::2.1383671992225572e-05	going::1.9631406757980585e-05	studying::1.9573568351916037e-05	doing::1.6299269191222265e-05	writing::1.4434089280257467e-05	concentrating::1.1688824997690972e-05	collaborating::1.1281628758297302e-05	trying::1.0429742360429373e-05	##working::6.204395958775422e-06	works::5.9381386563472915e-06	again::5.231635896052467e-06	assisting::4.7669759624113794e-06	being::3.89616525353631e-06	sleeping::3.701540435940842e-06	sitting::3.692447535286192e-06	thinking::3.6539422580972314e-06
In September, I wrote a post with the title, "Did the President of CBS News Have Anyone in Charge of Reading the Internet and Sending Alerts?&#8221; By asking people who work there, I have since determined that he didn't.	work	work::0.9752702116966248	worked::0.024351045489311218	works::0.00015153209096752107	working::8.71875963639468e-05	live::4.6053472033236176e-05	are::2.529200901335571e-05	were::1.4633160390076227e-05	job::7.11631219019182e-06	lived::6.919879524502903e-06	shop::6.695410320389783e-06	jobs::5.2810105444223154e-06	go::3.3862866075651255e-06	fly::2.4371231575059937e-06	lives::1.213466589433665e-06	help::1.1303742439849884e-06	employed::1.0648006991686998e-06	apply::8.105631081889442e-07	operate::7.6083296107754e-07	study::7.017214329607668e-07	perform::6.702811106151785e-07
Teachers were introduced to content by experienced mentor teachers and scientists, who worked with them as they used the kits (Marsh and Sevilla, 1991).	worked	worked::0.9990904331207275	work::0.0004128740110900253	collaborated::0.000347196968505159	working::4.831450860365294e-05	lived::1.3910412235418335e-05	works::1.2357601008261554e-05	trained::9.920827324094716e-06	went::8.819021786621306e-06	performed::6.2984531723486725e-06	were::3.655234877442126e-06	played::3.23518520417565e-06	assisted::3.037222313651e-06	studied::2.6856412205233937e-06	acted::2.5760916742001427e-06	sat::2.4807841327856295e-06	practiced::2.218746431026375e-06	helped::2.108739863615483e-06	did::1.5871310097281821e-06	fought::1.2489533673942788e-06	talked::1.0908410104093491e-06
Mary then worked for a few years before returning to the University of Michigan for a Master's degree in civil engineering in 1944.	worked	worked::0.7515033483505249	taught::0.11457401514053345	stayed::0.045058473944664	studied::0.020502924919128418	remained::0.01512255147099495	returned::0.014386426657438278	lived::0.0034160884097218513	left::0.002976043848320842	served::0.0023249113000929356	continued::0.0019345144974067807	practiced::0.0019267722964286804	traveled::0.001110651413910091	coached::0.0010882484493777156	went::0.0010546137345954776	trained::0.0010298918932676315	moved::0.0010138688376173377	lectured::0.0008053166675381362	married::0.0007772148819640279	played::0.0006973955896683037	retired::0.0006234326865524054
Until the 1800s, most Americans rarely tasted anything containing refined sugar.) As you dig into your turkey, stuffing and pecan pie, washed down with a $ 10 bottle of wine superior in quality to any wine available to the 17th-century kings of France, remember how hard your ancestors worked, and how they sacrificed, in the dream that someday their descendants would be warm, well-fed and secure against nature.	worked	worked::0.994037389755249	work::0.003067024750635028	fought::0.0009710969752632082	tried::0.00044788129162043333	working::0.0001960761728696525	trained::0.00015594794240314513	works::0.00010638499225024134	pushed::8.386262197745964e-05	played::7.23494085832499e-05	practiced::5.695703293895349e-05	were::3.8238231354625896e-05	died::3.176225072820671e-05	##iled::2.5228462618542835e-05	beat::2.202239556936547e-05	did::2.105698877130635e-05	made::1.8281931261299178e-05	thought::1.8207652829005383e-05	labor::1.6510899513377808e-05	studied::1.6351521480828524e-05	ate::1.4915985047991853e-05
Close to 5,000 people are still employed in textiles, and our task is to work with those companies on an individual basis to assist them to reposition themselves in higher-value markets.	work	work::0.9993164539337158	collaborate::0.00029183851438574493	cooperate::0.00013477788888849318	working::6.69418805046007e-05	worked::3.3943590096896514e-05	works::1.7384503735229373e-05	contract::1.216722284880234e-05	deal::1.1725791409844533e-05	engage::6.9209759203658905e-06	help::5.915123438171577e-06	compete::5.517525551113067e-06	negotiate::4.606079073710134e-06	partner::4.528665158431977e-06	labour::4.009822987427469e-06	perform::3.910548912244849e-06	train::3.7668689856218407e-06	consult::3.706878032971872e-06	coordinate::3.2705315788916778e-06	go::3.0888647870597197e-06	operate::3.0485200568364235e-06
" In the future, I can see the two superpowers working in tandem - one big red state and one big blue state, if you will - moderating each others excesses, as well as setting the agenda for the rest of the world along the lines of our shared values.	working	working::0.9983162879943848	work::0.0005587192717939615	fighting::0.0002722048375289887	acting::0.0001521813392173499	worked::0.00014708215894643217	operating::8.48992494866252e-05	collaborating::7.576897769467905e-05	competing::6.457106792367995e-05	being::3.864155223709531e-05	living::2.7558544388739392e-05	functioning::1.5252328012138605e-05	engaged::1.4069876669964287e-05	playing::1.3453805877361447e-05	meeting::1.2425684872141574e-05	performing::1.2054901162628084e-05	works::1.0929743439191952e-05	sleeping::1.0359854059061036e-05	sitting::8.273399544123095e-06	together::7.582062607980333e-06	trying::7.340087449847488e-06
(Media Materials &amp;gt; Press Releases &amp; RMI Announcements) 22 May 2005 A Cuyahoga River Makeover��Plan Aims to Bolster Environment While Sustaining Industry The planners stress they want to work with industry.	work	work::0.9967340230941772	collaborate::0.0013745531905442476	cooperate::0.0011587511980906129	be::0.0001221382262883708	engage::5.223246625973843e-05	deal::4.019391781184822e-05	working::3.3930991776287556e-05	compete::3.030392872460652e-05	do::2.915000732173212e-05	live::2.5620760425226763e-05	works::2.5105857275775634e-05	worked::2.4301498342538252e-05	act::2.2578351490665227e-05	perform::2.068512185360305e-05	help::1.3853563359589316e-05	try::1.3542497072194237e-05	join::1.2850754501414485e-05	go::1.2123692613386083e-05	interact::1.118526233767625e-05	collaboration::9.235603101842571e-06
One of the areas that has been changed in these new codes is to take into account the fact that local authorities and the National Health Service are, more and more, working either with each other or with other bodies��local authorities, social services, voluntary bodies.	working	working::0.9974566102027893	collaborating::0.0019497382454574108	worked::0.00011175436520716175	work::9.773582860361785e-05	competing::3.795794691541232e-05	fighting::3.08431735902559e-05	coordinating::2.9353257559705526e-05	acting::2.0064027921762317e-05	operating::1.7544773072586395e-05	interacting::1.4608212040911894e-05	involved::1.4208177162799984e-05	engaged::1.4119498700893018e-05	dealing::1.312598669755971e-05	employed::9.917373063217383e-06	performing::9.251761184714269e-06	training::7.46586374589242e-06	trading::7.411777460220037e-06	communicating::7.160444965848001e-06	doing::6.841176855232334e-06	together::6.780207058909582e-06
Knowledge of Southern California history and experience working with non-profit museum highly desirable.	working	working::0.9987099170684814	work::0.0005904107820242643	worked::0.0003773400094360113	collaborating::0.00011030740279238671	living::2.4804152417345904e-05	studying::1.8139440726372413e-05	works::1.6989815776469186e-05	training::1.0343756002839655e-05	assisting::7.95161395217292e-06	operating::6.86746579958708e-06	collaboration::5.693725142918993e-06	dealing::5.658566806232557e-06	acting::5.567217158386484e-06	involved::5.360213890526211e-06	doing::4.399841600388754e-06	engaging::4.236486802255968e-06	performing::3.957050921599148e-06	interacting::3.933842890546657e-06	going::3.322077418488334e-06	being::2.860048880393151e-06
